index,label,tweet
0,1,Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion #irony http://t.co/fej2v3OUBR
1,1,@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing #Sarcasm   ;)
2,1,Hey there! Nice to see you Minnesota/ND Winter Weather #Not
3,1,Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. #not
4,1,"Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. #sarcasm"
5,1,Just great when you're mobile bill arrives by text #Not
6,1,Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. #sarcasm
7,1,@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. #sarcasm
8,1,@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone #sarcasm
9,1,Love these cold winter mornings 😬 best feeling everrrrrrr #Not!
10,1,Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess #Not
11,1,A wonderful day of starting work at 6am #Sarcasm
12,1,"@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob #not #LesterToChicago"
13,1,Yay for another work at 4am day 😐 #not
14,1,Physical therapy at 8 am is just what I want to be doing with my Friday #not #iwanttosleep
15,1,Omg @FloptimusCrime didn't tell @giantfootyguy he was in town 😱 #trueFriend #not
16,1,"I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^ #Sarcasm #LaughNow .o."
17,1,That moment when you have so much stuff to do but you open @tumblr ... #productivity #not #tumblr
18,1,Luv this #not
19,1,When you're already running late and then your car won't start <<< #FantasticFriday #not
20,1,@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. #Not
21,1,About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge #sarcasm http://t.co/sF9o6OWE1v
22,1,"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill! #not #sarcasm http://t.co/vFP1ehx7yL"
23,1,@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps #not
24,1,I love finals week! #justkidding #sarcasm #stressed
25,1,.@nypost .@Cameron_Gray Oh that makes it all better!!! #not
26,1,#Work#Trains#TheGrind#London#Business#MyHappyFace#Not http://t.co/fdE2iQpuQz
27,1,"dude said I better think hard , so he can take me to cheddars lmao ! #not"
28,1,Not even 8am and I can already see this is going to be a wonderful day #sarcasm #needmorecoffee
29,1,"@bustedcoverage  but Russell is a good christian fella, he wouldn't do that. #sarcasm"
30,1,Planned on an early night last night.. Oh yaa course that happened.. #not #gotinterupted
31,1,2v4 S&D matches are just so fun... #not
32,1,i just loveee bein short and having my sweatpants go all the way under my feet its so fun...#not 💩
33,1,I love waking up at 8 am on a Saturday morning after going to bed at midnight #not
34,1,Gym and I are gonna have a reeeaaalll nice date tomorrow. #not #imgoingtostruggle #VSFS2014
35,1,I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys 😑😑😑. Way to go #not
36,1,Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun #NOT
37,1,We want turkey!! #not
38,1,What a joke. Thanks for the detailed response and communication with your customers. #sarcasm @AskPlayStation @PlayStation
39,1,working a double on 2 hours of sleep here we go let's get it #not
40,1,For those of you that LOVE this time of year. #Sarcasm https://t.co/r6utbrXVrU
41,1,In other news i havent had a good nights sleep in a week. I feel great. #sarcasm
42,1,Happy 2nd anniversary to me in SGV. Happy OT here in client. Woohoo. I loooooove my job. Super. More years to go!!!!!!!!! #NOT
43,1,@letote good thing we had enough #whitewine and #christmastrees to survive if needed. #chardsohard #fashion #sarcasm ;)
44,1,"The fun part about 4 am drives in the winter, is no one has cleaned the snow yet #not"
45,1,so it's claimed that 99% of all russian athletes take performance enhancing drugs. there is a surprise #not
46,1,Shoutout to my mom for being hella supportive of me #sarcasm
47,1,@JordanNoftall that's funny #not
48,1,I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it #sarcasm 😂
49,1,Haha who the fuck says that to someone#TrueGentlemen #NOT
50,1,"Ahhh 7 a.m bedtimes, how I've missed you #not #examproblems"
51,1,@SouthamptonFC @LFC @SkySports Again fans come second. Thanks again #not
52,1,Oh how I love that my ass is too big to fit into my jeans anymore. #sarcasm #bigbootybitches
53,1,3 hours sleep yay loving life #not
54,1,"wow, look at you hotshot. #sarcasm #isthatajoke"
55,1,Having to be up in four hours sounds great #NOT
56,1,OH and now the District line has major signal failures and delays FANTASTIC!!! #sarcasm
57,1,@ScottishFA @RaeComm @ChampionsLeague sure that will end well #not
58,1,@PowerTripKFAN Adrian was raised that way and he made it to the NFL. Maybe he thought that would motivate his kid to get there too? #not
59,1,"She heard Him cry and His little fingers & toes were counted and Mary exclaimed ""He's PERFECT!""  Oh Mary, you so cray cray. #irony"
