index,label,tweet
0,1,Day 2. Going to the DR for #2 cause I'm 99.9999999% sure she has strep #awesome #not
1,1,It's funny because your a fake ass bitch :) #yourAtruefriendtoher #not
2,1,😒 Half of the testing group was very helpful today. #sarcasm
3,1,Couldn't agree more! RT @Champ_Payne: Nothing makes me feel more special than receiving an automated DM. #not
4,1,"The late Howie Carr wd be amused to see Granny Warren putting the wood to a ""bow-tied bum kisser"" #irony"
5,1,Well throwing up at 6:00 am is always fun ☺| #not
6,1,girls put so much effort in dressing nice for school..I'm over here in my oversized sweats and vans #maybetomorrow #not
7,1,Foxy Lady..#waynesworld #excellent #not 😁☺😊
8,1,"@outsilver87 @LasVegasCapper Ya, because if history has told us anything, it's that betting on sports is a GREAT way to make money! #sarcasm"
9,1,I can't wait to go to the post office to get bent over with $100 shipping fees to mail my folks' #Christmas gifts to Montana.  #sarcasm
10,1,@BetVictor Glad to see someone has finally realised how funny Mark Lawrenson is and given him more work. He is a hoot.  #sarcasm  #goodgrief
11,1,Extending trade and not telling the people about the extended trade. Best idea ever! #not
12,1,"I love dating shows ! My favourite is Strictly come dancing, so good when it works out for them ! #sarcasm"
13,1,WAIT the GA I have a crush on and emailed me and told me it was great to have me in class 😍❤😘 he totally loves me #not
14,1,Haha love when I accidentally spray perfume in my eye 🙆 #sarcasm
15,1,That was a great 3 hours of sleep #Not
16,1,@astewart91 you're hilarious...#not
17,1,"sorry for being female, I didn't mean to interrupt your perfect little man-world. 😒 #sarcasm"
18,1,Next day makeup just looks so hawt 💋 #NOT
19,1,"wow, look at you hotshot. #sarcasm #isthatajoke"
20,1,@MarcotteJN @KillerKalen yeah I'm avoiding you by waking up at 6 AM my time so by 10 PM I'm exhausted. #sarcasm #sucksimissedyou <3
21,1,@billisFPS @BFBulletin ikr!! This is not a true Battlefield game! :/|.|.|.|.||#Sarcasm
22,1,@BIBN2010 Weeeeee! You too! I love that xbox live and playstation network are down due to hackers on Christmas. #Sarcasm
23,1,So excited for the Christmas party with the snobby side of my fammm #not
24,1,Too bad her cube doesn't have a door. - @NickEppley ||#bestcoworkersever #sarcasm @AndyHawbaker
25,1,Rain and sleet hun? Yeah I totally want to get dress and go to work. Sounds like  fun #not #iwannagobacktobed
26,1,"Gotta study and I'm like, who cares?! #NOT #perksofbeingasenior 👎"
27,1,"Well that's my Becky in London with her nan, an the big girl dan too start her new job tomorrow #feelingabandoned #not haha"
28,1,Wow I feel great #sarcasm
29,1,work should be fun today #NOT😒
30,1,@mrjohner @cebsilver We can vote Republican! Their Civil rights record and their ability to empathize is amazing. #sarcasm.
31,1,It's just SUPER to be ignored when you put out a desperate plea. #Sarcasm
32,1,Cannot wait to go to the dentist later! #Sarcasm
33,1,@a_RZuri16 yes mother as you wish#not
34,1,Someone stop Obama! USA only should have relations with human rights loving nations like Saudi Arabia. Not terrorist Cuba! #Cuba #sarcasm
35,1,Times my trip home perfectly #not #drenched #sydney #storm #wet http://t.co/2OxuJk3uJb
36,1,I take blazing hot showers so I can get used to burning in the pits of hell. #ifitsreal #not
37,1,Lol my timehop guy though. #irony http://t.co/OdljZGV4VM
38,1,"Thank you, strange vet husband at the bar, for reminding me that I will be in debt until I die.  #not #studentloans"
39,1,Big shocker that 2 of 8 called in #not
40,1,Girls who can rock this thang~ #PrincipalSwag #Not http://t.co/5eCiip7D3j
41,1,25 Historical Images That Normalize #Breastfeeding http://t.co/6DiheIcMx0 via @buzzfeeders. We're so more tolerant now...#sarcasm
42,1,"@drapermark37 @susanbnj We must be tolerant and embrace the peaceful Islamic faith, Muslims are our peaceful brothers #sarcasm"
43,1,The American justice system 👍🙌👏 #sarcasm
44,1,"So, Matt and Natasha are having sex. #WhatASuprise #sarcasm #WhatElseIsNew"
45,1,What an eventful weekend #not
46,1,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books. #NOT
47,1,Aaaaaaaaand we're back in the ER. Hooray for no sleep! #not
48,1,"Accidentally breaking your own computer when your tech support! Haha , talk about employee of the month #Not #techSupport 💻💾🔫"
49,1,"@YodelOnline Hi! I have just received a photo of my dear parcel from China, amazing he is travelling around the world!! #irony"
50,1,@patrickmchall @WakondaClub I bet those fairways and greens rival the work of @WakondaGrounds #sarcasm
51,1,Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess #Not
52,1,"love, love, love how the left side of my face is swollen. #not 😡😭"
53,1,@redsteeze wow.. she really touched them with that tweet. #Not
54,1,"hula hoops, hot chocolate and law revision. my breaks in work are filled with glamour and fun. #not"
55,1,I have such a loving family #sarcasm
56,1,cleaning up spew is a definite highlight of my job!! #not
57,1,"Good job @pmharper...""@globebusiness: Same-sex marriage harms free speech, new Ontario judge wrote in 2012 http://t.co/Y2vaFlYfbm"" #sarcasm"
58,1,"Gotta love the ""friends"" I have out here hahahah #not #nosuchthing"
59,1,As a little girl I would dream of shouting instructions repeatedly and being completely ignored. #motherhood #not
60,1,one essay submitted now to start the next one :') #thirdyearlife #loveit #not
61,1,way to prove that women are more than just breasts & an ass... #not 😒
62,1,Love that I still have kids that still wake up early on Christmas #sarcasm #justkiddingIlovethem
63,1,@mcquadejennica I just got my tonsils out #lovinglife #not .. Good luck!!
64,1,@jimjefferies you are by far the funniest prick in the world at the moment. Can you please come to Geelong? We have a normal mayor.... #not
65,1,Ma thing #not http://t.co/YVekcrBemZ
66,1,It's been a great week for dictators.  Congrats North Korea and Cuba. #sarcasm
67,1,I love when I write a tweet wrong. 😊 #sarcasm
68,1,Nothing like waiting at an airport. #youcanthearit #sarcasm
69,1,@jordyn_eaton wants me to get hit by a bus so she can get a 4.0 #bestroomieaward #not
70,1,Swag #not @FANNING_myself
71,1,Oh god I just so happens that i love really LOVE slow internet #slowinternet #sarcasm
72,1,Congratulations @adele_ferguson - so well deserved. I hope you enjoy the #irony of this notification from Twitter http://t.co/5lZDDDC1Hx
73,1,@SkyNews Wow! I can now afford that holiday I've always wanted! #sarcasm
74,1,Grown women acting like children is my favorite. #sarcasm #dramatic
75,1,Why is paper so sharp? Someone should put a ban on paper! #sarcasm #liberalmentality
76,1,glad to just find out we had a quiz due yesterday and I didn't even know thanks for the notification blackboard #not
77,1,Thank you Harding science department for only giving us 55 minutes for our final. #not
78,1,@SR_Duncan @JojoKaliski I love how JoJo has kept it classy....#irony
79,1,"Thanks to #TeamIpswich ED for making the news crew and I so welcome this morning, as they always do. #BlackFriday filming #ItWasQuiet #Irony"
80,1,"I'm going to call today's commute ""quality time"" w/ my mini. 1 hour & 40 minutes of ""quality time."" Thanks DC rush hour! #Optimism #Sarcasm"
81,1,Can't wait for the #facup 3rd draw #not
82,1,There's nothing better than the feeling of being loved 😒 lol nothing 👍 #sarcasm
83,1,@DejanLovrenLFC6 your #ambition is #amazing. #sarcasm #saintsfc enjoy exit from #ChampionsLeague
84,1,@TheLouieMiguel what a way to start the new year #not
85,1,"Grandma's coming over, yay money. #lol #kidding #not"
86,1,"@slavetothemic thanks for sharing Mike, your opinion means a lot to us. #sarcasm #orisit?"
87,1,@DylanBraddy @chels_2325 real tough to whoop dungeys ass #not
88,1,People at my school only talk about sex and drugs. So awesome #not
89,1,650 return flight. Why I love my family. #familyvacation #Sarcasm
90,1,@Owain_Thomas Loving how Fulham looks like a playoff team. #NotReally #Sarcasm
91,1,Nothing is better then an 8am class. #not
92,1,"@ADavies_10: @arnie_4 great seing u mate, thanks for the cheap shot 😉 safe trip back 🍻🍻||Dry train why we lost 😂😂😂😂😂 #not"
93,1,"at least... I've got spine, cause I can feel the pain in my back. #thinkpositive|#sarcasm"
94,1,"@caboosemichaelj yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more! #sarcasm"
95,1,Love that my buses are every half an hour😠😡😤 #not
96,1,@theTiser @JulieBishopMP journalism at its best #not
97,1,"I love math, I'm so amped for my final like 7 hours from now. I hardly studied for it. #IBeenDoingIntegralsSinceThe5thGrade #sarcasm 😄😜😂😣😰😫😖"
98,1,Taking a final then going straight to work. I'm just peachy about it. #not
99,1,..what a great start to my day #not
100,1,JFK BAGGAGE IDIOTS ACCUSED OF STEALING SHIT RIGHT OUTA YOUR LUGGAGE!|SHOCKED?|UMMMM SO #NOT|THEY HIRE MORONS!|PUT THE ARMY IN THERE!
101,1,I love when this happens #not http://t.co/CkMiXBPGAR
102,1,You know its a gonna be a good day when your roommate comes in saying she just took her aderol and is about to have an anxiety attack #not
103,1,Great start to the day #not
104,1,@stillfallin_ great Christmas. #not
105,1,Remember when I ran 14 miles on 90 min of sleep this summer? I've got a 14+ hour day on about two hours of sleep. This'll be fun. #not
106,1,Good thing y days not ruined.... #sarcasm
107,1,Walking to school is so awesome #NOT
108,1,"@MattHDGamer FUT14 ofc, the corners <3___<3 they where faaaantastic #sarcasm"
109,1,"The Interview has been cancelled, not because of north korea but because the immense comedy would blow our mortal minds #sarcasm"
110,1,"Dad and step mom bitching at each other, now it's Christmas 😊🎄😤 #sarcasm #ugh"
111,1,"@MLS @ussoccer Awesome destination site. High population of 136k, super easy to get to, lots of great sites. Will do well there! #sarcasm."
112,1,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures, yeah it's great #sarcasm"
113,1,"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came. #sarcasm"
114,1,I'm over these white hoes #not
115,1,@McDonalds I don't think your caramel frappe is salty enough. #sarcasm #McYuck #lostsale
116,1,"Fell asleep @ 8:30pm, woke up at 12:00am. Can't get back to #sleep. I had almost forgotten about you #insomnia - welcome back. #sarcasm"
117,1,Since when did train fare get so expensive?? Jesus! Might aswell of drove.... Shame I'm drinking #not
118,1,At last I can quit work and enjoy life lol #not http://t.co/UdmxqLfviB
119,1,3 hours of sleep is sufficient to tackle this day. #NOT #timezoneproblems
120,1,"I love getting woken up by my body just to say ""I know you were comfortable sleeping.. But here's something you don't want anyway"" #Sarcasm"
121,1,Funny Annoying You Men's Tee http://t.co/bDSBZ93PCc Great for family reunions! #funny #sarcasm #tees
122,1,Remember Black Friday was a bust....#sarcasm
123,1,I love when people leave their smelly shoes in my car. It makes my car smell great! #sarcasm
124,1,"@JamaicaVaper @Hifistud @OutFrontCNN @CNN This has been my point all along, that TC is proving to be #ecigs best advertiser to teens. #irony"
125,1,It's been one year of off and on eye twitching. #SoFun #Not
126,1,Shoes on make-up done ! I'm ready #not
127,1,"@yurko40a NO, there 'only' are some Finnish #snipers, working with the fascists in Kyiv! Nice guys, #NOT!"
128,1,When u callin I'm tappin lol #not sorry
129,1,Hmm...Scott Mitchell v Tony O'Shea or Phil Taylor v Raymond van Barneveld...what a difficult decision!!! #Not #DartsWorldChampionship #PDC
130,1,@VictoriasSecret @taylorswift13 really? My respect for feminist/womens movements is through the roof. #Not!
131,1,"Welcome to metro RT @BallardHSSports: ""Thanks to Seattle Prep for finally removing their starters up 34 with 3:30 left. #sarcasm"""
132,1,@sufisal @Muhammad123Ali Putting 123 between Muhammad and Ali? I find your own twitter ID quite blasphemic and offending #irony
133,1,@carnsoreboxer you'd really want to watch that!! #excessivecomsumption #not!
134,1,"@SUP3RFRUIT I think being gay is wrong, its like people chose to be gay just to piss off the magic old man that lives in the sky #sarcasm"
135,1,All hell is breaking loose... Ahhhh everybody freak out #Sarcasm
136,1,"@JCCFCanada claims the man was peaceful, when he was violating HR of orientation. #irony making a free speech argument over an HR issue."
137,1,"Time to free ourselves of the Tyranny of the USA and lean towards more tolerant societies, like those of Russia and China. #Sarcasm"
138,1,#Dallas #traffic I sure missed you! #not @ Downtown Dallas Traffic http://t.co/ryHS7wiLb7
139,1,"Hey, @HLTVorg. DenialCSGO decided that they want to replace @denialfugly and I'm their new player. #NAShuffle Nobody is safe. #CSGO #sarcasm"
140,1,The whole world can never get me on my level #Irony
141,1,I didn't know the story of Noah had transformers in it. Man the modern biblical tale killsssss it. #not #whatarethelivingrockpeoplefor
142,1,"She heard Him cry and His little fingers & toes were counted and Mary exclaimed ""He's PERFECT!""  Oh Mary, you so cray cray. #irony"
143,1,@pruemacsween I'm truly at peace #NOT
144,1,Yeah so I'm on a diet🍕 #not http://t.co/RfgZvzuBC5
145,1,working on my birthday #yay #not #sucks
146,1,Awesome rainy day at the track!! #not http://t.co/inZFxQcjGU
147,1,MT Darth Vader is polling higher than all potential 2016 US presidential candidates http://t.co/Kuv3dp8pZm|Are you surprised? #irony
148,1,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated! #not
149,1,"@maggsonmedia #eskom yup, service delivery is impeccable #sarcasm. diesel supply or cash flow problems? Ineptitude"
150,1,For 9 grand a year we definitely get all of the information we need in this practical class #not
151,1,I love when I wake up grumpy #not #effroommates #yourtooloud #personalalarmclock #notnecessary #bequieter #ugh
152,1,Can't wait for my boyfriend to come home and kick my butt into shape.... #not 🙈😂 @DylanJohannink
153,1,Oh how I love fainting randomly  #not
154,1,"Quel domage #not RT @CFL_News: No Canada: Bills in TO series, which was a colossal flop, has been cancelled http://t.co/LBIF1WE2pW #CFL #NFL"
155,1,"I can't stop laughing at this. The fact that they specialize in ""Viral Marketing"" is especially amusing. #Irony... http://t.co/9wJFiQ6wmk"
156,1,First day skiing #killedit #not #iwasshit #tignes #seasonlife http://t.co/oHYSozoNPP
157,1,@stellabearrr @oliviaboxall sounds like flat 8 are having a wonderful morn!|#HAH #NOT #WOTWOT
158,1,"Grandad is watching absolute shit on the telly. No seriously, It's on a channel I've never even heard of?! #FunChristmas #NOT!"
159,1,@moofer1972 @abc7newsBayArea That's fantastic up to date news. Also #sarcasm
160,1,@Olivian_Forever oh yeah!!! 2nd :D #HoldTheApplause hahaha lol #sarcasm <33
161,1,I should of just made a canvas of coffee stains and be done with it. #art #not
162,1,Love waking up to grumpy people #not
163,1,"Hi Orgabeh, so we meet again. I think you're my soulmate. 😍  zzzzZzz 😫 #Sarcasm #patience"
