tweet,label,index
"My first tweet! Hello twitter, let's see what you can do... #newbie",0.0,700
So you think the vaccine is a bad idea then. Glad you have that PHD in immunology!,1.0,701
Definitely the best #WWERaw  match in a long ass time. Glad Damien Priest is getting some shine.,0.0,702
"In desperate need of 1 final spoon code. Been searching shops desperately for the last few weeks without luck. Please, please send me a code",0.0,703
Lol at my life :),1.0,704
Lil Pump is the Nelson Mandela of our generation,1.0,705
It’s frustrating that the moment in my scientific career where I have the MOST discoveries &amp; insights to share is also the time when I can’t attend conferences... I can’t afford the costs now that I’ve graduated! Anyone else feel the same? #AcademicTwitter @AcademicChatter,0.0,706
I’m on a serious treat myself kick and I’m not mad about it,0.0,707
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,1.0,708
"#EconTwitter I'm working with bizreg data and there's a noticeable spike in Indiana in 2015, anyone have a sense as to what's going on? @JorgeGuzmanCBS? https://t.co/q01tmw9PLg",0.0,709
Just ordered the 'Sea-Lover's Sharing menu' for a family celebration next week - looks amazing! https://t.co/x2zfDAWgiM,0.0,710
Happy to be part of the team! https://t.co/ardpGl0M9p,0.0,711
"Philosophers idolize Socrates. Some see themselves as emulating him, defending unpopular positions against mobs and the powerful. But often they're just lazy contrarians who refuse to do their homework.",0.0,712
Man I miss my friends :(,0.0,713
"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait.",1.0,714
"I claimed spy. Was I?
I was a spy the whole time. 
And I never lied.",0.0,715
"My favourite thing driving to work in the morning is how peaceful and slow everyone is. I love when people don’t know where they’re going, like they are just out for a stroll at 8:30 in the morning. It makes me so happy.",1.0,716
i just sewed through my finger and my brain is just like ' how annoying is it that i just broke another needle and i'm going to have to buy some more' instead of OW I have 2 holes in my finger. can i swap brains,0.0,717
i love shoegaze sm,0.0,718
because my neighbours are just so unbelievably loud as of recent I’m whacking out my speaker and blasting Harry Styles. modern problems require modern solutions,0.0,719
"Why do I always say yes to events where it’s just going to be me + D, no Josh to help chase my wild child toddler around the cookout with me 🙂",0.0,720
"Quarantine Day 256: Dear Ancient Greeks, re: the blanket-wearing—I get it. #QuarantineLife",1.0,721
Last night I wanted a quesadilla so bad but I ate salad. Now though??? My time has come. I am eating a quesadilla.,0.0,722
