index,label,tweet
350,1,Going to sleep a solid 30 minutes earlier than last night!!! #success #justwhatiwanted #sarcasm
351,1,Yay for knee machines! #not http://t.co/BNK8Z2LBsE
352,0,go subscribe @BoutItMen on youtube https://t.co/w0lhyDAexl for good music
353,0,If you gon' judge people who drink and blaze FOH Go choke on some foreskin
354,1,First day skiing #killedit #not #iwasshit #tignes #seasonlife http://t.co/oHYSozoNPP
355,0,@bigbillybmoney haha!! Noo I don't need new boob's my old ones are just fabulous 😝😝😝
356,0,"My whole life is just ""oh ok""."
357,1,Love the fact that I turned off my alarm this morning and slept till so freaking late #not
358,0,"Shopping day with Ms 15 today. Her haul included new Docs, eyeliner, bras, new issue Frankie mag, and half of Kikki K. Tired and broke now."
359,1,"Is there a ""like"" tab on me? I'm not a facebook status to be liked by people... #sarcasm #RudeButTrue"
360,1,"@CaycePryhs Careful, Cayce. That's almost a racist statement. #sarcasm @william_1492 @CaseyParksIt @PhyIis"
361,0,@MohammadFarooq_ Asalamoalekum... 😃 kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. 😇
362,1,@WillMcHoebag Warwick Davis is more than twice the man Tony Blair is #Irony
363,1,@joehaesche thanks for the wake up wrap and coffee this morning!! #CheapBastard #Sarcasm
364,0,@amy99314 @haleemak_ A protest is not peaceful if its forcefully stopping me to earn my livelihood.
365,0,@BFBulletin if @tiggr_ exclude BF3 maps from the poll... I am going to RIOT!! I really want Seine Crossing back 😭 😭|I would pay for it!!
366,0,Choose your words carefully hurting someone feelings is not the right way to go.
367,1,@AstroDWJust I was only clarifying for my LEGION of other followers. #sarcasm #NotForTheIntellectuals #DrHandsomeDennis
368,1,This long drive home later in the snow is gonna be shweeeet #not
369,0,#and #As #But #Cake #Like #MMs #Made #Make #Not #Food|Please RT: http://t.co/SDrBy5tNd5 http://t.co/wiH6mB1Pfx
370,1,@joshtiffers this is my new fave thing on facebook #irony #sexpest http://t.co/OpIVUx5Qxh
371,0,@benmaller public hammering the Steelers all week. Juicy.
372,0,Lagopodous - Like a rabbit's foot!!|Not so easy to drop into conversation but you never know.
373,0,I have this weird urge to buy a hamster
374,1,@twitterlessTROD has the best pickup lines #not
375,0,"Today stats: 5 followers, 8 unfollowers and followed 2 people via http://t.co/Xk07IiC3Mv"
376,1,"decided to do a really fun thing, left myself 15 hours to sit an exam and write 3 x min. 1000 word essays #not"
377,1,I'm so good at sight singing. #not
378,0,@UberFacts: Men with shaved heads are perceived as an inch taller and 13% stronger than men with hair. @KOJAK_M
379,0,@KyleCGShore a kiss on the cheek next time is enough :)
380,1,Working on Boxing Day is so fun #not
381,1,Love these cold winter mornings 😬 best feeling everrrrrrr #Not!
382,0,Thirst will make you settle for a grenade bruh
383,0,I miss the days when all my close friends lived in the same city.
384,0,This link will be relevant in a couple of days. http://t.co/EH75woor3u
385,1,@MicksTaxis my favourite day of the year !!!! #not http://t.co/fQObKVzvrc
386,0,"or have you redefined ""network"" to mean a lone moron talking to himself on youtube @RBRNetwork1 @JoeHilgerman @1_Free_Man @ABPT_Rocket"
387,1,I am 100% sure that the cereal box I just decorated is an accurate representation of how well I know the book. #sarcasm
388,1,I love when I wake up grumpy #not #effroommates #yourtooloud #personalalarmclock #notnecessary #bequieter #ugh
389,1,"#13CABS apparently this guy only does city-airport. If not, swears & drives off. Even from a taxi rank #goodguy #not http://t.co/xZ0bXMZIhD"
390,1,Makes perfect sense to get mad about something that happen 4+ years ago. #not
391,0,Jimi Agbaje is a fine man...in respect to public service what notable landmark has he achieved? #Not Tested|Jimi... http://t.co/MCNlrZffAO
392,0,"Is your internet a bit slow today? Blame a thick, wet, cable: http://t.co/U3XGalyJdr"
393,1,Lol... That's real cute 😒 #not
394,0,My life on a daily basis #sarcasm #notreally #lcsbeauty #followme #lblogger http://t.co/Gb7WECItTD
395,1,"dude said I better think hard , so he can take me to cheddars lmao ! #not"
396,1,@RozieBreen @CllrKWakefield @tomriordan @GaryVerity @BBCLeedsif we get it right for business the trickle down fairy will do the rest #NOT
397,1,"@Dodgers Gonna miss @TheRealMattKemp, @FlashGJr, @HanleyRamirez and others, but at least we got Howie Kendrick... #Sarcasm #NotStoked #WTF"
398,0,#America #continues to show us that it is #NOT here for #BlackPeople even though http://t.co/plj8KgPsbu
399,0,@SR_Duncan @OreoSpeedwagon_ Ah ok. Well I hope things keep going well with person A x
400,0,"We need a #Democracy #NOT #CoPocracy!!! #Police, #MorningJoe! #BlackLivesMatter #DemocracyMatters #Ferguson #EricGarner"
401,1,About to fuck up this Media exam #not #actuallyihopeso
402,1,"@NBCSportsRoc: Arizona Coyotes forge deal with BMW http://t.co/s7ZhDHk5li But, relocation!!! #Sarcasm"
403,1,"They decided 2 change King's trunks 2 gold, his logos 2 green & his tights to blue. How creative. #Sarcasm."
404,1,@andygreencre8iv @_BARRYISLAND_ Pulled by White Van Man by the looks of it. Yuk .. so naff. That keeps the magic of xmas alive..#NOT
405,0,"there is no such thing as ""racists"" because there's only ONE race, HUMAN @RBRNetwork1 @Dolphin__Man @TheOldBreed1775 @jus1314tin @CoutoPanda"
406,0,@wakkatidus1234 They say #not #responsible and your #NotWorthIt to offer even $10 #discounts for the worst #customerservice I have ever had!
407,1,"Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. #sarcasm"
408,1,"@Bad_Cat_ Wow, that is just so funny... #not"
409,1,The BOLD BAKERY by Sarah-Brockett #bakery #sarcasm http://t.co/zl5zxAD62Z
410,0,@Quikr @Vh1Supersonic |Its @DILLONFRANCIS  bcoz he is so #Nasty and loves his #sarcasm ...||#GoSupersonicQuikr
411,1,You know when you send presents to friends who live far away and they never get there.. and you handmade most of the stuff.. yay #not
412,1,love studying for anatomy 💓 #not
413,0,Horses are just hornless unicorns :O ||#enlightened #mystical #wow #Not #on #drugs
414,0,"EXO COMING SOON 2015||Better pray this is better with 10 members *sighs* But either way, obssessed fans would still be obssesed ._."
415,0,In need of a rose winee🍷🍷
416,1,"@nostromonavis @RamziNasir @StanleyCohenLaw You are kidding, right? #irony #poortaste"
417,1,@walshamboy @TRobinsonNewEra @UKLabour there's a link somewhere just can't quite put my finger on it #sarcasm
418,1,"Migrains,, throwing up are always fun #not"
419,0,@SR_Duncan I think you should go get checked out
420,1,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated! #not
421,1,Shit just keeps getting better and better!!!#Not #ShouldOfStayedInBed
422,0,The ones that caught me by surprise were the ones I didn't expect #duh #redundantredundant
