index,label,tweet
700,0,'Tis the season for tablets! I entered the #tabletsforall contest to win a tablet gift pack. Check it out: http://t.co/4erdSJRFoW
701,0,I wish I did better in high school
702,0,"Song of the Day: ""The Lights and Buzz"" - Jack's Mannequin."
703,0,"Got nothing against Muslims, but fuck these Islamic Cunts are disgusting :/ #sydneysiege"
704,1,Good crowd at the Independence Bowl...#sarcasm
705,0,I promote #EDM why would I add jazz? Some ppl will do anything 2b popular #SoObvious #WTF #AttentionWhore #keepitreal http://t.co/p3IVORI8k3
706,1,doing mental calculations and realizing that your chances of passing a module are slim to none is fantastic #not
707,0,Oh noes! The night train Berlin-Malmö runs only during summer! http://t.co/nJYk9hf6PQ & me who was planning a long comfortable train trip :(
708,1,@stephen__tommy and yeah I set it at 130 not 150 because overworking your rookie pitchers is totally okay #not
709,0,Bet that was #limbs in the Sunderland end
710,1,Nothing beats a surprise Tetanus shot at the doctor's office. #blessed #sarcasm
711,1,#ff By ideiasdebolosdocesedelicias. Such a different twist to the regular #frozen cakes :) We love this one! #not... http://t.co/WSuhWFyhUC
712,0,It's all about Twitter #not a clue
713,0,@TheTweetOfGod Even you have to think the Religious Freedom Restoration Act in Michigan is ridiculous.
714,0,How to know when he really loves you. #tmi #imsorry #chickfila http://t.co/ghhfbkyW5V
715,0,"#SteveHarvey worships #Obama b/c he doesn't research, then calls every1 else ignorant. #Fuck this guy. http://t.co/4ENfDvU4hN #Irony #Idiot"
716,1,@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. #Not
717,0,Look behind you # Tara # Ella # Starbucks #mytopgirls @ The Omni Santry http://t.co/6fDS3kpjc7
718,1,I feel so blessed to get ocular migraines. #sarcasm
719,0,LOL lets see if he actually READS it|@Laura_Charlii @RBRNetwork1 @Graves9
720,0,How does #bigdata and #analytics look compared to the #cynefin cause/effect decision framework? https://t.co/LHSXbg8tL4
721,1,We prefer to lose the derby vs #SuC and fight for Ligna trophy. #NOT
722,1,Haven't been to sleep. Feeling AWESOME. #sarcasm
723,0,@LipsbyCarla @IAmSteveHarvey I won't be pledging anytime soon...why are these GROWN women competing..AKA vs DELTA...crabs in a barrel..SAD
724,0,"@lionhart32 @Dosta1 @BSButcher My,Nephew stopped a lot. His long hair. looks like a drug dealer. Never smoked anything Pills?not an aspirin."
725,0,Why must I pay more for car insurance when I don't have to? Don't get ripped off - trust GoSkippy http://t.co/eCmZ806Q44
726,0,In case somebody breaks in our apartment 🔪😵 http://t.co/3IhKK7AY1o
727,0,"@DSzymborski @Swydan Paul believes Rubby, Webster, Kelly, etc. are bad players based on '15 projections. I believe in their upside."
728,0,Save Manage & Make Money - Join for $99 make $600 #Discounts #Vacations and more http://t.co/6mTjJ6i7Nf
729,0,"@RedState People who commit crimes, resist cops, or attack cops are endangering their own lives. No respect for law or other people."
730,0,"Every you're a fucking cunt, lying cunt did I say cunt song is about you now. How cute is that #defo #not #pissed #off #nope"
731,1,"Dear Manila, I'm with your traffic twin - Bangkok! yahooo #not @ Sirat Express way http://t.co/qdVpu9wZEc"
732,1,Oh yess Dean Smith is ref #sarcasm on the plus side we have thompson #improved
733,0,@Quikr Alone Tonight cause its a personal song which helps me to imagine myself beyond another world. |#GoSupersonicQuikr|@aboveandbeyond
734,1,"@iPhoneTeam if you don't want to upgrade your iOS or keep many pictures, yeah it's great #sarcasm"
735,0,Damned if you do... http://t.co/iAJmWD7Yta #communication #truth #sarcasm via @TheM3Blog
736,1,"@DailyMirror Great job on reporting on a mentally unstable man and calling him ""drug crazed"" #Sarcasm"
737,1,@SerJeyms: This year's class picture is so awesome. Really awesome! #irony 👊  hahahahaha 😂
738,0,@TonyRohrs they've spread their positions off with long feeder cattle! #sarcasm
739,1,Love working and be exhausted all the time #not
740,0,I dont understand tlist as I dont read inamorata I only read inamorato lmao #sorry or prob #not lol
741,1,@bophiesurch SHE SHOWED YOU! #sarcasm
742,1,@MeraDharm @Swamy39 You do look a die hard fan of his #sarcasm
743,1,@Shadoya_osman and he can't find himself a pair that would fit #irony 🙈🙊🙊😂
744,1,I'm glad the DC Council has it's priorities intact... #sarcasm #DC
745,1,The good thing about college is that you're not asked to do evens or odds or even the back page of your worksheet. #Sarcasm
746,1,@OpineJ There's no personal responsibility anymore. You can't expect anyone to think. #sarcasm
747,1,"@Esmerodo @MonteMcNaughton @MacLeodLisa Yes, and conventional taxis drive verrrry safely. #pfft #sarcasm"
748,0,Thank you for all your Retweets @jbboats #TopForm
749,0,@b_shantel right! Clearly the po-po has been playing too much Call of Duty
750,1,I've changed gazilion times the #java configuration NOT to check for updates. It's nice that every five minutes asks me for an update! #not
751,1,Another fantastic day #not
752,1,Can't wait for next year when it's a Cyber Month Sale. #sarcasm
753,0,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS #NOT ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3
754,0,"A MAN MUST HAVE (3) F's TO GET a A IN LIFE: FORTITUDE, FOCUS, & FINANCES. http://t.co/3IY91CxWP0 @AlimHagan"
755,1,#Fact: #StarTrek adult onesie meets clothing requirements 4 Walmart employee. Just put on yr vest & a smile. #irony http://t.co/2RhG2iJjNB
756,1,@Rich_Herrera_4: @pcon34 IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier. #sarcasm #MichiganMan
757,1,can't wait for the 3:30 hour drive back home. #sarcasm   #betarocks15
758,1,"Have successfully avoided everything from season 4 - which I've not seen and there's an S5 one, in my timeline.  Thanks Indy! #Not"
759,1,Well. If it's not one thing it's another. But hey why not a like new exhaust. #pissed #sarcasm #GRRRR
760,1,"'Liberated' Iraq -- 2014 One of Bloodiest Years with More than 36,000 Victims: http://t.co/GCW05uriIT Thank you, Western liberators #sarcasm"
761,0,@kennobish could do with someone making me a hot chocolate right now ahaha
762,1,@TheStarPhoenix #spnews #yxe I hope you weren't driving when you took that picture. #irony
763,1,Great start to the day #not
764,0,@andyyoung2 @maneezafmcl @im_seo_Alan please reply to this gentleman on behalf of all of us here @Foodjob #jokles #irony #gotrealworktodo
765,1,"Isn't this blaming the victim? #sarcasm RT @chronicle Every year, 600K college students are injured while drunk. http://t.co/guuGP49ZZD"
