tweet,label,index
"I’m heading out to snag my COVID-19 inoculation! Thanks government mandate! Super pleased to be doing my part even though the vaccines do not stop one from getting the disease, they do not stop the spread, and it leads to a life of non-stop useless boosters! Woo-hoo!",1.0,350
it’s always the girls I don’t even know that wanna talk about me 24/7 :) I love my fans :),1.0,351
not enough essays about hozier saying “i slithered here from eden just to sit outside your door” and all of the implications that go along w it,0.0,352
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,1.0,353
"every Tom Holland movie i've seen is a masterpiece, i don't think it's coincidence. anyways watch Cherry on apple TV and The Devil All The Time on Netflix",0.0,354
. @atptour The wearing and non-wearing of face masks by support team and family of players at ATP events is shockingly bad and setting a really poor example to anyone watching. Is it within your remit to encourage or enforce better adherence to effective face mask wearing?,0.0,355
@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,1.0,356
Can't wait to get a kebab,0.0,357
"Tonight @ dinner I sat by &amp; chatted w/ the former chancellor of Ole Miss, a former Miss MS, &amp; the owner of the Miss America pageant

Casual.",1.0,358
"Ya know, I missed a lot of things during Covid, but movie theater popcorn might top the list.",0.0,359
It was the jerseys,1.0,360
"@Corvus_Black031 @BellularGaming He's right, not enough to warrant resubbing and at this point people are already talking about the next expansion because they're completely over this one.",0.0,361
"5 star personality
4.8 star uber rating",0.0,362
going to be running on three hours of sleep at work tonight! so excited!!!,1.0,363
https://t.co/jpgi5N4U9C,0.0,364
"Wow, can’t wait to go into ANOTHER lockdown 🙄",1.0,365
"If u watch the game at my house &amp; u talk during Cal's halftime interviews, my dad will frantically shush u and say ""God is talking!""",0.0,366
Semester hasn’t even started and I’ve already had two breakdowns :) this is gonna be a fun one!,1.0,367
Two goals caused by two awful goalkeepers #Capitalonecup,0.0,368
excited to start my new hobby of standing in the lgbtq section of the feminist bookstore and look hot and mysterious until I get noticed,0.0,369
why was suite life on deck not called zack and cody on a boaty??? missed opportunity,0.0,370
people in london are always asking me for directions !! i am as lost as you !!!!!,0.0,371
Bit odd for someone to resign over a party that didn't happen *eye roll*,1.0,372
I’ve been laid off !! Nice:)),1.0,373
How nice of tonsillitis to join me on my holiday 🖕🏻🖕🏻🖕🏻🖕🏻,1.0,374
me not turning up to work is a feminist movement actually,1.0,375
can’t believe the covid vaccine made me lose a limb. i thought being tracked was the only side effect ,1.0,376
As if we’re all actually going back to the footy tomorrow literally gonna be epic,0.0,377
Is there a zombie apocalypse going on upper street,1.0,378
Am I the only one who thinks burrata is boring af?,0.0,379
"""Do a PhD, it'll be fun and rewarding,"" said no clinically sane person. Ever. I repeat. Ever.",1.0,380
thinking of getting a tattoo that says “enough” both affirming that I am enough while also suggesting I’ve had enough,0.0,381
Love it when I forget to transfer my rent money over from my savings 🥴,1.0,382
"Sometimes I lay in bed and think of all the ppl on tik tok who shaved their heads to go viral and didn’t and now are just bald, no clout. Wish I knew who they were so I could throw em a like 😢",0.0,383
"wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out",1.0,384
mentally I’m hiding in the walk-in,1.0,385
"If the sound of the rain outside wasn’t bad enough I’ve now got my neighbours climbing onto their roof and shouting ‘I love blowjobs’, perfect background noise for me trying to study 👍🏻",1.0,386
Can't wait until I live to be 110 years old and I have people asking me how I've lived for such a long time so that I can make up some hyper-specific secret to longevity that people will inevitably follow,1.0,387
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",1.0,388
If Nick Lachey wins TMS I will be so bitter.,0.0,389
every date I go on I get a little scared will be phone swap,1.0,390
The omicron variant has decided to give us all a wonderful gift for Christmas. For that one day it has chosen to not be spread between people at all. This gift will make me feel a lot better about being around loved ones who still refuse to get the vaccine or to wear a mask at the very least.   ,1.0,391
@McDonaldsUK Would love a cheeky McDonald’s breakfast before a busy day at work would set the day off on the right foot ! 💓 #FancyAMcDonalds,1.0,392
I love it when someone criticses my parenting then their adult son cuts his finger off with a knife and breaks his leg by falling off a bike,1.0,393
I entered @grav3yardgirl HUGE BACK TO SCHOOL GIVEAWAY to win a macbook pro &amp; tons of other prizes! CHECK IT OUT HERE! https://t.co/qwNsVghNAc #grav3yardgirl,0.0,394
Football is a rollercoaster. And all those losses and heartbreaks are all worth it for nights like this. #AVFC #AVLARS,0.0,395
Target just brings me too much joy,0.0,396
"Vaccine mandates are obviously great things for the good of the people, cause nothing bad has ever happened by forcing people into things. ",1.0,397
All the shade i have been hearing about Ben Platt being unbelievable as a teenager in the @DearEvanHansen movie  boggles me.  Does nobody have any memories of Grease???  Name 1 actor on that film who believably looked high school age!,1.0,398
Come on Tom Ford! #snooker #WelshOpen,0.0,399
@DarkenerWoW @wochinimen @MissPurplePixie shit healer,0.0,400
Perfect afternoon chilling https://t.co/zQxELWrbop,0.0,401
I accidentally made butter when trying to whip cream this morning and I think that’s a great representation of how I’ve reached my capacity for working from home,1.0,402
My dad is bringing me home Spider-Man Vans from Spain I cannot wait 🙌🏼,0.0,403
"At the point in my life where my body keeps developing new allergies. My metabolism has slowed, hangovers are no joke anymore, and now I can't eat several of my favorite fruits. Screw wrinkles, this is the reason why people are afraid of getting old",0.0,404
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1.0,405
"Lucky for @JoelEmbiid , only MVPs get tossed for those kinds of fouls #76ers #ATLvsPHI #hawks #NBAPlayoffs",1.0,406
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,1.0,407
I love when I start choking on my water in my 8 person class,1.0,408
For so long Americans condemned greedy businessmen but made that their sole reason to elect #Trump. #POTUS #Greed,0.0,409
Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,1.0,410
I just wanna have the same love for life as Phil from Modern Family is that too much to ask,0.0,411
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,1.0,412
thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1.0,413
yo ima hott mess but at least i’m hott,0.0,414
The joys of academia; spending 2 whole weeks to be working on an application to be told in feedback that it scored strongly (but didn't get it),1.0,415
@igreen95 thx for the play by play,1.0,416
"I unsubscribe from being an adult, its not for me",1.0,417
i'm gonna be real i voted weeks ago and i'm lowkey sad i don't get a sticker😞,0.0,418
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",0.0,419
Sleep is numero uno,0.0,420
Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,1.0,421
When you let a 3 year old have your phone for an hour and your YouTube recommendations are now all Frozen and Lion Guard videos.,0.0,422
Maybe if I watched suits in year 12 I’d be studying law rn,1.0,423
"i know starting up school again can be very stressful but pls remember to stay hydrated, don’t overwhelm yourself, and reach out for help if you need it (my dms are open!) :)",0.0,424
"We get it ESPN. Sawx and Yanks. 

Let's go meteor.",1.0,425
Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK,1.0,426
@pamparoni i mean it aint broke yet,0.0,427
"I spend the day sitting or napping, I ration my food like a psychopath, and I take one walk a day. I am my dog. #Covid_19 #CoronaVirusUpdate",1.0,428
accidentally followed CCD guidelines instead of CDC guidelines and now i have covid AND catholic guilt :/,1.0,429
When it's September 1st and you're excited cause you realize Halloween is next month #enthusiast 👻🎃,0.0,430
"these two girls are on the beach in lawn chairs, i love shoobies",1.0,431
Little NTA rundown coming at you,0.0,432
Love that The Paris Hilton doc opens w a Jesus and Mary Chain song,0.0,433
"Ah, we really needed that vaccine booster address from Boris Johnson, and it wasn't ANYTHING to do with getting the media to report on something else other than the Downing Street Christmas parties. ",1.0,434
"So we actually have to do hot girl summer without 1989 Taylor’s version., I’m sick",1.0,435
"this narrative of ""protection"" that women require is infantilising and off-base. it implies requiring smothering as opposed to freedom to occupy spaces, yknow, as people.",0.0,436
@rolandsmartin @nypost Damn!  At my wedding we drank enough to make up for the no shows!  🤔,0.0,437
They should just put a wall around the pitch to stop the ball going out,1.0,438
"Well done Henri, cost us the win #nffc",1.0,439
"We'll be giving classic, cult and trashy movies away next week at our charity horror night - https://t.co/TuCvfGNm9n 📽💀⚰🔪👹 https://t.co/lGJgbAD3Da",0.0,440
officially tapping out of the single market of the EU and I don’t think Taylor is releasing anything tonight :/,0.0,441
"Wow, work is just so rewarding and fulfilling right now",1.0,442
"Sure, vaccines make no difference to Covid spread; that's why the hospitals are full of unvaccinated people. Are you able to do the maths?",1.0,443
Just wanna exaggerate that I would die for David Attenborough,0.0,444
"Dry your eyes mate, they're only trousers",1.0,445
idk why but my norms wr skyrockets when I solo q,0.0,446
Forbidden forest was so peng,0.0,447
Anyone selling a parklife weekend ticket??,0.0,448
@savingfilm @_celia_bedelia_ I have zero tampons and 2.5 weeks to figure it out!  😳,0.0,449
"The best part of going out, is waking up at 2PM the next morning wondering whether you're dead or not and what day it is. 😂😳😀",1.0,450
Just tested my egg drop at my apartment complex and it fell on a man’s head :) but no worries he was bald so the yolk just wiped right off,1.0,451
Can't put into words how buzzing I am that #LineOfDuty is back,0.0,452
I just don’t think it’s too much to have a perfect life with absolutely no problems 🤷🏻‍♀️,1.0,453
I went to the best restaurant today for dinner. It was absolutely amazing. My steak was cold and the fries were rock solid. I expected my food to be mouth watering and it sure was when I had to wash each bite down with my drink.   ,1.0,454
i went outside today and suddenly my depression is cured,1.0,455
imma still vote for vermin supreme this presidential election 😤,1.0,456
Ain’t never really had a daddy so I’ll never really need one 🤷🏾‍♀️,1.0,457
When your @Apple delivery gets stolen by a UK Mail delivery driver and the police know who it is but I still don’t get taken seriously🙃🙃🙃,1.0,458
@PetsatHome racial stereotyping is the problem. Please listen and retrain your staff. https://t.co/UvLkji9s5H,0.0,459
