index,label,tweet
0,0,@sollyakhtar @OK_Magazine @Nikki_Grahame1 #whoISshe LOLOL !!
1,0,"@tweetkumud we are here to fight endlessly and change the system, atleast I am not going anywhere irrespective of result #AK4Delhi"
2,1,"Woke up with my foot the size of a balloon, that's just what I needed.. #not #ouch"
3,0,@CameronJohnso23 so pissed at 2K rn..
4,1,The American justice system 👍🙌👏 #sarcasm
5,0,"i.e. cutting gov't spending, as Harper has done w/ public sector jobs, injures the economy & multiplier effect of those jobs #cdnpoli 2/2"
6,0,Just watched the last ever one tree hill. I'm an emotional wreck and it's not even 9 o'clock
7,1,"@ProgressMich kids don't need schools! Schools just turn them into gay atheists, gaytheists, if you will. #sarcasm"
8,0,@Elena_in_Rome easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen#not good enough#gutted
9,0,Goodie bags for 2nd grade are done! #whatsnext?
10,1,@deWaardSara You can afford stocks? Teachers make SO MUCH money it's crazy! #sarcasm
11,1,@manicsue: You want to see something Irish!!Of all the reasons to be closed 😂😂😂 http://t.co/ePyGvA9pwU #irony
12,1,"Crime figures: true picture may be worse than feared, says think-tank report | via @Telegraph http://t.co/dps9g5Zc6l Surprised? #not"
13,0,"@mpolz_25 mostly LRS stores, just depends on who gets what. I'd say I tend to split between @CascadiaLIQ & @metroliquor_uni"
14,0,I'm not staring at your boobs hun..I'm looking at your heart #relax
15,1,I doubt this week could get any better. #sarcasm
16,0,#BBC #News -- #Denmark #challenges #Russia and #Canada #over #North #Pole. http://t.co/toAn6TGXcl
17,0,@ceddamack The Raiders are. I guess we'll see how things play out tonight.
18,1,Babysitting is what I like to do on a Saturday 😒 #not
19,0,I already can't wait for Julia to come back.
20,0,"@MyzzCryz she went from a faded orange mess to a dark brown with red streaks. I, of course, forgot to take pictures."
21,1,@K_TR69 @tracieeeeee @KDunham4Prez too much of that herb. New trend of potheads contributing to society maybe? Darn that #sarcasm
22,0,Forest Hills Drive on my playlist naw....
23,0,Drinking an 925 IPA by @bdbrewingco @ Ground Control -- http://t.co/hEkaYsbQRI #photo
24,1,Love that my buses are every half an hour😠😡😤 #not
25,0,"@TheView,@WhoopiGoldberg, women say 1 man asltd them, y so long 2 say sumtin? & the young 1s, where the parents? Hotel wit grn ass man? Smh"
26,1,Wheres the rodgers in brigade #sarcasm
27,0,They working me so hard tonite
28,1,Tomorrow three test signature.|Thank you. |#school #sarcasm
29,1,This team would finish fourth. #Irony #Arsenal #Afc
30,0,Senate Just Confirmed a New Cabinet Member That Has 2nd Amendment Supporters Furious - The Senate confirme... http://t.co/3TvNFNw8tn
31,1,"@NintendoAmerica wait...there's a ""New Wii U""? #Sarcasm"
32,1,@cafartic heh as if @Telstra and average work in the same sentence! #sarcasm
33,0,@Vh1Supersonic @armshouseninja @UKF |*Everything is crossed*|#ChristmasGift |#BassFace http://t.co/x54n9zP12K
