index,label,tweet
0,0.0,@kennobish could do with someone making me a hot chocolate right now ahaha
1,0.0,@scottjmcg they are all written out in a gold gel pen waiting! I hate how are relationship consists of twitter messaging #not #fulfilling
2,0.0,Is Obamacare Slowing Health Care Spending? #NOT http://t.co/gKyyRlh689 via @forbes
3,0.0,Sad to hear about @StuartScott passing. His family and friends are in my prayers today. #rip @espn
4,0.0,"I always forget that many #activists and #radicals who are most earnest look back fondly to 1918 and 1793, not 1848 or 1789. #classwar"
5,0.0,http://t.co/TUqXSWNBuP In light of the #Murders of two NYPD Officers inspired by #IcantBreathe should... http://t.co/nMYE90O4in
6,1.0,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!! #not http://t.co/6ucMg84g4w
7,1.0,Many of the best ideas come from having fingers too fat for your keyboard. #not #nimble #not #agile
8,1.0,Oracle on Windows 2000. This should be fun! #Not
9,0.0,@GG_Studio:Congratulations GG for giving us amazing collections for 10 yrs.In fact i was planning to do the same for u from my prospictive😊
10,0.0,"@Jaketallow but if you feel like it's relevant don't worry about the word limit man, at least you're doing it"
11,1.0,"Time for the post Christmas car wash, yay!!! #sarcasm #friesenfamilychristmas"
12,0.0,"@DIYcookery: A Guide To Coffee 👌 http://t.co/CXJigjMwaa LOL, espresso from that time we went to the Maple Leafs fan fest @sammiebressette"
13,1.0,Really love when the @DASHBus  is over five minutes late on the cold days. Feels like Metro! #sarcasm
14,0.0,One from her please *cries* http://t.co/z0Yt6Dax7s
15,0.0,If you gon' judge people who drink and blaze FOH Go choke on some foreskin
16,0.0,#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9
17,1.0,I doubt this week could get any better. #sarcasm
18,1.0,I love 14 hour shifts #not 😩😩😩
19,0.0,@lennutrajektoor And this is a warmly ment #sarcasm from me to You! :-)
20,0.0,"@Steeeneer @TMZ I know,  right?  Not like the LAPD have anything better to do. This ain't a distraction or nothing.|#sarcasm"
21,0.0,"When someone on a conference call talks about ""housekeeping items"". Grrr."
22,0.0,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead
23,1.0,Hashtags are great idk why everyone stopped using them #jk #sarcasm #bye
24,1.0,I didn't know the story of Noah had transformers in it. Man the modern biblical tale killsssss it. #not #whatarethelivingrockpeoplefor
25,1.0,Thank u to all u beautiful ppl that talk extra loud when I'm trying to watch tv I love you guys so much #not #srslyofALLrooms
26,1.0,Hello indoor lung nice to see have to you back. #not 🏃😑
27,0.0,Harry's literally such a good person it hurts my heart BYE #InternationalHarryStylesDay
28,0.0,"Enroll 2 Members 1 on each leg (L/R). THEN, help your 2 Personally-Enrolled Members get 2 Executive w/ Diamond Pkgs. http://t.co/X7Tu7JJtCT"
29,0.0,You can spit on a rose but it's still a rose.  #contempt  #sarcasm  #mockery
30,1.0,"I have a small jacket on , with a big coat for later , I'm back at the train stn going back into town  , work Xmas do #joy #not"
31,1.0,I just want to thank e-l-e-n-a-t on tumblr for spoiling me #BOFA -.- #sarcasm... Honestly? Fuck you! #martinfreeman
32,1.0,"@carlytyler @greateranglia let's face it, at the mo there's delays on any day ending in a y! #valueformoneynot #sarcasm"
33,1.0,When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda
34,0.0,@johnsykes1035 absolutely shocking that the lamestream media hasn't picked up on this #sarcasm #mediabias @theMRC @newsbusters
35,1.0,"managing to fall flat on my face up the library stairs, has just made it to the top of  my list of proudest student moments #not"
36,1.0,Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!! #sarcasm #needmoresleep 😴💤😕
37,1.0,yet another rainy goshen concert night☔🎻 #surprised #NOT
38,1.0,Set my alarm for PM not AM...guess you could say I've got my life together #not sorry @PE_Tweetcher #Pearlburg mom and Jesus
39,0.0,@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986
40,0.0,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS #NOT ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3
41,1.0,Tomorrow will be a great day...#not
42,1.0,"Guess its just me, brett and my mom this year. Gotta love my family! #not"
43,1.0,@C_o_r_g_i wtf thanks for saying bye #not
44,1.0,Coffee and Fiber One. It's worth getting up for. #Not
45,1.0,"@greateranglia really well done. Another short formation, so I get to stand for the 3rd day in a row from Kel to LLS 7:18. Thanks #sarcasm"
46,0.0,"@stuhirst well, people did ask where would have been without McCormack, and here we are"
47,0.0,"Rush rush rush, all done and then POW, a football through the window.#glasseverywhere #boyswillbeboys"
48,0.0,Lady in red ❤️✨💋👸💃|#ootd #im #the #mom #not #the #godmother #lol #athenakairalyn #baptism #love... http://t.co/2RSoEHSV0B
49,1.0,I love my customers #not#annoying#stoptalking
50,0.0,@Quikr @Vh1Supersonic |Its @DILLONFRANCIS  bcoz he is so #Nasty and loves his #sarcasm ...||#GoSupersonicQuikr
51,1.0,😒 Half of the testing group was very helpful today. #sarcasm
52,1.0,So let me get this straight he was going to sign with UFC no matter what wifey said? #HappyMarriage #Sarcasm
53,0.0,And I used to hate coming to uni to do work lol
54,1.0,"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came. #sarcasm"
55,1.0,Aaaaaaaaand we're back in the ER. Hooray for no sleep! #not
56,1.0,@RazlanSings It's not work if you enjoy it #eh #not
57,1.0,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous #Not
