tweet,label,index
"@SteveMcKrosky @imbalaska @DaveMyFace @Clover_Joy_ @den2114 @MeyrickHarris ""left regressives"" is that not a label #irony",0.0,233
if trees would simply stop producing flammable leaves climate change would not be an issue,1.0,44
I picked next year's musical already...Electro City. Obvious choice.,1.0,153
"@tritternz he lost his license not long after, mwahaha #irony @PercolateNZ",0.0,59
A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower 🎶🎶🎶,1.0,127
Most people have security cameras for protection. Ours acts as a DVR,1.0,85
"@NBCSportsRoc: Arizona Coyotes forge deal with BMW http://t.co/s7ZhDHk5li But, relocation!!! #Sarcasm",0.0,51
"Heh, and fat, too. #ShotsFired #Irony",0.0,36
"If we win against Poland and Scotland, does that put us 65th in the world rankings. @YouBoysInGreen @FAIreland #Sarcasm",0.0,212
Watching VT and Cincy - qb for VT with (GODS) down left arm (GIFT) down right arm. - #irony #howmanygods #punctuationmatters,0.0,261
I'm seeing more and more people using the term #GamerGate and I can't believe I'm going to say this but they're using it incorrectly #irony,0.0,72
Everybody loves Christmas! It such a great time to be jolly!,1.0,157
"Lifes like a bird, its pretty cute until it craps on your head. #Gharwapsi #72HoursOfCrazy #PowerOfFive #lol #sarcasm #AntiConversionLaw",0.0,56
@bombguy95: If You Re A Chelsea Fan. Its natural To Be Sentimental.. If You re An Arsenal Fan.. Its Natural To Be Stupid||Spelling? #Irony,0.0,68
Just nearly cried in the tesco express because they didn’t have the cheese pizza or the back up pizza I wanted. My mental stability is strong today.,1.0,102
@RadiNabulsi Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm,0.0,215
Why is ISIS an acronym for words in English? #irony,0.0,64
@BarryBlackNE I don't think the Hereditary Baronet wants to encourage a something-for-nothing culture :-$ #irony,0.0,243
@anamyid @i_contemplate_ @left_liberal effigies of jesus or allah..... when she herself hadnt kept any of d hindu gods #irony,0.0,258
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,1.0,19
I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!,1.0,107
Who would've imagined that #jakeplummer smokes weed regularly?? #sarcasm #outsidethelines,0.0,154
"Duodenum, Jejunum, and Ilium would be cute names for triplets, don’t @ me",1.0,54
@JoshuaSinghAIW that bump off the apron looked like it hurt.. was that padding u landed on? #sarcasm,0.0,263
"I really loved the drive into work today in the dark, wet, heavy rain",1.0,170
"Is there a ""like"" tab on me? I'm not a facebook status to be liked by people... #sarcasm #RudeButTrue",0.0,240
I reckon straight women fancy victoria secret models more than straight men do #victoriasecret #irony,0.0,210
What kind of sins have y’all been committing for God to punish us with this kinda weather...,1.0,57
The city that only sleeps on mass transit. #naptime #irony #isntitironic #donchathink #imnotsure... http://t.co/yKcxmW5dVX,0.0,45
My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup,1.0,101
@muayguyblog @EFCworldwide what???? No verbal submission? #sarcasm,0.0,194
I'm just living off salads and yogurt and loving it tbh,1.0,94
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1.0,28
my car is acting up AGAIN for like the 3rd year in a row and I’m just going to drive it into the river at the point,1.0,100
Efy is great,1.0,36
Reading the Dundee United chairmanship statement tonight and you have to say what a lot of tosh..care of young players indeed #irony,0.0,199
"@NintendoAmerica wait...there's a ""New Wii U""? #Sarcasm",0.0,183
"me: revises cells + other general biology stuff
edexcel: ""i want a fit summer bod, get them to tell me how i get one""
#EdexcelBiology #Gcses2018",1.0,105
@ozchrisrock hold on a minute. Are you saying All blonde white women look the same?? #sarcasm,0.0,231
"ah yes, of the course the summer rain pours when im on foot.",1.0,65
It is good that very few businesses/govts in EM economies have borrowed much via dollar-denominated loans from international banks. #Sarcasm,0.0,230
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,1.0,90
@Espngreeny Aren't humans the ones who are playing the sport? #irony,0.0,54
"Too late, thrown the #PS4 out of the window last night cus i couldn't play #Sarcasm http://t.co/L86S0O47Aq",0.0,58
@Fleshframes plus my memory is short and I deleted all those pic you shared. Boom. #not,0.0,78
Who's ready for monsoon storms allllll weekend?!?!,1.0,80
Overthinking everything in life really takes a toll on you,1.0,32
@SurianibteAbu if it got the attention of the smartass to comment that.. Didnt it work anyway?? #irony,0.0,221
"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! 😪",1.0,34
Day 3 of night shift: “Can I get a triple shot puppuccinio?”,1.0,88
Hey what's the weather like today? Am I going to need an umbrella?,1.0,47
Decide that you want it more than you are afraid of it. -Bill Cosby|#irony,0.0,208
if i saw a capybara in person id probably throw up,1.0,110
@MaggieWinter21 your last retweet though #irony,0.0,6
Well. That went well. #BelgianGP,1.0,81
love it when R gives me the 500th error code of the day,1.0,174
"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)",1.0,104
"I'm literally out here trading eggs for potatoes

Day 1 in our new dystopian society is going well #coronavirusUK #coronavirus",1.0,121
Sums up my week really #sarcasm #NursingLife #WorkingDaysAndNights http://t.co/X3vnjbiSsy,0.0,106
"Blue skies, warm air, and the royal accommodation! #WhatMoreDoesOneNeed #Education? #Not... http://t.co/mEtHUIaAtR http://t.co/CsW0rfhGZZ",0.0,237
Pre work shenanigans lmbo alissamarie_b #letswork #not #kiddingnotkidding #funtimes #sheseriouslyrocks http://t.co/wht23Idawu,0.0,140
Really happy that the weather has stayed like this for the whole weekend,1.0,167
90% of adulthood is just refilling your Brita pitcher.,1.0,10
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,1.0,53
It's snowing in Chicago #whitechristmas #not,0.0,239
wearing a cute jumpsuit is all fun and games until you have to go to the bathroom,1.0,139
@charleswhite816 @DelbartonHockey I will let @bshatel know - I'm sure he is shaking/quaking in his boots. #not,0.0,253
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,1.0,16
Oh what a surprise BBC weather says it's raining in Manchester! in Manchester!,1.0,155
teams is down what a shame I can’t do my assignments 👉🏽👈🏽,1.0,9
@NovusOrdoWatch He was caught attending...*gasp* a Latin Mass. #sarcasm,0.0,79
Can I ask why we didn't hv GEJ n PDP trending yesterday night #sarcasm http://t.co/0oVx1ttwON,0.0,160
Funny how my phone starts turning into a piece of shit when the new iPhone comes out 🤔,1.0,149
considering crowd surfing the next time the hallways are too packed,1.0,18
Look! It's a white Christmas after all! #Sarcasm #MinnesotaProblems http://t.co/fFGDuJxgBj,0.0,101
It’s so fantastic when you pay £800 a month to live in London in a fully refurbished house and wake up with water dripping on you from the upstairs en suite XXXXXX,1.0,74
"Being publicly called a ""heartless arsehole"" for going about my day as usual. #irony",0.0,137
Birds are not real and you cannot tell me otherwise.,1.0,168
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",1.0,12
@Sidra__PTI you may also see flags of ISIS with him #Irony is this govt and ch nisar don't admit :'(,0.0,8
suddenly w-wada #not http://t.co/lwdLPpuDSj,0.0,34
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US,1.0,119
"Yeah I’m following a lot of shows right now, the price is right is pretty good but season 1 is better than season 2",1.0,124
Stop gatekeeping retirement living communities. I am mentally and spiritually ready to move in.,1.0,117
"@JohnCena @VinceMcMahon @steveaustinBSR hope you have more ambition john, cause no one else seems too. #sarcasm",0.0,123
"Irony died 1000 times during the climax of Sholay, when the police urged Thakur not to take the law into his HANDS. #Irony #Bollywood",0.0,131
"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)",1.0,140
I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella!,1.0,158
@sunlorrie @ctv ??? #Liberal used in same sentence?? Unheard of!! Turn in your keyboard sir! #sarcasm,0.0,159
"""coping strategies to help with tinnitus and hearing loss: see a doctor!"" Wow thanks internet",1.0,73
@dohanews they can use white/maroon xmas trees :) #sarcasm,0.0,38
"@araancheta Yes ara i am not, and you know that. Hahaha 🙊 #Irony 😂",0.0,176
I wonder what triggered the anxiety? #sarcasm,0.0,242
Girl put your records on. Tell me your favorite song. #irony #inasong #myfav,0.0,95
this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,1.0,69
@BIGJOEONTHEGO #ThingsBetterThanTitansJags napalm hotwings #bigjoefavorite #sarcasm love the show #keep it real,0.0,84
The @PuneLUG moderation queue is flushed once every one planet Miller hour! #sarcasm,0.0,177
@SrutisJay one of them smonks weed so it's super worth it /s,1.0,64
@Sahelanth @QuerierNew @hudds1 because as long as she's a victim she'll have white knights trying to save that damsel in distress. #irony,0.0,113
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1.0,24
"Few #relations are by #chance, few are by #choice and few are by #Facebook!! #irony",0.0,251
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",1.0,152
Anyone else hear some like thunder or something?,1.0,71
#NBA players #NY support protests of #police killings/sure #money donations for #college WB coming #sarcasm  http://t.co/WothDOXXeM,0.0,148
💫jsc bonding nights💫🥰🥳,1.0,86
"If loose lips sink ships, then loose tweets sink fleets. #irony? (@ NASNI Theatre in Coronado, CA) https://t.co/dvFfrwO74Q",0.0,109
#MuslimApologies – 10 Tweets that Explain What Muslims Should be Sorry for! http://t.co/wvPzLblVGL #Sarcasm,0.0,169
@billdossett LOOL from the guy with multiple twitter handles #irony,0.0,190
"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse",1.0,114
Why isn't there a playoff legend Romo? @EASPORTS_MUT #Sarcasm,0.0,48
"@whittmj1128 @Johnubacon @SamWebb77 this is true, the Patriots, Packers, or Broncos could suddenly need a new coach #sarcasm #itshappening",0.0,104
My vision looks like this =  just let me enjoy my first winter outside through a peep hole #sarcasm #growingwinter http://t.co/BiMXhC7WhB,0.0,181
"apparently it's the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to have vaguely summery shoes that don't involve me having my toes out to the world at all times lmfaoo",1.0,116
"There's millions of autobot & troll accounts on Twitter that post dumb sh*t for RT's, then people call them stupid & naive.||#Irony",0.0,127
@TheStarPhoenix #spnews #yxe I hope you weren't driving when you took that picture. #irony,0.0,219
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,1.0,67
Husband coming home early? #mongkok #kowloon #hongkong #dongiotravels #irony #50thfloor ... http://t.co/vvAWP30vua http://t.co/qdEScaifSk,0.0,87
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,1.0,59
In sunny spain at the moment!!! Hows it all in england?,1.0,50
Well that's me living till I'm 200yrs old!!! #sarci #sarcasm #sarcastic #wit #low #constant http://t.co/8NzMFso9Do,0.0,147
I love a Monday morning so glad the weekends over!,1.0,165
The high tomorrow is 45! Anyone wanna go to the pool?,1.0,150
The numbers talking to me!,1.0,115
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1.0,41
When that bish defollows you #sarcasm #disney #belle #MoreFollowersPlease http://t.co/i549jbbPLK,0.0,117
@dsobek No ... now someone will start a rumor of $ABBV pricing their HCV drug same or higher than $GILD #sarcasm,0.0,225
".Thanks to Kanye, McCartney will finally get that big break he's been waiting for. No more dumpster diving for him. #Sarcasm #caring",0.0,99
Another gorgeous day in sunny Accrington!,1.0,164
At http://t.co/mjC7vaiyE0 -- The sun finally decided to play #beastside #tahiti #not http://t.co/BiImkrtTn4,0.0,118
I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time,1.0,154
Can anyone tell iv been uploading items onto depop today lol #sarcasm #lotsofdepopuploaded,0.0,80
Just found out there are Etch A Sketch apps. #irony #oldschool #notoldschool,0.0,162
On a small diet #not http://t.co/UsLZOgYmEx,0.0,184
"If you wanna look like a badass, have drama on social media #not",0.0,206
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",1.0,15
When you get woken up at 3am because of aftershocks from an earthquake 👍😩,1.0,146
"Ah yes, back spasms when I take a deep breath. This is ✨28✨.",1.0,138
no more instagram. we must all return to scrapbooks.,1.0,40
What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa,1.0,21
"Well now the festive season has begun, let's take a moment to reflect on how much more royalties Slade and Wizard will get #sarcasm",0.0,214
It seems that Erdogan sends his best regards to the EU #Sarcasm,0.0,43
