tweet,label,index
Nothing like the 24hr swing back to being a day walker to make you feel like a million bucks... #sarcasm #shiftworkerlife,0.0,483
Picked an excellent day to get my hair done 😒 #sarcasm,0.0,975
Ah gotta love that Friday morning burnt out feeling 🌄,1.0,25
Highly inflamed stomach is just what I like #not,0.0,85
"apparently it's the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to have vaguely summery shoes that don't involve me having my toes out to the world at all times lmfaoo",1.0,116
Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh,1.0,90
💕 tip for baking bread! 🍞🥐🥖 you can use the yeast in your dog's ears to substitute active dry yeast or instant yeast in a pinch! 💕,1.0,95
Youve got to just love the efficiency @usps two-day service! #not #7DayService #prioritymail #hahahaha http://t.co/oQsqUAo5a9,0.0,103
Can't wait for my boyfriend to come home and kick my butt into shape.... #not 🙈😂 @DylanJohannink,0.0,776
Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US,1.0,119
@brad_deere it's been over a year since you tweeted. #DoinItRight #sarcasm #MaybeNextYear #NewYearsResolution,0.0,2335
Its gonna be a loooong day..  but yolo lets have fun 😆 #not,0.0,961
@KCChiefs did you think that only making 100 was going to be enough? #sarcasm,0.0,2076
"@leannrimes yep, the family of #EricGarner is feeling really joyful right now... #sarcasm #BlackLivesMatter #ShutItDown",0.0,2195
NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland,1.0,53
I'm glad H & M has employed enough staff today. #sarcasm #nohelp #terrible,0.0,2532
if i saw a capybara in person id probably throw up,1.0,110
Yeah so I'm on a diet🍕 #not http://t.co/RfgZvzuBC5,0.0,731
I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!,1.0,107
love it when R gives me the 500th error code of the day,1.0,174
I love my mom #sarcasm,0.0,2083
@SrutisJay one of them smonks weed so it's super worth it /s,1.0,64
@knoxnews thats not weird at all #sarcasm,0.0,552
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",1.0,8
Good thing I'm scared of clowns and my kindergarten teacher was dressed as one today. 😑 #not,0.0,1406
"“If I could have changed anything about my childhood I would have never watched spongebob”

-no one",1.0,56
"I’m so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes, get ready for college, oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT 🤠🥰",1.0,112
What kind of sins have y’all been committing for God to punish us with this kinda weather...,1.0,57
was not aware that Crocs were appropriate business casual attire.,1.0,62
Anyone else hear some like thunder or something?,1.0,71
A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower 🎶🎶🎶,1.0,127
@Hulksmash1985 My entire body sends sympathies too - I was diagnosed with Rheumatoid Arthritis 11 yrs ago - yay flare-ups!! #not,0.0,120
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,1.0,67
@patevans @grbj Too Sad...#NOT LOCAL NOW!,0.0,870
What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT,1.0,16
when the toilet seat is warmed up for you&gt;&gt;&gt;,1.0,46
Obama wants closer relations with a Marxist nation... I'm SHOCKED I tell you!  SHOCKED!  #sarcasm  #cuba http://t.co/as75A3kJ9z,0.0,2312
@spen0007 I have the box set of The Complete Steptoe and Son.  That should cheer you up #not,0.0,1429
@VTUK @shaunesden @LivingQWales @RightSurveyors |Ha ha! Christmas cat looks well impressed #not,0.0,102
"@lucasharriss_ Ok, hope it will rain soon #NOT 😖",0.0,2311
no more instagram. we must all return to scrapbooks.,1.0,40
My favorite part of flying is getting to walk past the rich people to get to my poor person seat.,1.0,137
this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,1.0,69
I just love the weather in Edinburgh have to dress for every season peeing with rain this morning now beautiful blue skys!! Just love getting soaked 😤,1.0,169
absolutely love waking up to the fire alarm at 7 am 😍,1.0,23
Life requires one to be strong at different times. I wear my red briefs over my pants. U just need a lil lust to see 'em. #TooMuch #Sarcasm,0.0,1072
90% of adulthood is just refilling your Brita pitcher.,1.0,10
STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.,1.0,28
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,1.0,19
okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,1.0,22
I picked next year's musical already...Electro City. Obvious choice.,1.0,153
I love it when adults act like children. ||#sarcasm #eyeroll,0.0,597
The numbers talking to me!,1.0,115
"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Can’t wait for part 2. 
#murderhornets",1.0,11
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1.0,41
I love being unappreciated #sarcasm,0.0,698
Petition to call erections social dickstanding,1.0,145
You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!,1.0,20
"North Dakota: *has one decent week of weather*
Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND.",1.0,98
2 1/2 hour nap then up for a ct scan at the hospital. perfect timing. #not,0.0,2731
@neiltyson mocking a spiritually precious holiday for millions is just so courageous of you...#sarcasm #shameonyou,0.0,1860
what a lovely perma-fall we're having here in milwaukee. #not #doomandgloom #gimmesnow,0.0,2944
"It was almost 70 degrees today but no, global warming doesn't exist 😒",1.0,144
@Suuism why? university always helping #sarcasm,0.0,790
I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh,1.0,128
"Time to continue cleaning out my closet. Happy, happy, joy, joy. #sarcasm",0.0,485
"It's okay, you know playing loud music during quiet hours is perfectly fine.. #not #somepplhavetostudy",0.0,693
@wecameashailee: 10 HOUR CAR RIDE AND I CANT SLEEP IN CARS YAYAAYAYAYAYAY. #sarcasm have fun bff!,0.0,2847
Love these cold winter mornings 😬 best feeling everrrrrrr #Not!,0.0,2863
"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman.",1.0,58
"Yea, yea that's logical. #Not",0.0,572
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",1.0,143
I love it when work tells me they don't need me to come in 💁😂😭😭😭 #not,0.0,1727
"me: revises cells + other general biology stuff
edexcel: ""i want a fit summer bod, get them to tell me how i get one""
#EdexcelBiology #Gcses2018",1.0,105
Life is about eating chicken finger and getting drunk,1.0,79
They really said you can’t have nice weather AND no lockdown for your bday this year huh,1.0,92
"Turned out nice again, I see [insert photo of flooded house]",1.0,166
Oh what a surprise BBC weather says it's raining in Manchester! in Manchester!,1.0,155
Another day in paradise haha #not,0.0,1897
@DejanLovrenLFC6 your #ambition is #amazing. #sarcasm #saintsfc enjoy exit from #ChampionsLeague,0.0,2318
#SocialMedia Where it's perfectly normal to talk to people in pictures ! #Sarcasm,0.0,1641
Girls who can rock this thang~ #PrincipalSwag #Not http://t.co/5eCiip7D3j,0.0,996
"@bustedcoverage  but Russell is a good christian fella, he wouldn't do that. #sarcasm",0.0,2840
tramp shit #youoweme #follow #NOT http://t.co/i0TxDIPTwA,0.0,155
And after being up for over 24 hours I'm finally getting some freaking sleep.. #HappyHolidays #Not #AlwaysWorking,0.0,1821
@Rich_Herrera_4: @pcon34 IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier. #sarcasm #MichiganMan,0.0,861
"at least... I've got spine, cause I can feel the pain in my back. #thinkpositive|#sarcasm",0.0,2021
my computer does this fun thing now where it shakes in a way that exactly replicates what happens to my vision when i forget my meds so that’s exciting !,1.0,93
"@treacle1690CCA @billyf73 good old JK landing people in trouble again, ffs William i thought you were more savvy than that #Not",0.0,482
I'm going to Finnish all my homework and get caught up on everything over the break #not http://t.co/d1OyKPzWwU,0.0,160
Happy Birthday to me! #imgettinold #not #ionlygetbetter ROLL TIDE! http://t.co/v8tWnYJJPB,0.0,2866
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1.0,24
San Diego is amazing and I'm never coming home #Sarcasm,0.0,1892
"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)",1.0,140
"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB""",1.0,52
why is the weather having a mid life crisis,1.0,72
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",1.0,15
"@MLS @ussoccer Awesome destination site. High population of 136k, super easy to get to, lots of great sites. Will do well there! #sarcasm.",0.0,304
When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda,0.0,33
"""coping strategies to help with tinnitus and hearing loss: see a doctor!"" Wow thanks internet",1.0,73
Love coming to school knowing I have tests all day #not,0.0,1864
Literally functioning on 4 hours of sleep and I feel great 😄 !! #Not #CollegeisKillingMe #OneMoreWeek,0.0,730
I am starting to think UK has a pretty good basketball team #BBN #sarcasm,0.0,1252
"Thanks mum for farting ... Not once, but twice during dinner with the BF. #NiceOne #NOT",0.0,1006
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1.0,2
I love a Monday morning so glad the weekends over!,1.0,165
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️,1.0,130
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism 🥰🙌🏼,1.0,1
Being ignored is still in my top ten things I love. #sarcasmtweet #sarcasm,0.0,62
"Math presentation, ap history test, ap science test, and whatever the hell we're doing in Asgill... Today should be fun! #not",0.0,880
"@Matthies2 Tx, i saw that. must be a great shot to defend oneself from a fierce attacking giraffe. #sarcasm #HungerGames",0.0,334
I’m gonna miss scantrons shortening my name to “Christ” after 16 years,1.0,103
Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! ,1.0,159
omg there’s a sheet of ice in front of my school. should I slip and fall?,1.0,30
"@JeffDauler @Scottydons87 the cop also had prior misconduct charges. But, ya know, that's ok #sarcasm",0.0,1674
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,1.0,37
@dawnlawsonaz Here's a list. Lots of great choices to help #Coyotes win a cup next year. #Sarcasm http://t.co/iERZ24GyWS,0.0,90
Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo #not,0.0,2019
"Oh good, it's time for the bi-monthly random power outage.",1.0,131
"dude said I better think hard , so he can take me to cheddars lmao ! #not",0.0,2964
I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella!,1.0,158
I wish that grilled cheese helped you get that summer bod,1.0,31
My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup,1.0,101
Wow I love school #not http://t.co/8Knui6m2nc,0.0,2116
"I have a small jacket on , with a big coat for later , I'm back at the train stn going back into town  , work Xmas do #joy #not",0.0,30
"@melleegee it'll be ok, just get your TA to fix it!! #sarcasm",0.0,928
"@ExcuseMySarcasm Oh no, I've tipped Gamergates hand. Now you know our end game! #sarcasm",0.0,2165
Corsodyl failing to consider i like being a person who spits blood when they brush their teeth,1.0,118
Well the week is off to a great start. #sarcasm #fml,0.0,2569
Day 2. Going to the DR for #2 cause I'm 99.9999999% sure she has strep #awesome #not,0.0,1338
"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy""",1.0,38
considering crowd surfing the next time the hallways are too packed,1.0,18
Just loveeee driving upstate in the snow #not,0.0,1294
