tweet,label,index
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,1.0,67
The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing,1.0,59
"Wait didn’t covid go away?? It’s after November third so it definitely should be gone now...wait...I’m confused...121,000 cases in a day? You’re telling me THE WHOLE WORLD didn’t fake a pandemic for the US election? No way...",0.0,1291
I still can’t believe England won the World Cup,0.0,1781
I live for the great British weather!,1.0,172
"I’m so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes, get ready for college, oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT 🤠🥰",1.0,112
"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1.0,2
"hello to all three of my followers, this is my big return to twitter",0.0,753
Funny how my phone starts turning into a piece of shit when the new iPhone comes out 🤔,1.0,149
"So Boris Johnson has decided to join the police this morning - he looked great in the hat. I think he will make a very competent police officer, indeed!!",0.0,251
Petition to call erections social dickstanding,1.0,145
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.",1.0,41
considering crowd surfing the next time the hallways are too packed,1.0,18
I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,0.0,1674
@TheBabylonBee And the hot air and BS she generates makes for a perfect backup energy source!,0.0,820
tiktok's full name is tictactoetok,1.0,87
Really happy that the weather has stayed like this for the whole weekend,1.0,167
I see ITV have new drama starting next week think it's about a police detective with personal problems that i'll make change then.,0.0,100
"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima",1.0,83
a level tudor history can do one,1.0,29
Always glad to live in Kent 🙈🙈,0.0,767
"I love it when women are referred to as ""girl boss"" however men are just the ""boss""!",0.0,1510
"So I have an exam tomorrow, but likeee if the country is about to turn into a war zone does it really matter??",0.0,69
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",1.0,8
no more instagram. we must all return to scrapbooks.,1.0,40
"Incredible scenes in Nottingham, as it begins to rain for the first time this hour.",1.0,143
"Turned out nice again, I see [insert photo of flooded house]",1.0,166
Most people have security cameras for protection. Ours acts as a DVR,1.0,85
If you don't like Lemonade you're an extremist 🍋,0.0,1680
"“If I could have changed anything about my childhood I would have never watched spongebob”

-no one",1.0,56
‘It’s only a game’ 🥴🥴,0.0,570
"@benshapiro it’s true, every time my little cousins put on their masks they choke to death and have to be revived. it’s very stressful for us.",0.0,1241
babe stop i’m about to gleek,0.0,1373
“it’s hotter in the america right now and it feels fine british people are just being dramatic 🙄” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE ‼️‼️‼️,0.0,1651
flew into a rage this morning bc i couldnt find my karaoke mic so yeah i would say things are going well for me,0.0,708
Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO,1.0,24
"My dad just said to me, “Hey, you’re kinda skinny, can you slip behind the fridge to look at something?” and it might be the nicest compliment I’ve ever gotten. So guys, go tell your girl you think she’s kinda skinny🥰",0.0,732
Whoop diddy scoop poop,0.0,1000
"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy""",1.0,38
@BorisJohnson @MattHancock Oh really?,0.0,1566
The numbers talking to me!,1.0,115
In sunny spain at the moment!!! Hows it all in england?,1.0,50
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄",1.0,12
my super power is always biting into the sour cream side of the burrito no matter what,0.0,1248
Is spunk a slur?,1.0,111
@SrutisJay one of them smonks weed so it's super worth it /s,1.0,64
fully vaxxed feeling very girlboss,0.0,644
I've just got up at five forty five on a Sunday to watch the Japanese Grand Prix as a Ferrari fan and saw Vettel jump (and then fuck up) the start and Leclerc tangle with Verstappen on turn 2. Lovely stuff.,1.0,141
"""I'm concerned about the environmental impact of my contact lenses,"" says the occasional daily wearer, throwing their Starbucks cup in the test room bin.",0.0,388
@adorinqdwt @dwtridesgnf Yes the racist is so cool!!!,0.0,311
absolutely love waking up to the fire alarm at 7 am 😍,1.0,23
My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup,1.0,101
Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,1.0,39
I can't believe today is the last day we can be gay.,0.0,801
"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB""",1.0,52
"Sure, vaccines make no difference to Covid spread; that's why the hospitals are full of unvaccinated people. Are you able to do the maths?",0.0,443
"It was almost 70 degrees today but no, global warming doesn't exist 😒",1.0,144
good evening sharks. hooters but for feet.,1.0,106
Can cats wear nail polish,0.0,888
so lovely to see that the government continues to prioritise the safety of disabled people,0.0,612
"first day of work, and i’ve already cried on the job 👍",0.0,931
Putting the toilet paper roll on so that it hangs under instead of over is a crime worthy of the death penalty,0.0,724
They really said you can’t have nice weather AND no lockdown for your bday this year huh,1.0,92
"oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez",1.0,152
@kashirenaii i would never go to six flags with u,0.0,1261
"I'm literally out here trading eggs for potatoes

Day 1 in our new dystopian society is going well #coronavirusUK #coronavirus",1.0,121
Being 20 years old and going to concerts with my mom means I can scream all the no-no lyrics bc iM aN aDuLt,0.0,233
Why are the side effects of antidepressants so ✨scary✨,1.0,109
"Nothing can be further from the kickoff of the NFL season than a pre-game performance by Ed Sheeran.

Nothing against him but he just doesn't inspire me to watch football.

#Football #NFL #Weak #TestosteroneDeficiency https://t.co/JTI2qgSxUq",0.0,1677
Day 3 of night shift: “Can I get a triple shot puppuccinio?”,1.0,88
"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse",1.0,114
Good morning September... Hello tonsillitis :(,1.0,89
Happy birthday to me. I got pinged and can't leave the house 🥰🤡,0.0,1534
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag 🙈😫",1.0,76
First day of school and spectrum internet has already shit itself. Amazing,1.0,77
"My sisters kid, when we were playing in the living room, told me that I look like ghoul due to my baggy eyes. I love children so much, they make me feel so appreciated and loved, always say the kindest things! ",0.0,1287
IF ONLY PEOPLE WOULD RAKE THE FORESTS. #Debate2020,0.0,1476
"If the sound of the rain outside wasn’t bad enough I’ve now got my neighbours climbing onto their roof and shouting ‘I love blowjobs’, perfect background noise for me trying to study 👍🏻",0.0,386
what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️,1.0,130
My eldest is having a wild Friday night out. She's going to bingo. 😂,1.0,6
"Anthony Taylor is such a fair referee, I wish he was put in charge of more chelsea matches",0.0,792
Boris Johnson is a great leader and all his team stick to the covid rules rules,0.0,246
Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit,0.0,590
"I really loved the drive into work today in the dark, wet, heavy rain",1.0,170
wow i love only ever buying gray and striped shirts,0.0,166
I am just loving life in Covid times. Long may it last!,1.0,173
"North Dakota: *has one decent week of weather*
Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND.",1.0,98
Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! ,1.0,159
Big day in the Mumford house #sports day,1.0,55
Really impressed at human evolution - Covid has made our bodies adapt so we breathe out our chins. Darwin would be so proud. ,0.0,1236
I woke this morning to another Monday of fine bright warm sunshine here in Norfolk. Just what you need to put you in the right frame of mind for the week.,1.0,171
this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,1.0,69
when the toilet seat is warmed up for you&gt;&gt;&gt;,1.0,46
I wish that grilled cheese helped you get that summer bod,1.0,31
I love it when someone criticses my parenting then their adult son cuts his finger off with a knife and breaks his leg by falling off a bike,0.0,393
omg there’s a sheet of ice in front of my school. should I slip and fall?,1.0,30
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,1.0,37
"Started watching house of cards, 4 episodes in. Already I can see it was a good choice😄",1.0,15
My work email isn’t working so I can just log off for the day right? 🙄,1.0,26
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,0.0,1526
Birds are not real and you cannot tell me otherwise.,1.0,168
i hate it here ❤️❤️❤️❤️❤️,0.0,1492
6 more hours and then a whoppingly massive 2days off work! wowzers!,1.0,133
I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate,0.0,85
"Omicron:  Cases are going up, run for the hills.",1.0,162
gaslight gatekeep girl boss,1.0,7
it'd be nice if missguided actually had stock for once🙂🙂🙂,0.0,529
I LOVE paying so much for gas. Really feels good to help out big oil.,0.0,1618
Hands up who remembers when EVERY blogger and their dog was a brand ambassador for Coconut Lane 😂,0.0,21
Anyone else hear some like thunder or something?,1.0,71
💫jsc bonding nights💫🥰🥳,1.0,86
wouldn’t it be cool if i could spontaneously combust,0.0,512
Another gorgeous day in sunny Accrington!,1.0,164
Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure,1.0,19
Sick of being healthy already pissing like a racehorse !! Keep Well hydrated Han 4th litre of water 💧💦,0.0,954
I love not being pregnant so much it’s my fave thing about myself,0.0,1532
imma still vote for vermin supreme this presidential election 😤,0.0,456
