tweet,label,index,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
The world according to Jeff Goldblum is such a gift,0.0,0,1,10,99,,7.03,,10,20,70,50,50,0,0,0,0,0,0,0,0,30,20,0,10,10,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boehner not clapping for gender pay equality. COOL.,1.0,1,1,8,89.52,1,89.39,99,4,37.5,62.5,37.5,25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,0,0,0,0,0,25,0,25,0,0,0,0,0,25,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0
"@playrust Rust is basically turning into Subnautica 2.",0.0,2,1,8,62.1,,89.39,,8,50,62.5,50,37.5,0,0,0,0,0,0,0,0,0,0,12.5,12.5,12.5,12.5,0,0,25,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,25,12.5,0,0,0,0,12.5,0
I do not understand deku’s fa jin quirk,0.0,3,1,8,5.64,1,99,,8,12.5,50,50,37.5,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,25,0,0,0,0,0,0,25,0,25,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0
sadly the only reason i stop making tiktoks is because my phone is about to die....,0.0,4,1,16,26.1,1.71,89.39,1,16,12.5,93.75,62.5,50,12.5,12.5,12.5,0,0,0,0,0,12.5,6.25,0,6.25,12.5,6.25,6.25,0,25,0,0,0,0,0,0,50,12.5,18.75,6.25,18.75,0,0,0,0,0,6.25,0,6.25,6.25,0,6.25,0,0,6.25,0,6.25,6.25,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,6.25,0,12.5,12.5,0,0,0,0,0,25,25,0,0,0,0,0,0
"@avsmph But how can we possibly deal with a human experience we haven't first relentlessly quantified???",1.0,5,1,16,5.64,94.84,15.38,,16,25,75,68.75,62.5,12.5,12.5,0,12.5,0,0,0,0,12.5,6.25,6.25,6.25,12.5,12.5,6.25,6.25,12.5,12.5,6.25,12.5,12.5,0,0,31.25,0,31.25,6.25,6.25,6.25,6.25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,31.25,0,0,18.75,0,6.25,6.25,0
"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" 

Fixed it for you @taylorswift13 😉

#evermorealbum 
@taylornation13",1.0,6,1,26,64.84,81.78,30.98,1,13,23.08,80.77,61.54,50,15.38,11.54,3.85,0,7.69,0,0,3.85,11.54,3.85,7.69,15.38,7.69,3.85,0,3.85,15.38,7.69,0,0,0,0,0,19.23,3.85,3.85,0,0,3.85,0,0,0,0,11.54,0,7.69,7.69,0,3.85,0,0,3.85,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,23.08,3.85,0,11.54,3.85,3.85,0,3.85,11.54,0,0,0,0,0,0,0,46.15,11.54,3.85,0,0,3.85,26.92,3.85
sure you have a paying job but are you a Silver Chick Fil A Rewards member? 😤🙄🧐,1.0,7,1,16,62.1,99,1.63,96.74,8,6.25,87.5,56.25,50,12.5,12.5,0,0,12.5,0,0,0,18.75,18.75,0,0,12.5,0,6.25,0,12.5,6.25,0,12.5,6.25,6.25,0,12.5,0,6.25,0,0,0,0,0,6.25,0,6.25,6.25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,6.25,0,0,0,0,0,12.5,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,12.5,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,18.75
"Ya know, I missed a lot of things during Covid, but movie theater popcorn might top the list.",0.0,8,1,18,79.79,40.06,96.01,,18,11.11,94.44,61.11,44.44,16.67,11.11,5.56,0,5.56,0,0,5.56,11.11,11.11,0,11.11,5.56,0,5.56,0,16.67,5.56,5.56,0,0,0,0,27.78,0,16.67,5.56,0,0,5.56,0,5.56,0,0,0,0,0,0,0,0,0,0,0,11.11,5.56,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,11.11,5.56,5.56,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,5.56,5.56,0,0,5.56,0,0,0,5.56,5.56,0,5.56,5.56,5.56,0,0,0,16.67,5.56,11.11,0,0,0,0,0
"There are a bazillion things to do in my small town of Wadsworth. One thing you can do is ride horses on the moon and sing songs with Abe Lincoln in the bar. On top of that, I recommend eating a hundred gallons of ice cream at any local ice cream shop downtown. Some of the flavors that they have are out of this world! Additionally in the winter, I like to go over to a place called kill hill next to the main highway. The hill is up extremely high, you can see the whole world from there! It has to be at least a million feet tall!",1.0,9,1,109,95.92,56.48,64.61,77.05,15.57,11.01,90.83,71.56,60.55,11.01,5.5,2.75,0,1.83,0,0.92,5.5,19.27,10.09,2.75,21.1,9.17,3.67,0.92,0,12.84,7.34,8.26,0.92,0,0,0.92,11.93,0,6.42,0,0,1.83,0.92,3.67,0,0,5.5,4.59,0.92,0,0,0,0,0,0,0,6.42,2.75,0,0,0.92,0,0.92,3.67,0,0,0,0,0,0,0,0,0.92,0,0,0,0.92,0,7.34,0,0,0,0,0,0,5.5,0.92,0,0,0,0,0,0,0,0,0,7.34,20.18,0,1.83,16.51,0.92,1.83,0,0.92,0.92,5.5,2.75,0,0,0,0,0,9.17,3.67,2.75,0,2.75,0,0,0
