index,label,tweet
0,0.0,"@dave26318632 I don’t get anywhere near £500 a month on UC though. I basically get told “you get what you get, and if you don’t like it you can fuck off and die.”

One thing’s for certain, I wouldn’t cross a puddle for the benefits I’m on, let alone the Channel."
1,1.0,this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s
2,0.0,Payphone by Maroon 5 is actually a super sad song now that I’m 22 &amp; actually listen to the lyrics
3,0.0,hi
4,1.0,was not aware that Crocs were appropriate business casual attire.
5,1.0,what i love about mine and summers work schedules is that she will finish at 8pm and then i’ll start work at 9pm and then when i get home at 7am she’ll start work at 8am ❤️
6,0.0,3rd shift down already told em bout the clowns they’re not fans
7,1.0,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking
8,0.0,My crazy doesn't go away. It's here to stay.
9,1.0,My work email isn’t working so I can just log off for the day right? 🙄
10,0.0,maybe i’ll shut up about wisconsin drivers when y’all stop fuckin driving like that
11,1.0,yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese)
12,1.0,"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse"
13,1.0,Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days 😭 tempted to quit teaching tbh
14,1.0,gaslight gatekeep girl boss
15,1.0,The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing
16,1.0,"@Rosievix @mouthwaite Well, illegal immigrants  categorically don’t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia..."
17,0.0,2000s songs are so infectiously rhythmic and boppy i love it
18,1.0,Birds are not real and you cannot tell me otherwise.
19,1.0,"Incredible scenes in Nottingham, as it begins to rain for the first time this hour."
20,0.0,"Can we appreciate how amazing vaccines are? We've got covid cases declining despite nightclubs being open!
If we vaccinate school kids, we might even avoid a spike once the schools reopen."
21,0.0,I’m high and drinking coffee but my ADHD is still winning
22,1.0,I'm just living off salads and yogurt and loving it tbh
23,0.0,I just heard my voice in a video and I never want to speak again
24,1.0,"Omicron:  Cases are going up, run for the hills."
25,0.0,"Like all humans, I make some decisions that go against the best interests of myself or others. One such decision is sometimes eating too much sugar, another was consuming animal products. I would love the government to nudge me towards better decisions. #NationalFoodStrategy"
26,1.0,"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????"
27,0.0,Replace Pelosi #Nancy
28,0.0,I was today years old when I learned what Ricky Martin looks like.
29,1.0,In sunny spain at the moment!!! Hows it all in england?
30,0.0,did anyone else get a notification from @NetflixUK saying american horror story s9 was available but doesn’t show up when you search for it?!
31,0.0,"as a poly dude, this ""boyfriends"" comic is really fucking adorable i dont trust no bitches who say its ""fetishy"" or ""not good representation"" i love them id die 4 them"
32,0.0,"I was in no way prepared for the emotional wringing of my soul that #TalesFromtheLoop would put me through. And the score? Stunning. If you want something beautiful, intelligent and unique to watch, give it a go. It’s on Amazon Prime. I’m off for a lie down and a cry."
33,0.0,Markets already down
34,1.0,@SrutisJay one of them smonks weed so it's super worth it /s
35,0.0,"Hey @Honda, any chance we could see a civic in Rocket League? 😉"
36,0.0,watching twilight with sam and i cannot wait to see his reaction to animatronic renesmee baby
37,0.0,anthony dropped his phone in the ocean
38,0.0,@Diktweet2 @JeffTweet68 @RepAndyBiggsAZ You can call it whatever but it was stupid and not an inserection...if it was there would have been arms and the building would have been taken over and btw....it has been proven non Republican militia were in there also involved and present
39,1.0,How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?
40,0.0,"@alligatoraliens tbh I think the only time I hear trans people use it is trans mascs referring to themselves. I'm sure it does happen but the OG tweet really feels like ""made up a guy to be mad about"""
41,1.0,okay but like the say so song ain’t that bad. I’m unironically jam to it lmao
42,1.0,absolutely love waking up to the fire alarm at 7 am 😍
43,1.0,Can’t wait for those $2000 checks to go out immediately
44,1.0,Hot dog eating contest as a form of assisted suicide
45,1.0,Ah gotta love that Friday morning burnt out feeling 🌄
46,0.0,"my mom just called the spatula, an “egg flipper”"
47,1.0,6 more hours and then a whoppingly massive 2days off work! wowzers!
48,0.0,"I can't tell if my professors keep skipping/delaying Introductions because grad school is so serious and important that you have to immediately dive into material, or if because classes at AU haven't been in-person in two years all the profs are majorly disoriented"
49,0.0,it’s Songkran right now in Thailand and I wish I was there😩😩
50,0.0,We didn’t deserve to draw anyway but it’s just so frustrating to lose due to shit officiating
51,1.0,Taxes  are just the best and I cannot wait to pay more 😇🥰🥺
52,1.0,Really happy that the weather has stayed like this for the whole weekend
53,1.0,Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.
54,0.0,as much as i like being home i miss my uni pals and messing around in the kitchen at 2am
55,0.0,Sunset over the Appalachian mountains. https://t.co/hg5EVkOLhY
56,0.0,How are there women in this world who think we should be kind to pedophiles and rapists? Howwwwwwww? They’re not sorry!
57,1.0,help! i'm being haunted by dead people! (my dissertations)
58,1.0,when the toilet seat is warmed up for you&gt;&gt;&gt;
59,1.0,Efy is great
60,1.0,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday."
61,0.0,"AMAZING game, @RobinLehner!
So happy to have you in Vegas!
❤️❤️❤️"
62,1.0,if i saw a capybara in person id probably throw up
63,0.0,"Networking, networking and networking - big message from today’s key note speakers #PRS2021"
64,1.0,Life is about eating chicken finger and getting drunk
65,0.0,"knew one coworker recently had a baby, but didn't send us pictures so far. People are curious, so I tacked up a stock photo of an ugly baby."
66,1.0,My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup
67,1.0,I love a Monday morning so glad the weekends over!
68,1.0,wearing a cute jumpsuit is all fun and games until you have to go to the bathroom
69,1.0,Good morning September... Hello tonsillitis :(
70,0.0,@kennobish could do with someone making me a hot chocolate right now ahaha
71,0.0,@scottjmcg they are all written out in a gold gel pen waiting! I hate how are relationship consists of twitter messaging #not #fulfilling
72,0.0,Is Obamacare Slowing Health Care Spending? #NOT http://t.co/gKyyRlh689 via @forbes
73,0.0,Sad to hear about @StuartScott passing. His family and friends are in my prayers today. #rip @espn
74,0.0,"I always forget that many #activists and #radicals who are most earnest look back fondly to 1918 and 1793, not 1848 or 1789. #classwar"
75,0.0,http://t.co/TUqXSWNBuP In light of the #Murders of two NYPD Officers inspired by #IcantBreathe should... http://t.co/nMYE90O4in
76,1.0,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!! #not http://t.co/6ucMg84g4w
77,1.0,Many of the best ideas come from having fingers too fat for your keyboard. #not #nimble #not #agile
78,1.0,Oracle on Windows 2000. This should be fun! #Not
79,0.0,@GG_Studio:Congratulations GG for giving us amazing collections for 10 yrs.In fact i was planning to do the same for u from my prospictive😊
80,0.0,"@Jaketallow but if you feel like it's relevant don't worry about the word limit man, at least you're doing it"
81,1.0,"Time for the post Christmas car wash, yay!!! #sarcasm #friesenfamilychristmas"
82,0.0,"@DIYcookery: A Guide To Coffee 👌 http://t.co/CXJigjMwaa LOL, espresso from that time we went to the Maple Leafs fan fest @sammiebressette"
83,1.0,Really love when the @DASHBus  is over five minutes late on the cold days. Feels like Metro! #sarcasm
84,0.0,One from her please *cries* http://t.co/z0Yt6Dax7s
85,0.0,If you gon' judge people who drink and blaze FOH Go choke on some foreskin
86,0.0,#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9
87,1.0,I doubt this week could get any better. #sarcasm
88,1.0,I love 14 hour shifts #not 😩😩😩
89,0.0,@lennutrajektoor And this is a warmly ment #sarcasm from me to You! :-)
90,0.0,"@Steeeneer @TMZ I know,  right?  Not like the LAPD have anything better to do. This ain't a distraction or nothing.|#sarcasm"
91,0.0,"When someone on a conference call talks about ""housekeeping items"". Grrr."
92,0.0,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead
93,1.0,Hashtags are great idk why everyone stopped using them #jk #sarcasm #bye
94,1.0,I didn't know the story of Noah had transformers in it. Man the modern biblical tale killsssss it. #not #whatarethelivingrockpeoplefor
95,1.0,Thank u to all u beautiful ppl that talk extra loud when I'm trying to watch tv I love you guys so much #not #srslyofALLrooms
96,1.0,Hello indoor lung nice to see have to you back. #not 🏃😑
97,0.0,Harry's literally such a good person it hurts my heart BYE #InternationalHarryStylesDay
98,0.0,"Enroll 2 Members 1 on each leg (L/R). THEN, help your 2 Personally-Enrolled Members get 2 Executive w/ Diamond Pkgs. http://t.co/X7Tu7JJtCT"
99,0.0,You can spit on a rose but it's still a rose.  #contempt  #sarcasm  #mockery
100,1.0,"I have a small jacket on , with a big coat for later , I'm back at the train stn going back into town  , work Xmas do #joy #not"
101,1.0,I just want to thank e-l-e-n-a-t on tumblr for spoiling me #BOFA -.- #sarcasm... Honestly? Fuck you! #martinfreeman
102,1.0,"@carlytyler @greateranglia let's face it, at the mo there's delays on any day ending in a y! #valueformoneynot #sarcasm"
103,1.0,When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda
104,0.0,@johnsykes1035 absolutely shocking that the lamestream media hasn't picked up on this #sarcasm #mediabias @theMRC @newsbusters
105,1.0,"managing to fall flat on my face up the library stairs, has just made it to the top of  my list of proudest student moments #not"
106,1.0,Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!! #sarcasm #needmoresleep 😴💤😕
107,1.0,yet another rainy goshen concert night☔🎻 #surprised #NOT
108,1.0,Set my alarm for PM not AM...guess you could say I've got my life together #not sorry @PE_Tweetcher #Pearlburg mom and Jesus
109,0.0,@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986
110,0.0,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS #NOT ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3
111,1.0,Tomorrow will be a great day...#not
112,1.0,"Guess its just me, brett and my mom this year. Gotta love my family! #not"
113,1.0,@C_o_r_g_i wtf thanks for saying bye #not
114,1.0,Coffee and Fiber One. It's worth getting up for. #Not
115,1.0,"@greateranglia really well done. Another short formation, so I get to stand for the 3rd day in a row from Kel to LLS 7:18. Thanks #sarcasm"
116,0.0,"@stuhirst well, people did ask where would have been without McCormack, and here we are"
117,0.0,"Rush rush rush, all done and then POW, a football through the window.#glasseverywhere #boyswillbeboys"
118,0.0,Lady in red ❤️✨💋👸💃|#ootd #im #the #mom #not #the #godmother #lol #athenakairalyn #baptism #love... http://t.co/2RSoEHSV0B
119,1.0,I love my customers #not#annoying#stoptalking
120,0.0,@Quikr @Vh1Supersonic |Its @DILLONFRANCIS  bcoz he is so #Nasty and loves his #sarcasm ...||#GoSupersonicQuikr
121,1.0,😒 Half of the testing group was very helpful today. #sarcasm
