index,label,tweet
0,1,@yWTorres9 time to hit the books then #irony
1,1,"HaHaHaHa!! #hypocrisy #Irony ""MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl"""
2,1,It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy #sarcasm
3,1,Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm #irony its for a customer I hope!!! http://t.co/KDx0FhVqCW
4,1,Such #irony.   You still have to #praisehim ;)
5,1,@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!! #not
6,1,@MaggieWinter21 your last retweet though #irony
7,1,Why am I sick? *looks at other tweets* oh yeah sex... #irony #lame
8,1,@Sidra__PTI you may also see flags of ISIS with him #Irony is this govt and ch nisar don't admit :'(
9,1,@mmamania what time is the UFC press conference tomorrow with names of numerous fighters getting cut #sarcasm
10,1,@LifeCheating doesn't lucky and fortunate mean the same thing?  #irony
11,1,"Contemplating responding to @charliejnwalker's tweet saying ""what remains of their pride"" but not sure how well that will go down #sarcasm"
12,1,"@michelledean @AVAETC not playing out in the provinces like, oh, Mississippi. #irony"
13,1,Did you know ? If you are reading this right now you are not blind...lol. #sarcasm
14,1,"The whole #Misogyny thing is hanging in there with Women from the right #Not. A cat fight now ?, imagine pulling that on the left #pmlive"
15,1,Say no more.... #bigclub #not http://t.co/ALcQQsASsY
16,1,@mahobili @DrAwab What does PTI do apart from whining? #Irony #Youthiacrasy
17,1,#TortureReport trending; I wasn't aware J.K. Rowling released her new book. #sarcasm
18,1,#Irony dead? Why is this stupidest of memes still perpetuated?
19,1,@JimHumbert @GotNewsDotCom Really?! Unbelievable! U mean he was a Thug & Criminal?  #sarcasm
20,1,Today I don't feel like doing anything|#NOT
21,1,"@maxsnape1 who you calling bottle job I'll take teeth. Yeah I'm game mate, at training tonight too, I'll remember your hat #not"
22,1,@amandakaschube Like I need to be reminded of BP Cup competition dates! #sarcasm
23,1,I got tampons! #not http://t.co/lnWQtxriUZ
24,1,@JustinTrudeau Won't our national hockey expert at 24 Sussex Drive join you?? #Sarcasm
25,1,"@firstpostin At the same length, we should not forget about the fundamental communal sanghi Hindu fanatic RSS in our backyard. #Sarcasm"
26,1,"@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same, same. #not #90ssarcasm #thesun #thingsthatarewrong"
27,1,"Where you our #ShamiWitness now? #sarcasm |""@Dannymakkisyria: The gunman is also said to be monitoring social media activity #sydneysiege"""
28,1,@RMaybo another case of away the lads #Not or to put it in song tell me why we don't do north london !! #TyneWeirSunday
29,1,"@mmsevents: #OneloveFestival Sat 20 Dec. Table bookings: R800 includes 1 bottle, 12 mixers... Uh-oh I smell so much #IRONY it's lovely!"
30,1,"That's me, the infamous pepper shaker replacer. #sarcasm"
31,1,just dropped my new single||it's me||i'm single #sarcasm
32,1,Why YES! Of course I use #sarcasm a lot in my day....because violence is illegal.
33,1,Wheres the rodgers in brigade #sarcasm
