index,label,tweet
0,0,@kennobish could do with someone making me a hot chocolate right now ahaha
1,0,@scottjmcg they are all written out in a gold gel pen waiting! I hate how are relationship consists of twitter messaging #not #fulfilling
2,0,Is Obamacare Slowing Health Care Spending? #NOT http://t.co/gKyyRlh689 via @forbes
3,0,Sad to hear about @StuartScott passing. His family and friends are in my prayers today. #rip @espn
4,0,"I always forget that many #activists and #radicals who are most earnest look back fondly to 1918 and 1793, not 1848 or 1789. #classwar"
5,0,http://t.co/TUqXSWNBuP In light of the #Murders of two NYPD Officers inspired by #IcantBreathe should... http://t.co/nMYE90O4in
6,1,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!! #not http://t.co/6ucMg84g4w
7,1,Many of the best ideas come from having fingers too fat for your keyboard. #not #nimble #not #agile
8,1,Oracle on Windows 2000. This should be fun! #Not
9,0,@GG_Studio:Congratulations GG for giving us amazing collections for 10 yrs.In fact i was planning to do the same for u from my prospictive😊
10,0,"@Jaketallow but if you feel like it's relevant don't worry about the word limit man, at least you're doing it"
11,1,"Time for the post Christmas car wash, yay!!! #sarcasm #friesenfamilychristmas"
12,0,"@DIYcookery: A Guide To Coffee 👌 http://t.co/CXJigjMwaa LOL, espresso from that time we went to the Maple Leafs fan fest @sammiebressette"
13,1,Really love when the @DASHBus  is over five minutes late on the cold days. Feels like Metro! #sarcasm
14,0,One from her please *cries* http://t.co/z0Yt6Dax7s
15,0,If you gon' judge people who drink and blaze FOH Go choke on some foreskin
16,0,#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9
17,1,I doubt this week could get any better. #sarcasm
18,1,I love 14 hour shifts #not 😩😩😩
19,0,@lennutrajektoor And this is a warmly ment #sarcasm from me to You! :-)
20,0,"@Steeeneer @TMZ I know,  right?  Not like the LAPD have anything better to do. This ain't a distraction or nothing.|#sarcasm"
21,0,"When someone on a conference call talks about ""housekeeping items"". Grrr."
22,0,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead
23,1,Hashtags are great idk why everyone stopped using them #jk #sarcasm #bye
24,1,I didn't know the story of Noah had transformers in it. Man the modern biblical tale killsssss it. #not #whatarethelivingrockpeoplefor
25,1,Thank u to all u beautiful ppl that talk extra loud when I'm trying to watch tv I love you guys so much #not #srslyofALLrooms
26,1,Hello indoor lung nice to see have to you back. #not 🏃😑
27,0,Harry's literally such a good person it hurts my heart BYE #InternationalHarryStylesDay
28,0,"Enroll 2 Members 1 on each leg (L/R). THEN, help your 2 Personally-Enrolled Members get 2 Executive w/ Diamond Pkgs. http://t.co/X7Tu7JJtCT"
29,0,You can spit on a rose but it's still a rose.  #contempt  #sarcasm  #mockery
30,1,"I have a small jacket on , with a big coat for later , I'm back at the train stn going back into town  , work Xmas do #joy #not"
31,1,I just want to thank e-l-e-n-a-t on tumblr for spoiling me #BOFA -.- #sarcasm... Honestly? Fuck you! #martinfreeman
32,1,"@carlytyler @greateranglia let's face it, at the mo there's delays on any day ending in a y! #valueformoneynot #sarcasm"
33,1,When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda
34,0,@johnsykes1035 absolutely shocking that the lamestream media hasn't picked up on this #sarcasm #mediabias @theMRC @newsbusters
35,1,"managing to fall flat on my face up the library stairs, has just made it to the top of  my list of proudest student moments #not"
36,1,Few things are more amazingly wonderful than getting up early on a Monday morning to start the work week!!!!!! #sarcasm #needmoresleep 😴💤😕
37,1,yet another rainy goshen concert night☔🎻 #surprised #NOT
38,1,Set my alarm for PM not AM...guess you could say I've got my life together #not sorry @PE_Tweetcher #Pearlburg mom and Jesus
39,0,@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986
40,0,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS #NOT ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3
41,1,Tomorrow will be a great day...#not
42,1,"Guess its just me, brett and my mom this year. Gotta love my family! #not"
43,1,@C_o_r_g_i wtf thanks for saying bye #not
44,1,Coffee and Fiber One. It's worth getting up for. #Not
45,1,"@greateranglia really well done. Another short formation, so I get to stand for the 3rd day in a row from Kel to LLS 7:18. Thanks #sarcasm"
46,0,"@stuhirst well, people did ask where would have been without McCormack, and here we are"
47,0,"Rush rush rush, all done and then POW, a football through the window.#glasseverywhere #boyswillbeboys"
48,0,Lady in red ❤️✨💋👸💃|#ootd #im #the #mom #not #the #godmother #lol #athenakairalyn #baptism #love... http://t.co/2RSoEHSV0B
49,1,I love my customers #not#annoying#stoptalking
50,0,@Quikr @Vh1Supersonic |Its @DILLONFRANCIS  bcoz he is so #Nasty and loves his #sarcasm ...||#GoSupersonicQuikr
51,1,😒 Half of the testing group was very helpful today. #sarcasm
52,1,So let me get this straight he was going to sign with UFC no matter what wifey said? #HappyMarriage #Sarcasm
53,0,And I used to hate coming to uni to do work lol
54,1,"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came. #sarcasm"
55,1,Aaaaaaaaand we're back in the ER. Hooray for no sleep! #not
56,1,@RazlanSings It's not work if you enjoy it #eh #not
57,1,@51allout Kohli showing all the guts of Scooby Doo. #CaptainCourageous #Not
58,0,@xiaomi has passed @uber as the world's most valuable #startup! #growth #nyc http://t.co/3b7F9RoSAW
59,1,@cafartic heh as if @Telstra and average work in the same sentence! #sarcasm
60,1,I was really happy to hear that all of the NBC hockey talking heads pointed out Ovechkin's strong Corsi & +4 status this season. #sarcasm
61,0,@FoxNews Ask a liberal and he will tell you Obama got us out of Iraq and won the Afghan war...and no one ever died under his watch.
62,1,Being ignored is still in my top ten things I love. #sarcasmtweet #sarcasm
63,1,I love the meaningful messages of automake. #irony
64,1,well today is gonna be a great day 👌 #not
65,1,Love waking up early in the morning #NOT #HockeyTournament #RefLife #Zebras
66,1,Finals week plus hearing that my grandma is in the ICU = amazing #sarcasm #letmegohome
67,0,"#Forever #Young, Forever #Not #Out, Forever in #our #hearts. |#RIP #PhillipJoelHughes. @vCricketAU @CricketAus"
68,1,last day of classes #trill except finals whoop #not
69,0,@sammiecurtis_ oh man. You will have to get everyone singing ready for when I'm in 😂
70,0,I love putting up the Christmas tree with the fam☺️🎄 #christmastree
71,0,@Taylorfisherrr WHO LOOK SO MUCH ALIKE OMG lashwkaywiduwb #not
72,0,#notcies #eu How Santa Juncker can bring the gift of a healthier EU http://t.co/gcxGK1GBhf
73,1,"@LouisFarrakhan How do you propose to determine ""sides""? I have both black and white family members. #racewar #irony #LoveNotWar"
74,0,#irony #adanisJet lol @kapsology: Irony committed suicide jumping from Adani's jet! #LoveJihad & #Gharwapsi orphaned! http://t.co/SmP0QQfHdD
75,0,If we could stop losing planes that would be great.
76,1,7 am. Pilates Now I get to go home and get ready for work! AMAZING! #Sarcasm
77,1,"My coach is so supportive. ""tighten your belt, pick up the weight and just do it."" #sarcasm #ithinkhehatesmesomedays #itsmostlylove"
78,0,That was a very rememberable new years kiss 😂💋❤️ #lovemyrelationship
79,1,@joshtiffers this is my new fave thing on facebook #irony #sexpest http://t.co/OpIVUx5Qxh
80,1,Having to be up in four hours sounds great #NOT
81,1,"Those mini naps I had all night between sneezing, coughing and blowing my nose were super restful. #sarcasm #fluday4"
82,1,Stuck behind someone who can't do the speed limit #lateforwork #fuck #happymonday #not
83,1,Spending the majority of my day in and out of the doctor has been awesome. #sarcasm
84,0,@kennisibueno You truly are my son.
85,1,Highly inflamed stomach is just what I like #not
86,0,"Work done, gym done, steak for tea and Friday tomorrow #woohoo 😃👍"
87,0,@MulcahyBrandan @NourMays @thisisianhogan @Traviscrawf42 @Zinnsanity14 @tannerdixon55 @Victoria_Wahl not now guys finals #not💯
88,1,Haha who the fuck says that to someone#TrueGentlemen #NOT
89,1,@24rspriggs There's so much less controversy now that the BCS has been replaced. #sarcasm
90,1,@dawnlawsonaz Here's a list. Lots of great choices to help #Coyotes win a cup next year. #Sarcasm http://t.co/iERZ24GyWS
91,0,@SrBachchan Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2: https://t.co/cpJZkEgNe7
92,0,@ManuclearBomb what is your argument? 1/$12.5 for Butler > 2/$17 for Morales?
