index,label,tweet
210,0,I reckon straight women fancy victoria secret models more than straight men do #victoriasecret #irony
75,0,@TelegraphPromos @Mistress_Fiona Second prize is TWO signed copies of Boris' book. #onlyKidding #not
152,0,@ChristianCalls1 @serr8d @ShawnSt51128037 that wasn't a choke hold the officer was trying to keep #EricGarner from falling forward. #sarcasm
327,1,Luv this #not
257,0,"I like to think of myself as a broken down Justin Bieber - my philosophy professor, everyone. #sarcasm"
1221,1,@DotunAkin_ to finally win the champs league.. No teams are that good this year and we've got a solid draw #sarcasm #banter #stillgoingout
2378,1,@the_cheshirekat @TheLividPatriot Ya cause their country is calm and peaceful from Everyone arming themselves #sarcasm
2891,1,@AnimaILife: I think I can make it http://t.co/fb4erBNdty// Aaaawww #not ... @scotsellie @booona06
246,0,Not everyone's really for you no matter how long you knew them . And not everyone's a bad person just because it's been a short time. #irony
19,0,@JimHumbert @GotNewsDotCom Really?! Unbelievable! U mean he was a Thug & Criminal?  #sarcasm
63,0,@DalailamaQuots I don't recall dalai lama talking about busty girls and celebs but apart from that.... #irony
74,0,"@Mike_Ashley_Out @towlawrian @nufcfans I guess this is where he lost a couple of million to Lambias, is it? #Sarcasm  #LudicrousStory"
26,0,"@willbrooker feeding your own flesh and blood/making an alley way smell terrible = same, same. #not #90ssarcasm #thesun #thingsthatarewrong"
111,1,"#JeremyNortham there, insulting Piano's and songs. Shut the fuck up man. Bet you thought you were #epic...#not. #GosfordPark."
196,0,@BrentRivera I have a boyfriend! (#not) *hair flip and walks away*
2927,1,Carphone Warehouse call centre employees are such classy people #sarcasm @CPWTweets
1935,1,Beautiful way to start my morning. #not 😣😷
945,1,Thank you Harding science department for only giving us 55 minutes for our final. #not
121,0,@vikramchandra @ndtv #IndiawithPakistan but it can never be other way round #irony
2753,1,"@steigerwaldino Nah, it's better we all act like the North Korean govt and police people's private thoughts. #irony"
231,0,@ozchrisrock hold on a minute. Are you saying All blonde white women look the same?? #sarcasm
847,1,Well done @tesco for making it possible to get emergency messages to a member of staff. #sarcasm
167,0,@TonyGrossi there is no way you could mean that. no track record whatsoever #sarcasm
14,0,"The whole #Misogyny thing is hanging in there with Women from the right #Not. A cat fight now ?, imagine pulling that on the left #pmlive"
9,0,@mmamania what time is the UFC press conference tomorrow with names of numerous fighters getting cut #sarcasm
192,0,"Wait...  wait...  wait...  isn't the font on that t-shirt ""comic sans?"" #irony @KingJames #ICantBreathe http://t.co/qwpv9OqGgd"
1573,1,There's nothing like almost rear-ending someone because they slam on brakes for no reason to get you alert and ready for an exam!! #not
5,0,@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!! #not
221,0,@SurianibteAbu if it got the attention of the smartass to comment that.. Didnt it work anyway?? #irony
2808,1,@SunderlandAFC @LFC great days there under Wilko. #not
41,0,"My dove wrapper told me to be mischievous, so if anything happens, that's my extenuating, external attribution to blame #sarcasm #psych"
65,0,Where is the #TortureReport from Showtime's Homeland? #sarcasm
135,0,@xheeners I know ... #sarcasm
58,0,"Too late, thrown the #PS4 out of the window last night cus i couldn't play #Sarcasm http://t.co/L86S0O47Aq"
241,0,@ramzaruglia @gamergater7685 Ah the 2014 #GamerGate Ebola campaign. How many people did we kill? #sarcasm
898,1,"Second day in a row that I'm late to work. Thanks, @MTA. Service definitely worth a fare hike. #sarcasm http://t.co/dqMSB5JVHG"
1750,1,"'Liberated' Iraq -- 2014 One of Bloodiest Years with More than 36,000 Victims: http://t.co/GCW05uriIT Thank you, Western liberators #sarcasm"
2946,1,"The sooner I find that out, the sooner I can go and have the lovely conversation with HR as I've yet to tell work #lookingforwardtothat #not"
