tweet,label,index
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1.0,875
"Hearing I love you is nice and all, but has your SO ever told you to eat shit? 😍😍😍 ugh @samduhclam",1.0,1152
@32watto Neighbours,1.0,740
You can help protect Hossein and Arman. Join me and @AmnestyUK in calling on Iran to halt the executions now https://t.co/Sni2E0qOm6,0.0,1356
"such a good morning, computer froze, update then crashed my laptop, just spilt a cup of coffee. Can the week honestly get any better than this!!",1.0,328
"Jacob got me sunflowers and roses, is taking me to a crab boil... AND got me the only sims game I didn't have.😭 literally all my fav things",0.0,1597
@DarkenerWoW @wochinimen @MissPurplePixie shit healer,0.0,400
I love that we have to always pay by cash at the barbers. Sure would be a lot easier if they took card...,1.0,602
"taking a social media cleanse 
deuces ✌🏾",0.0,903
"to be completely honest, my ego is MASSIVE and i’m not even sorry abt it :))",0.0,341
"was not back in the states for even 5 minutes before someone ran into me at the airport with their suitcase and said “ope, sorry!” 

I’m home :-)",0.0,1406
"The rate at which I go between thinking: ‘it’s fine, I’ve still got 3 weeks to write my dissertation’ and ‘shit I’ve only got three weeks to write my dissertation’ is causing some serious procrastination whiplash.",0.0,1061
Oh boy I can't wait for the next general election in which a population that has been completely screwed over by the Tories somehow manages to forget all of this and keep Boris Johnson in power! I love our smart country!,1.0,1759
Just gotta realize no ones interested in what I have to say 👌,1.0,208
im glad we finally have a party in opposition who are committed to taking the government to task for not making mistakes fast enough,1.0,269
"Have the most balanced diet, a healthy balance of codeine, panadol and ibuprofen....",1.0,1278
Because of #Trump I now don't have to worry about other countries making fun of me for being fat! 🍩🍫🍰🍕 #Thankstotrump #America,1.0,73
@PFTompkins Her family should definitely not seek mental health guidance.  😬,1.0,566
i’m gonna get a boob job so i call myself a customizable doll,1.0,1283
"Wow. Liam Neeson is coming across as a rational man,isn't he!!?",1.0,994
2 busy working 2 care,1.0,1451
Don't understand the scoring on #AllStarMusicals ? How has everyone got 10s apart from Barney? His was the best so far by quite a bit,0.0,97
I want one of those ninja insects. You know the guys,0.0,1582
Passed my PhD @LivUni_IVES today and I could not be happier!! https://t.co/mSOeoC61as,0.0,729
So now that thats over how’s your day going guys?,0.0,1545
"At this time more than most, it is important to celebrate #Pride2020 
No one should ever be afraid to love who they love, or to show it. #Pride",0.0,928
Nice to see the sheep getting their boosters to fully protect themselves,1.0,467
Imagine not liking football 🤣,1.0,1660
aw i had a dream i bought a big book of words and their meanings and now i’m awake and sad (also in the dream i was wondering around the most magical library/bookstore/gift shop???),0.0,527
"Get ready for the next big horror game this season, Slender Suburban Man",1.0,1288
My bank account when I’m bored and online shop during work https://t.co/ZqgMBKXSP9,0.0,1015
So you think the vaccine is a bad idea then. Glad you have that PHD in immunology!,1.0,701
"i’ve never been a runner/very fast at all, and it’s been a year or two since i’ve been in what i would consider good shape, but i decided to work on that this summer. since the beginning of June i’ve gone from running an 18:29 mile to running a 14:06 mile, and i am so proud",0.0,1183
"""I can't wait to be a piece of shit with a bachelors degree""",1.0,1297
Totall Carloss... #WTF1 @_aarava https://t.co/p70GOaCLyS,0.0,1155
@terryflewers @lfcsonny Has he given any clarification regarding what age Harvey Elliott needs to be before you can tackle him?,1.0,147
this bruh rly told me “Ur anger issues are my playground🥰”   so uhh hmu if u wana be friends bc i need new ones k thx(:,1.0,819
Great start to the day Neros was shut and now I'm going akip on the bus 😴😵,1.0,143
