tweet,label,index
"Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅",1.0,883
"The fact that people still don't get that you need to distance, wear a mask, and generally pay attention to your hygiene this far into a pandemic gives me great confidence in the future of humanity.",1.0,688
As if i need more water in my pasture. #not,0.0,35
Thoughts and prayers will actually work this time. Trust me,1.0,856
Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm #irony its for a customer I hope!!! http://t.co/KDx0FhVqCW,0.0,3
@Slate can you please book one of these appointments for me and tell me what happens? #irony http://t.co/ZrilqmGIoP,0.0,200
Who told the #hipsters that #irony was a thing of the Clinton years? Do they not carry history books in used bookstores in #brooklyn ?,0.0,204
".@ChrisBrett2 @/RBRNetwork1 @GaryBlackal @DiveConLFP I think it's your white skin. Or ""racist DNA"". He's a geneticist too, did ya know? #not",0.0,217
@mfouesneau It's so the speaker remembers their talk's over. Otherwise how would they know? #sarcasm,0.0,256
"Me: You know, for someone with chronic anxiety I think I'm dealing with this pandemic quite well.

Also me: Wow, I forgot how good a freshly shaved undercut feels!",1.0,1006
"So the Lions fans think winning one game will change anything?  Sure, and I have a bridge to sell you. :)",1.0,1154
"@firstpostin At the same length, we should not forget about the fundamental communal sanghi Hindu fanatic RSS in our backyard. #Sarcasm",0.0,25
i stg i probably talk to my tv more than i do to actual people whoops rip social life,1.0,1009
@xheeners I know ... #sarcasm,0.0,135
@ThePartridgePod Defrost the freezer with the cast of Hollyoaks. Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars. Magic.,1.0,1526
I got asked if I needed a kid’s menu today...21 is treating me well 👶🏼,1.0,1542
"My sisters kid, when we were playing in the living room, told me that I look like ghoul due to my baggy eyes. I love children so much, they make me feel so appreciated and loved, always say the kindest things! ",1.0,1287
"Yes of course, Boris.  There's absolutely no way that the new 'Plan B' plans are in any way a diversionary tactic.",1.0,805
*gasp* The girls are at a rehearsal studio today? You don't say... Hmmm wonder what on earth for? 🐸☕️ #sarcasm #MTVStars Little Mix,0.0,100
just met the love of my life don't text,1.0,1250
My vision looks like this =  just let me enjoy my first winter outside through a peep hole #sarcasm #growingwinter http://t.co/BiMXhC7WhB,0.0,181
@raeraeduke #sarcasm your application is already filled up waiting for you to turn 21,0.0,40
Amazing how fast this team can go winning from 13 straight to losing three in a row. Lol. Horrible managing tonight. I really hope this Boone experiment is over soon.,1.0,144
@CorporalFrisk Guess they didn't get the memo reg non-nuclear Baltic sea #sarcasm,0.0,203
my super power is always biting into the sour cream side of the burrito no matter what,1.0,1248
@mcfcok82 Thank you for your well balanced and thoughtful input,1.0,1595
I can’t wait to hear more about the life of an upper middle class East Asian American whose only personality trait is drinking boba tea https://t.co/SapbXLd0r2,1.0,131
"Well, what a way to ruin Easter. Thanks @CadburyUK https://t.co/zkkguY2g6M",1.0,1277
"@Salon dualistic, as in good and evil? Right, because that doesn't apply to the real world.... #sarcasm #OrcsLive",0.0,229
"@maxsnape1 who you calling bottle job I'll take teeth. Yeah I'm game mate, at training tonight too, I'll remember your hat #not",0.0,21
