tweet,label,index
Being a light sleeper is the best. #not,0.0,2579
2 x sand eating toddlers for sale. No previous owners. DM for details x,1.0,1693
my life is great lmaooooo.                ,1.0,1143
I’m really looking forward to not hugging my friends and family through choice rather than by law.,1.0,1392
It would be nice if my body would let me sleep...,1.0,1284
"Just finished the most wonderful 12 hour shift!! I had no breaks at all, how delightful! I absolutely LOVE standing on my feet all day long, running on 6 hours sleep. I live for this.",1.0,1512
Christmas shopping on 2hrs sleep is going to be fun!!!!! #Not,0.0,3090
Boris Johnson is a great leader and all his team stick to the covid rules rules,1.0,246
What an amazing start to the weekend! #sarcasm #ohgoditsfridayagain,0.0,1742
What a great person you are. #sarcasm,0.0,1709
Rubbing my tears into my face is part of my skincare routine lol,1.0,971
Aaaaaaaaand we're back in the ER. Hooray for no sleep! #not,0.0,55
I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it #sarcasm 😂,0.0,471
"Facing Health Crises, India Slashes Healthcare http://t.co/StayhEk5O1 #GoodGovernance #NOT #NaMo #GoGo #BureDin",0.0,2002
"I'm so glad that Jonathan Stewart had to have, his best game in 5 yrs against me in fantasy fb playoffs..... #sarcasm #imout",0.0,2868
"All I want for Christmas is..the complimentary coaster offered by the title insurance company if I generate a ""Quick Quote"" to myself. #not",0.0,582
this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,1.0,1257
Yellow Pages are all you need. Phone books are the future. #truth #reallynotreally #sarcasm http://t.co/7IVCcRPO6J,0.0,1831
"Good news! Thanks to the #ACA, my husbands insurance premium jumped up 971.2% in one year! Hooray! #sarcasm #ThanksObama",0.0,1787
"Absolutely love it when I stay late at work to take someones photograph, remind them twice, and then they forget and leave before I can take it 🙂 ",1.0,1557
#TGIF oh just kidding I have 30 mins from one job to the next. love 12 hour days. #serverlife #sarcasm #nolife,0.0,2483
"Wow, can’t wait to go into ANOTHER lockdown 🙄",1.0,365
my super power is always biting into the sour cream side of the burrito no matter what,1.0,1248
It's been a great week for dictators.  Congrats North Korea and Cuba. #sarcasm,0.0,2979
I can't wait to see how many pairs of beats headphones show up at the gym after Christmas #sarcasm,0.0,1070
Welll helllo fever. Id say 103 is feelin real good today #not,0.0,1325
My favorite part about running on the track is seeing how high my heart rate gets just walking up the stairs to it.,1.0,1333
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,1.0,353
@fbhw great story about the student trying to get the teacher fired!!#sarcasm#moron#storywasstupid,0.0,3077
"fisher: ""i thought you said aids"" 
me: ""yeah rachel really loves aids""",1.0,896
"Well, at least the covid situation seems to be improving in time for christmas... ",1.0,887
Finally 2015 will be a worry free year for me. #not,0.0,247
@DJNoreenKhan @iHaroonRashid the only scary Bollywood film I've watched is Bhootnaath #sarcasm,0.0,1620
"It's okay, you know playing loud music during quiet hours is perfectly fine.. #not #somepplhavetostudy",0.0,693
How does one find motivation to do basically anything? Asking for a friend.,1.0,114
Today I'll lecture on CRM investments & shareholder value ... So excited .... #Not 😏 I'm sleepy 😴,0.0,1494
"I've made a roommate complain tweet every day, and he's done another thing, but I'm tired of negativity so I'm gonna list all the things I like about him! 

Here they are:",1.0,624
A wrong impression is once again my specialty,1.0,882
"@JoeTalkShow @EdwardNorton Get ratioed, then tell us more about the ""hate-filled left,"" especially about how the Republicans and independents who voted for Biden are somehow part of that group 🤣",1.0,1010
Tryna learn to skate tonight! 😎#pennyboard #skate #not http://t.co/yPktQSLA7D,0.0,2486
Don't you love when guys try to give you their number? Keyword TRIED. #not #backupoff,0.0,2980
Just loveeee driving upstate in the snow #not,0.0,1294
My son gave me a cold......again!!! Yay! #sarcasm #NotExcitedAboutThisShitAtAll,0.0,2125
I just love EU servers.... #NOT,0.0,1958
"@Moffstovoi Well done! With the better coaching now available, can we expect a decent wee victory tomorrow? 😅",1.0,1764
Just won 3 cents on HQ words...early retirement here I come 😍,1.0,762
turning 22 next week so naturally I increased my tinder age range up to 60,1.0,89
They should just put a wall around the pitch to stop the ball going out,1.0,438
Aren't you just loving the snow?  #Stockport #irony http://t.co/JhG0LxAun5,0.0,593
Planning a vacation instead of studying.... My priorities are in line. #NOT,0.0,2812
@richardjuan malay mo. its his real name haha. but still nice joke about na richard two. bagong bago #sarcasm hahahhaah JK,0.0,2155
"As if I didn't know this anyway!
I'm an Owl according to the #BBCBodyClock quiz – what are you? https://t.co/vM07K82CTg",1.0,203
"I've just had the BEST day ever sorting out my referencing and annotations (-,-)...zzzZZZ",1.0,891
Can't wait to go for my first driving lesson today. The thought of getting into a metal death trap that kills thousands of people every year just fills me with joy!,1.0,834
@RealAlexJones but they put it in soaps and shampoo! It's healthy! #sarcasm,0.0,714
thanks for appreciating me looking out of you and caring !! #sarcasm,0.0,2171
So you think the vaccine is a bad idea then. Glad you have that PHD in immunology!,1.0,701
@GasBuddyGuy @GasBuddy so glad I bought a diesel car 2 years ago #not,0.0,1125
Now I've written down everything I need to know it seems a lot more manageable. #Not,0.0,2791
Oh this will end well. #not RT @JonathanCohn: Military-Style Tech Finds Way Into School District Safety Measures http://t.co/uGFWTCZlVK,0.0,1589
"I asked my husband to buy dog poo bags when he went out earlier and they'd sold out. So instead of going to another shop, he bought bin bags. So now I still can't clean up after the dog but if I happen to buy a donkey and need to clean up after that, I'm sorted.",1.0,236
Jeez it's a lovely morning out!! 💨💧💦 👎 #Not #Ireland #December,0.0,1476
"Dry your eyes mate, they're only trousers",1.0,445
I see ITV have new drama starting next week think it's about a police detective with personal problems that i'll make change then.,1.0,100
Love a good cry 👌🏻,1.0,200
So happy i havent gone to bed yet #not,0.0,1137
