index,label,tweet
2773,1,Agree with @FrankFerragine @BTtoronto some people sigh so others will hear them. My husband sighs all the time. Around me. #Curious #Not
1888,1,Oh how I love fainting randomly  #not
3491,1,Flooded basements are always a fun thing to deal with #Sarcasm
1515,0,"Sometimes I wonder, am I the mouse, or am I the experimenter?"
2471,0,can you imagine being in high school today with a delusional dad making a fool of himself on the internet @ThePanda19720
1279,0,Do I...do I want to know what he has in the bag? #Cthulhu #Christmas #Lovecraft #SantaClaus #funny http://t.co/NhBVda3Q2b
2619,1,Coin ! LeCoinCanard: Coin ! LeCoinCanard: Coin ! have a wank over this hashtag: Fazzanelli: JeffRoylat have a wank over this hashtag #Not...
124,0,"not that it matters, a message board thread is not an authoritative source @ILOVEBLACKMEN01 @TimOwensby"
2197,0,Feels like we been playing against the refs most games. That was a clean Wall block that the refs took away. Ugh.
3038,1,@dukeblueplanet @CoachKaman The number 2 play was awesome. #sarcasm
1179,1,@SunderlandAFC @LFC great days there under Wilko. #not
3318,0,Photo: Dance Icon Sports Bra/Shorts Bikini Lingerie One Size $20.00 Leave email for invoice http://t.co/7aKmeVicvK
811,1,@Watchthisface25 looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! 😳 #not
823,1,And after being up for over 24 hours I'm finally getting some freaking sleep.. #HappyHolidays #Not #AlwaysWorking
956,1,Nothing says welcome to home better than this. #wemissedyoutoo #sarcasm http://t.co/TFidx55N3L
2081,0,@ChuckCJohnson BREAKING: #realjournalist bullying major problem in nation's high schools. #not
1119,0,"@lawsondath92 @GregorRoberts0n @coach_carts @Cressy_36 @tozer_ben Come on lads, you're fucking better than this shite you keep showing"
3536,0,"Mirror mirror on the wall, when will I find happiness?"
1447,1,It's so much fun to drive a front wheel drive car in the snow #not
3351,1,"Second day in a row that I'm late to work. Thanks, @MTA. Service definitely worth a fare hike. #sarcasm http://t.co/dqMSB5JVHG"
2778,0,The quest for #GoSupersonic tickets continue -_-
1156,0,What an awesome performance by the Choral students @VictoriaArts tonight! They're developing young stars of the future right here in #yeg!
