tweet,label
@USER @USER @USER #whoISshe LOLOL ! !,0
"@USER we are here to fight endlessly and change the system , atleast I am not going anywhere irrespective of result #AK4Delhi",0
"Woke up with my foot the size of a balloon , that 's just what I needed ..  #ouch",1
@USER so pissed at 2K rn ..,0
The American justice system :thumbs_up: :raising_hands: :clapping_hands: ,1
"i . e . cutting gov't spending , as Harper has done w / public sector jobs , injures the economy & multiplier effect of those jobs #cdnpoli 2/2",0
Just watched the last ever one tree hill . I 'm an emotional wreck and it 's not even 9 o'clock,0
"@USER kids do n't need schools ! Schools just turn them into gay atheists , gaytheists , if you will . ",1
@USER easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen  good enough #gutted,0
Goodie bags for 2nd grade are done ! #whatsnext ?,0
@USER You can afford stocks ? Teachers make SO MUCH money it 's crazy ! ,1
@USER : You want to see something Irish ! ! Of all the reasons to be closed :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: HTTPURL ,1
"Crime figures : true picture may be worse than feared , says think-tank report | via @USER HTTPURL Surprised ? ",1
"@USER mostly LRS stores , just depends on who gets what . I 'd say I tend to split between @USER & @USER",0
I 'm not staring at your boobs hun .. I 'm looking at your heart #relax,0
I doubt this week could get any better . ,1
#BBC #News - - #Denmark #challenges #Russia and #Canada #over #North #Pole . HTTPURL,0
@USER The Raiders are . I guess we 'll see how things play out tonight .,0
Babysitting is what I like to do on a Saturday :unamused_face: ,1
I already can't wait for Julia to come back .,0
"@USER she went from a faded orange mess to a dark brown with red streaks . I , of course , forgot to take pictures .",0
@USER @USER @USER too much of that herb . New trend of potheads contributing to society maybe ? Darn that ,1
Forest Hills Drive on my playlist naw ...,0
Drinking an 925 IPA by @USER @USER Ground Control - - HTTPURL #photo,0
Love that my buses are every half an hour :angry_face: :pouting_face: :face_with_steam_from_nose: ,1
"@USER , @USER , women say 1 man asltd them , y so long 2 say sumtin ? & the young 1s , where the parents ? Hotel wit grn ass man ? Smh",0
Wheres the rodgers in brigade ,1
They working me so hard tonite,0
Tomorrow three test signature . | Thank you . | #school ,1
This team would finish fourth .  #Arsenal #Afc,1
Senate Just Confirmed a New Cabinet Member That Has 2nd Amendment Supporters Furious - The Senate confirme ... HTTPURL,0
"@USER wait ... there 's a "" New Wii U "" ? ",1
@USER heh as if @USER and average work in the same sentence ! ,1
@USER @USER @USER | * Everything is crossed * | #ChristmasGift | #BassFace HTTPURL,0
@USER @USER @USER We Agree #NHSENGLAND needs to #Publish #AandE figures over #HolidayPeriod  from #JeremyHunt,0
We 'll that was a great way to start off my morning :grinning_face: ,1
@USER : HTTPURL  true ... you can't replace your one and only mam .,0
Love watching #latenightfilms . Enjoyed #MockingjayPart1 @USER #didsbury . Ta @USER . #Grateful to have such a #goodfriend .,0
"sorry for being female , I did n't mean to interrupt your perfect little man-world . :unamused_face: ",1
"The whole #Misogyny thing is hanging in there with Women from the right  . A cat fight now ? , imagine pulling that on the left #pmlive",1
Being awake since 3AM is always so much fun ,1
Mary is not having that shit whatsoever . #done #shesdone :person_tipping_hand: HTTPURL,0
We live in such a small world these days - the #LAFire is a story at the end of the Australian news @USER,0
Your friends will bring you down because they fucked up what they had males & females  me fool !,0
3 hours sleep yay loving life ,1
I can't wait to jump in my bed tonight and sleep ! :sleeping_face: #sotired,0
Bush ' fully informed ' of CIA methods HTTPURL No ? ? Really ? ? Shocking ... ,1
"@USER @USER Ya , because if history has told us anything , it 's that betting on sports is a GREAT way to make money ! ",1
It 's freezing out there & very hazy ... Just want to go home .,0
"I THOUGHT WHAT WE HAD WAS REAL , HOW COULD YOU BE FINE ? COZ I'M NOT FINE AT ALL Oh wait . Fixed the caps lock ^ . ^  #LaughNow . o .",1
you know what would make break 1000000 x times better ? | | not having practice .,0
@USER Thank you ! I think i filled it out correctly,0
@USER miss u I 'm leaving on 7th so ... Need to see you before I go :weary_face: :weary_face: :weary_face:,0
> @USER Google Drive Review HTTPURL,0
"I 've visited 19 #US #States , 2 #Canadian #Provinces , & 11 #Countries total . ( Not the most , but not bad . )",0
Photo : 3pc Lace Corset Size : small - 2xl Price : $ 40.00 Leave size and email for invoice HTTPURL,0
Such quality customer service today by @USER for the Xbox One  #thisiscrap helpfulatall,1
"there is only 1 race , HUMAN so i dont look at things by the myth of "" races "" @USER @USER",0
A #Sagittarius will always chase what they want until they get it .. | #keepgoing HTTPURL,0
"the "" 2/3 = 75 % "" is also in the top 10 LOL @USER @USER @USER @USER",0
In other news i havent had a good nights sleep in a week . I feel great . ,1
Taking a final then going straight to work . I 'm just peachy about it . ,1
Ouch that hurt :face_with_tears_of_joy: ,1
Bummer ending ... But what a fun game and season . #Gophers,0
Yay for getting pink eye again !  #whyme,1
"Looking for @USER practitioners ... Anyone out there , or recommendations ?",0
Nice weekend off but back at work tonight . Over the fucking moon ,1
Christmas shopping on 2hrs sleep is going to be fun ! ! ! ,1
@USER oh so someone got in trouble for making fun of the people who behead innocent people ... nice ,1
