tweet,label,index
"Congratulations to Trump on his second impeachment. It’s a tremendous achievement borne of hard work, focus and dedication. Record breaking. Historic. Bigly. #ImpeachmentDay #TrumpImpeachment2",1.0,0
"if you see me crying in the self-service car wash in my rosati’s uniform, no you didn’t ❤️",1.0,1
Men will literally fake an injury on the football field instead of going to therapy,1.0,2
Ayeee it’s officially “I’m not even your girl” season 😛,1.0,3
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,1.0,4
love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1.0,5
Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,1.0,6
I love when I start choking on my water in my 8 person class,1.0,7
When I grow up I wanna be a sociopath,1.0,8
Drum and bass is dangerous stuff don't you know.. #FabricReview 🙏🏻🙏🏻🙏🏻,1.0,9
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",1.0,10
Man I just love it when I'm forced to pitch two games back to back bc our other pitcher didn't show up,1.0,11
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1.0,12
wish i could understand string theory without knowing math..... alas i guess i am too hot for conceptual physics,1.0,13
The fair-weather fans in all of these threads. Wake up call. Fleury is a human being. Surprise!,1.0,14
@c_j_mcburney Suspect there’s still room for you in the ground,1.0,15
"Dear @krispykremeUK,

I see your enticing #Thanksgiving offer that ends on 2 Dec.

I wanted to ask if you're aware that #Chanukah starts on 10 Dec, continues for 8 days &amp; that traditional Chanukah fare is actually #DOUGHNUTS ?? 🍩🍩

#justsaying #AskingForAFriend  #opportunity",1.0,16
Every time you complain about neopronouns or xenogenders we add five more,1.0,17
I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.,1.0,18
"Going to M&amp;S food will be the highlight of my day later, can’t wait👌🏻😅",1.0,19
this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,1.0,20
Not at all concerning that a man's just been round to fiddle with the boiler and now he's left the carbon monoxide alarm won't stop beeping,1.0,21
"When you're feeling all in your feelings, but a certain BEST FRIEND is making you see reason, and maybe you'll be okay. So damn rude. 😤 @LadyDeadlight",1.0,22
Agreeing with the right to dunk on the centre is the real dialectical materialism,1.0,23
you ever completely embarrass yourself on zoom and decide to drop out of college?,1.0,24
@lora__ SHOCKED. How am I supposed to tell the kids they're not going to Disneyland on June 21st after all? It's already been cancelled 36 times! https://t.co/SV8gpPn6yw,1.0,25
Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1.0,26
"So my Twitter feed has to show me what tweets people I follow like. ...😐 If I unfollowed you, just know I'm tired of seeing porn",1.0,27
I love when I learn about stuff I've apparently done and said from people😂,1.0,28
Got very excited that my national trust card arrived I am officially a grandma https://t.co/mtkWJCxwom,1.0,29
Hate this site [CHIRPBIRDICON],1.0,30
it's funny my mom thinks i possess no remorse when i feel remorse everyday for existing 😎,1.0,31
Having a bad week but what else is new!! At least I finally got paid 💕😭,1.0,32
@devisridhar Do you know of any good chippies in the Crewe area?,1.0,33
do people with clear skin feel accomplished?? superior??? comfortable in their own skin???? what’s that like lmfao,1.0,34
@ThomasCabaret84 @MicrobiomDigest @raoult_didier Surely you’re not suggesting that their own thorough investigation of their own suspected &lt;fraud&gt; (which found no evidence for said &lt;fraud&gt;) was carried out with anything but the very  highest levels of integrity? Seems completely legit to me…,1.0,35
"According to my road rage, the word of the day is asshat",1.0,36
"@MailOnline Another misogynistic, homophobic rapper.. how shocking!",1.0,37
If I were the Red Sox I would simply play the Orioles more,1.0,38
Don't let people walk all over you. Or breathe on you. Either one.,1.0,39
Cheers @ASOS delivery lady for dropping my parcel off covered in coffee 😒👌🏼 https://t.co/UzY4gJS9DE,1.0,40
i stg i probably talk to my tv more than i do to actual people whoops rip social life,1.0,41
@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,1.0,42
My dream is to be left alone.,1.0,43
I like making food and then not eating it to assert my dominance,1.0,44
Nice to see @Cardiffbus have started the new year off with the usual crap service. Just love waiting for a bus that doesn't turn up,1.0,45
So weird how Venmo hasn’t venmoed me yet really thought I was the one,1.0,46
