index,tweet,label
2166,I fucked them really badly 😂😂😂|#AdvancedWarfare http://t.co/FKJaZVk943,0
2839,I'm pretty sure this bad boy is worth at least 6 stokes per round! #dreamon #not @ 913 miranda place http://t.co/gYSnxsrWSe,1
2129,Late night snuggles with my boy 💜💕,0
2082,Yaaaayyy Valentine's Day stuff is out already 💕 #sarcasm,1
1177,@Praise1300 Tamir knows Mike Brown raised his hands & was shot dead. He wanted cops to see he had a BB Gun & was still shot dead.,0
3361,That's comfortably the most stonewall penalty I've ever seen.. What are these refs on? #hadone #Stoke,0
414,Work Christmas Eve and Christmas Day.. Can't wait! #not,1
1041,Nice weekend off but back at work tonight. Over the fucking moon #NOT,1
404,@quiksilverindia A cool look and a cool mind is all you need to party all night. |#QuiksilverGoesSupersonic http://t.co/e1YA69hkNC,0
684,I liked a @YouTube video http://t.co/Jzuvo7lsxW NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,0
402,#Heisenberg Uncertainty Principle: Whatever you study you also change. #JurassicParkTheLostWorld #JurassicWorld #BreakingBad #Irony,0
1838,What do you all think of that Salt-N-Pepa Geico commercial? I think it's pretty terrible.,0
2324,@CBCHereandNow Whoa! I hope Dione Taylor got a standing ovation for that performance. Incredible voice.,0
2824,Body Language for Confidence - the easiest thing you can do to make a difference: http://t.co/Jv92osRVuO via> @DrGaryWood,0
2221,It's gonna be a great day 😃 #not,1
2312,@TravisRodgers Christmas as an adult with broken family. Just awesome. Nothing like your stepsister with 9 kids.. #sarcasm,1
2456,I got ready and then got to school and parked in less than 12 minutes! #miracle,0
2904,Montana Of 300 14 - THE BEST Versace Remix IN THE...: http://t.co/saAk4k9uzQ this dude goes off,0
1033,We'll that was a great way to start off my morning 😀 #not,1
1128,@aadashusain to you too. :) 👍,0
3095,Take a look at those calves!!! 😎😎😂😂 ladies love the calves! #not #about #the #arms #its #about... http://t.co/R7OWkjcBmq,0
983,My stomach is a Wonderland for gas inducing bacteria. #blessed #sarcasm,1
1514,You're great at keeping a conversation. #not.,1
2089,Gotta baps that hoe thou,0
1510,@SP_EnergyPeople are actually going to contact me rather than just apologising via Twitter?,0
703,@JackShiite @BigDaveTsv @MjrElvisNewton You're arguments are obviously very impacted by the fact this family were TSI in appearance.,0
1731,What a shock. Duke Johnson is hurt in an important game. #sarcasm #canes,1
1278,Solid leg day 💪 felt great and hit my max for 2. Can't wait to squat 315!,0
1301,Americans love guns more than ever! http://t.co/U9pHYAzcvx #Chicago #Detroit examples of strict #gunlaws yet have the most crime #irony,1
2187,I'm not going to survive today w/o breaking down in tears at least twice and possibly passing out. All nighter @the library was a bad idea.,0
842,saturday class wee #sarcasm,1
375,Most useful algorithm I've learned in class so far is finding a substring by using the fast fourier transform #sarcasm,1
659,Florida authorities say 1 police officer shot and killed http://t.co/DjcjLrbeRw #Florida #TarponSprings #TampaBay,0
613,480 W crawling at 7:30 am. Great start to Thursday. #CLEtraffic #cleveland #traffic,0
1211,Isn't the point to learn how to craft our own reality? What am I missing here? Should we not be different?  #not #wat?http://t.co/6r8ZnKS31F,0
3356,A Puppet at the #PTI rally wanting to make #NayaPakistan #irony http://t.co/3kAny6qhKr,1
338,@Giraffe737 the good old days! #NOT,1
2226,Coffee and Fiber One. It's worth getting up for. #Not,1
3298,@AusPublica @KateOnTheGo Your views are not right wing or left wing...just vile.,0
2454,@CNBLUEPERU #skill support compyuter system<<what is your idea<>#not robotway,0
487,@sollyakhtar @OK_Magazine @Nikki_Grahame1 #whoISshe LOLOL !!,0
2,Hey there! Nice to see you Minnesota/ND Winter Weather #Not,1
337,there are things we are made to go through #not to harm us but to given us a lesson to teach to someone weaker,0
2537,I'll go to Hawaii!|Bye Bye my friends! I'll be back😁😁#Hawaii#trip#with#myfamiry#because#not#girlfriend http://t.co/4eR9E8Nxde,0
1771,#YouAndIBackToYoutube WHAT???!WHY???!! ITS CHRISTMAS! ITS FORBIDDEN TO DO SUCH TERRIBILE THINGS! GIVE IT BACK TO US! @YouTube,0
2656,MAMA - a Korean awards show that will be held in Hong Kong and will be headlined by an American artist #irony,1
1648,Just booked me and my back a massage with @sharna_woodcock @back_physio hopefully stop it groaning over crimbo 👍🎅🎁🎅,0
2317,"""Race 5 at Sandown dogs tonight sponsored by """"Dandenong Budgie Club"""" |Hope that's a joke.|Love a seat at that table #not #nerds #getalife""",1
1869,THEY #CAN'T BE #IDENTIFIED|#UK should #NOT ALLOW more #SYRIAN REFUGEES #ENTRY among them will be #ISLAMISTS potential #TERRORISTS,0
164,@BFBulletin if @tiggr_ exclude BF3 maps from the poll... I am going to RIOT!! I really want Seine Crossing back 😭 😭|I would pay for it!!,0
2769,Why couldn't I just stay sleeping,0
1922,Your cyber Monday sale got extended? No fucking way! #sarcasm #stfu,1
539,@TMcCarthy34 Can you come shovel my driveway? You owe me for helping you become the man you are today. #givingback,0
1950,Like u go to Williamsville east ur parents hand u money but ur so much better than everyone else hahaha #not,1
2445,it's beginning to look a lot like Christmas 🎄🎅 #office #tinsel #christmassy #happy #not #long #now... http://t.co/VXcVFCKdjY,0
913,@SidewalkJR Not passing judgment. Been in many binds before and actually love the creativity. Vodka is a versatile liquor.,0
904,that fits @2014Outlaw @brownbearmike1 @real_smart_guy3 @RBRNetwork1,0
3237,I like the feeling when people thinks they're 2 steps ahead of me... But the truth is they're miles and miles behind me AHAHAHAHA |#sarcasm,1
1353,I just earned the 'Photogenic Brew (Level 21)' badge on @untappd! http://t.co/3slfluggKx,0
3372,Driving into town on very well cleaned country road I see a tow truck veer off too far to shoulder & get sucked into ditch. #Irony,1
2906,The world is such a smiley place. 😳 #not,1
3062,Nice touch. All the bar staff in the ground wearing #saintsfc t shirts,0
3622,A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower 🎶🎶🎶,1
3579,How is it possible that Sly Stallone’s ‘Cobra’ is both the best and the worst movie ever made?,1
1635,I'M NOT GONNA ASK YOU FOR FOLLOWING. Your own decision.,0
680,DNA from Richard III has thrown up a surprise: evidence of infidelity in his family tree. http://t.co/tXu9ZtrNaX  ||Well I'm SHOCKED. #not,1
2530,@byrddddddd no but i followed you and i saw you posted that so i thot i might add on.....sorry,0
3203,@francescapinder @girlposts this vine won't come up 😫😫😫,0
2265,@98_florence @ConnorMcDonough @TobyMcDonough ||#TSU website now worth $1.5 Million!||people get paid for posting!||http://t.co/OXybfwwWb6,0
