,tweets,class
60727,"“@ThinkingHumanit: #Sarcastic People Are Actually #Smarter, #Sexier And More #Successful http://t.co/wPtGBx3nrG”",sarcasm
60728,Be aware  dirty step to get money  #staylight #staywhite  #sarcastic #moralneeded @… https://t.co/Oj6BdyX3WG,sarcasm
60729,In CA for 5 days and it rains 2 of them. #imaginarydrought #dontbelievethehype #sarcasm,sarcasm
60730,"Because we have no access to implements at home, we play with them at the @Corn_Palace ! #FlintsTakeSD #sarcasm http://t.co/iIuq17m51T",sarcasm
60731,And the news gets even better... #sarcastic #DarkMatter Five please don't die!! @jodellemicah,sarcasm
60732,"Don't ride him too long Joe, Edwin and Travis can lock this one down #Sarcasm",sarcasm
60733,@IminworkJeremy @medsingle #DailyMail readers being sensible as always #shocker #sarcastic #dailyfail #inHuntspocket #theyhatethenhs,sarcasm
60734,When you tell your server that you only want a little ice. Lol #serverlife #sarcasm #firkinonbloor… https://t.co/EUx5SUpfep,sarcasm
60735,"""Most functional part of the fam."" Yeah okay. #hah #Ilaugh #thatsfunny #sure #sarcastic #seriouslywtf",sarcasm
60736,@aisyeizhar kemon la siapa la yang tak tau tu. hehe have a blessed and blast year! Stay 18th foreverrrrr #sarcastic,sarcasm
60737,Yes Orton vs Sheamus a fresh hot match to start off #Battleground #Sarcasm,sarcasm
60738,-@TeacherArthurG @rweingarten You probably just missed the text. #sarcastic,sarcasm
60739,#Repost thegoodcomedy #TheGoodVibe #Sarcastic https://t.co/5te5QXYeZI,sarcasm
60740,@Theponker woohoo! #sarcastic  #teammoth #chillyandclear,sarcasm
60741,"Another score for the FDA, way to protect the American people! #sarcasm  http://t.co/0L7Pp3j1iR http://t.co/mfjwH7jxgG",sarcasm
60742,@SuttaButta_K   That's my girl. #sarcastic,sarcasm
60743,Right! 😂😂😂 #funny #lol #meme #lmao #wth #wtf #laugh #lls #repost #random #humor #sarcasm… https://t.co/cgOJ0P4SDp,sarcasm
60744,Yay...thunderstorm = hail cannon time 😕 #sarcasm,sarcasm
60745,"Vera, the Blue-Eyed Muskrat Fur Teddy Bear by ElleVintage369 via @Etsy http://t.co/dkuHNXNnap via @Etsy #teddy #sarcastic #elle",sarcasm
60746,@CarlosACollazo and leading off....  #sarcasm,sarcasm
60747,Strop is nothing like Marmol.  Marmol wore his hat differently.  #sarcasm #Cubs,sarcasm
60748,We're going to be seeing Stefan Savic in an Atletico Madrid shirt next season. Absolutely fantastic #sarcasm,sarcasm
60749,@MiddleEastEye @Live_UK_News Those boys were terrorists. #sarcasm,sarcasm
60750,Only thing that might make this track better is if Susky put the cones back out #sarcasm,sarcasm
60751,@jase1129 I told you our slugger would show up #sarcasm,sarcasm
60752,"I must share this with the world.  Here, world.  https://t.co/4EK3G4FBWh #satire #sarcasm #genius",sarcasm
60753,Rolled ankle .. Retirement .. Just a solid week all around .. #sarcastic,sarcasm
60754,@stl7thward @LauraKHettiger I thought hot spot policing was a plan?? (Which btw is really working out) #sarcasm,sarcasm
60755,I dont think any TV show could be more #Epic than #MasterShowman! This show is the bees knees!! #sarcastic,sarcasm
60756,Can we have a standing ovation please for the outside influence. ☺️ #Sarcastic,sarcasm
60757,@benshapiro @CBSNews sure does... #Sarcasm,sarcasm
60758,"My jobs great because I love what I do (operate rides for kids) and sometimes if the weather's right, I get a shower too!! #rain #sarcasm",sarcasm
