index,tweet,label
2757,@Neilby70 @ParkzTheDon 😆😆 He would get floored in one poke 🙈☺️☺️👌,0
484,Patrick Kielty hosting Radio 2's Comedy Awards... #Irony,1
2075,the sexual tension between my fist and the computer screen,0
824,Broke: doing assignments in order of due date Woke: doing assignments in order of priority Wired: spending 20 minutes on each class at a time and just go down the list,1
2526,New England (-11.5) over New York Jets; Pittsburgh (-2.5) over Kansas City; Carolina (-4) over Cleveland.,0
1868,Sending best wishes to all my coworkers at the 9AM this morning #Not,1
1213,Original Content is hard to come by. -Anonymous #writingtips #irony #quoteoftheday,1
32,That moment when you have so much stuff to do but you open @tumblr ... #productivity #not #tumblr,1
3387,My favorite thing is waking up at 4 and driving 20 minutes in the snow just to see this bitch ass #Not #PaneraProTeam http://t.co/qebtDSVoRT,1
3334,@CeciAlbiceleste @MarinaOLoughlin #apologies *scoffs humble pie*,0
1110,"do love third year uni winter break, three things to do over the holidays while we have had no due dates so far this year yet 😐 ",1
1266,@Azuliblancos @Herring1967 I think about Blue Rat whenever I see an energy drink: 'All the energy of a rat... in a can'.,0
1986,Good luck to @ThackleyAFC  against @HandsworthPFC this afternoon after a month of inactivity.  #not ring rusty.,1
392,So glad to be off work,0
1355,Love how politicians are exempt from social distancing and all other restrictions placed on the general public ,1
1788,I don't like clowns but I'm going to be one. #irony,1
169,"We need better control of the ball, get it changed Ralf 

Mason for Marcus, Donny for Bruno",0
128,Why am I sick? *looks at other tweets* oh yeah sex... #irony #lame,1
820,It’s so easy to have the best day until someone lies to your face 🥰❤️😭,1
1882,I love working for an hour and not getting paid for it #not,1
1649,I can be mad at you for a matter of 15 min then I can't stand not talking to you.,0
360,Just been refused some headache tablets because apparently I look younger than 16. Sixteen. Six. Teen,0
818,"It was always going to be hard for Cardiff, but Christ, Karl Dixon does not want to see an upset here",0
292,My dream is to be left alone.,1
2343,Wait why am I seeing bi/pan lesbian hate again Did yall learn nothing??,0
827,Boris Johnson is entirely trustworthy and honest and there was obviously no Christmas Party in Number 10 this time last year,1
855,Just a table of four left for tonight guys !!! Love you all so much for the support ❤️❤️❤️,0
3207,Gotta love a Romanian playing an improvised version of jingle bells in a minor key. Really sets the festive mood. #not,1
384,I love that we have to always pay by cash at the barbers. Sure would be a lot easier if they took card...,1
1142,Love that I still have kids that still wake up early on Christmas #sarcasm #justkiddingIlovethem,1
151,@Justen_G you tweet about having a flip phone? Now that's the definition of #Irony,0
114,@SQLSophist is that #sarcasm ?,0
3170,Just ate a toasted PB &amp; honey sandwich for lunch. IT WAS ABSOLUTE BLISS. What are you having for lunch today?,0
1156,"I absolutely loveee not getting a graduation ceremony after I spent 3 years on my degree and ended up over £50,000 in debt",1
123,I can't believe today is the last day we can be gay.,1
709,Really glad to learn that the police operate purely in the style of 'Minority Report'. I was worried they might start looking into crimes AFTER they happen. Phew,1
251,"Hear me out... The lyrics in ""coney island"" should've been ""lost again with no surprises, disappointments close your EYESES"" Fixed it for you @taylorswift13 😉 #evermorealbum @taylornation13",1
3227,Psychic Advice weekdays at 9am (PDT) on Psychic View Radio..call in 347-850-1494 to ask YOUR question http://t.co/JCowWkMNQH #BlogTalkRadio,0
189,"""your pronouns are what's in your pants"" ok. juicy/dumper",1
1250,#Irony - the true definition - #Iran hosting a conference against extremist! http://t.co/BT5UJR1Cpa,1
304,@nine_oh ****ALERT**** PLEASE CHANGE THIS.... ITS #NOT ME>>> #NowPlaying Relentlezz @WHATCHAKNO  - Who I Be :: Tune In: http://t.co/MV7gJcM7l3,0
430,i hope u sleep maybe forever maybe not  lol,1
460,Will pessi sign for man city,1
408,"So our landlord just brought in new sofas which is lovely but in the process broke a table, someone’s cup and spilt tea on the carpet and left saying “you should probably clean that up” thanks Darren 🖕🏼",1
469,@Braaanchy14: Love randomly waking up at 5:43 am #not me everyday multiple times 😒😒,1
959,"So Boris Johnson has decided to join the police this morning - he looked great in the hat. I think he will make a very competent police officer, indeed!!",1
1747,Always fun when buses don't turn up! It's my favorite waiting outside in the freezing cold for them for like half an hour 😏 #Sarcasm,1
654,@jimmyk52501 @MotherJones @NickBaumann I love when the wilfully ignorant embraces hate and still think they hold a moral high ground |#irony,1
2867,It makes me happy when I watch comedy panel shows and my favourite comedians get along. WE CAN ALL BE FRIENDS.,0
1349,"13:46 Temp. 9.6°C, Hum. 88%, Dewp. 7.1°C, Bar. 1014 hpa, Rain Today 0 mm",0
2550,@FUCKCRUCIFIX: COD AW SERVERS #OFFLINE #not,0
1113,The man has been having seizures for a while and they’ve been occurring with more frequency and severity. Like seizures sometimes do. To speculate on his death and link it conspiracy theories is just disrespectful,0
731,Uh oh Ben Simmons will also have a Steph Curry type season 76ers better not trade him now https://t.co/kkpzfcTcSH,1
3284,Got a strong urge to go down one of those pitch black tunnel slides and just vibe,0
3350,Well. If it's not one thing it's another. But hey why not a like new exhaust. #pissed #sarcasm #GRRRR,1
175,"Nothing screams “I’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter, saying “go potty! Go POTTY!” over and over again.",1
83,Beautician and the Beast (1997). Best Timothy Dalton film of all time.,1
493,"""Wassup buddy....hows everything. ..will look for you """"@EduMkareThaDj: @IamNickRwigi boss kupotea nayo..Acha hizo #notcool bro #not""""""",0
451,I'm hoping my social work class party is going to involve tequila and chip and salsa 💃🍹🎉👨,1
31,Wheels well and truly off 🥲🥲,0
2124,can you imagine being in high school today with a delusional dad making a fool of himself on the internet @ThePanda19720,0
3281,Why do we all love talking about our pet peeves,0
1120,Anyone selling a parklife weekend ticket??,0
825,I got asked if I needed a kid’s menu today...21 is treating me well 👶🏼,1
