dataset,tweet,label,roberta_on_irony_mix,roberta_on_polarity,roberta_on_sarcasm,roberta_on_sarcasm_mix,bertweet_on_irony_mix,bertweet_on_polarity,bertweet_on_sarcasm,bertweet_on_sarcasm_mix,bert_on_irony_mix,bert_on_polarity,bert_on_sarcasm,bert_on_sarcasm_mix,bert_alea,bert_epi,bert_total,roberta_alea,roberta_epi,roberta_total,bertweet_alea,bertweet_epi,bertweet_total
irony,"@USER I do n't get anywhere near £ 500 a month on UC though . I basically get told “ you get what you get , and if you do n't like it you can fuck off and die . ” One thing 's for certain , I would n't cross a puddle for the benefits I 'm on , let alone the Channel .",0,0.033263758,0.003306435,0.5698973,0.31975734,0.032858487,0.044100527,0.34261945,0.059863202,0.04986182,0.03976992,0.78361136,0.9254701,0.6880740468692798,0.16644180579550458,0.8545158526647844,0.5411498968025792,0.05341799720584699,0.5945678940084261,0.3666467866142332,0.016632537336847074,0.3832793239510803
irony,this just in : phobias CAN be chosen and you CAN get rid of them by just not being scared ! :smiling_face_with_hearts: / s,1,0.08192397,0.006197928,0.73741096,0.93319184,0.08120239,0.034106113,0.07802796,0.04358216,0.019996349,0.023466226,0.4708108,0.3167864,0.5109802906577978,0.037575465737962555,0.5485557563957604,0.6858527033586539,0.16202343612599085,0.8478761394846448,0.22484260897206446,0.00042805345416350885,0.22527066242622795
irony,Payphone by Maroon 5 is actually a super sad song now that I 'm 22 & actually listen to the lyrics,0,0.10692309,0.003980105,0.121024646,0.09212634,0.047771286,0.032299194,0.044237535,0.030021286,0.07277253,0.64525086,0.16636854,0.23366824,0.5924947082076919,0.047852303751165615,0.6403470119588575,0.28123784698041554,0.002082459454071212,0.28332030643448675,0.16341222811628142,5.7296882081575806e-05,0.163469524998363
irony,hi,0,0.053389203,0.005607617,0.36972466,0.2832275,0.47166163,0.2733892,0.30205646,0.26910424,0.95418257,0.9002671,0.38317865,0.4111982,0.6395609701132168,0.07069614561736243,0.7102571157305793,0.46832768513844636,0.023269538950749843,0.4915972240891962,0.6335058696984219,0.006939586744592722,0.6404454564430146
irony,was not aware that Crocs were appropriate business casual attire .,1,0.0651508,0.0034258151,0.21363926,0.34145212,0.4169598,0.24942145,0.20171967,0.54264015,0.14006497,0.12826063,0.62290215,0.39571038,0.6281699906983531,0.041652585182872626,0.6698225758812257,0.43283687756976363,0.017311801146892,0.45014867871665565,0.6490930938835102,0.018417025136721915,0.6675101190202322
irony,what i love about mine and summers work schedules is that she will finish at 8p m and then i 'll start work at 9pm and then when i get home at 7am she 'll start work at 8am :red_heart:,1,0.18207058,0.004326688,0.94899684,0.98876077,0.9885449,0.9077542,0.77463114,0.9536584,0.9751032,0.9717481,0.9537733,0.78252816,0.27684010313641083,0.0064377215289552975,0.2832778246653661,0.6912191349071946,0.19585069812969136,0.8870698330368859,0.3113624020068775,0.006586437894411799,0.3179488399012893
irony,3rd shift down already told em bout the clowns they 're not fans,0,0.026799867,0.004565821,0.8889943,0.52954215,0.07910088,0.048498712,0.91307706,0.4714975,0.06526032,0.1417609,0.93009573,0.94804347,0.6922403672827333,0.1753115139563855,0.8675518812391187,0.6548292406430655,0.13647769530187287,0.7913069359449383,0.6630982132453818,0.1232402544481743,0.7863384676935561
irony,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,1,0.030392952,0.0029400827,0.08856213,0.016401123,0.48245835,0.8451782,0.083645456,0.14481282,0.021566922,0.023691285,0.14066324,0.10445462,0.2602977585470943,0.0026609396911375476,0.26295869823823187,0.150299071100632,0.0010657893813637203,0.15136486048199574,0.6683093729808156,0.09242544687744256,0.7607348198582582
irony,My crazy does n't go away . It 's here to stay .,0,0.005803649,0.0030930748,0.12542613,0.027485516,0.092929505,0.04447325,0.11225056,0.45227036,0.022956463,0.033260506,0.0668248,0.08515885,0.20450811476723904,0.000628492410803279,0.20513660717804233,0.1693782681343839,0.002496232498915842,0.17187450063329973,0.4644713487864424,0.026147054559643577,0.490618403346086
irony,My work email is n't working so I can just log off for the day right ? :face_with_rolling_eyes:,1,0.07115505,0.0036950186,0.9190372,0.98614943,0.96525526,0.5699354,0.9591862,0.9707958,0.9648274,0.0578959,0.9684351,0.8727552,0.5967115663013933,0.145827938000095,0.7425395043014883,0.6930973610573302,0.21051510890635622,0.9036124699636865,0.3933729833156386,0.02929283444900967,0.42266581776464823
irony,maybe i 'll shut up about wisconsin drivers when y'all stop fuckin driving like that,0,0.14979629,0.00580213,0.90787846,0.8813125,0.9269436,0.6296229,0.9358058,0.7130965,0.790435,0.91378015,0.82440424,0.93988025,0.3918158148789596,0.003794112214757549,0.3956099270937172,0.6927661035813408,0.16946904521458164,0.8622351487959224,0.49850122850566275,0.017782747616975,0.5162839761226378
irony,yeah i enjoy some oregano on a nice pasta dinner ( dumps oregano on mac n cheese ),1,0.7856379,0.006265959,0.23217334,0.9218908,0.99222034,0.9905985,0.96779066,0.97782326,0.9748644,0.90042055,0.95269626,0.90474886,0.24532785377719207,0.000999996217099618,0.2463278499942917,0.6927822020136496,0.1435888539517448,0.8363710559653944,0.08971691321876699,9.942330798110026e-05,0.08981633652674809
irony,"Man-spider . The story of a spider who 's bitten by a human and now has the powers of a human . Working in an office , wasting money on artisan coffee , and giving up his bus seat to a woman who turns out not to be pregnant , but just "" likes sandwiches you a-h * le "" . #IntoTheSpiderVerse",1,0.062571034,0.0050774105,0.1107108,0.28657997,0.031490725,0.027537739,0.14876762,0.09646206,0.7548433,0.5980151,0.13828605,0.2407097,0.6841322817590544,0.0636612398658842,0.7477935216249386,0.35935535767806015,0.011070939135021583,0.37042629681308176,0.26905076883220835,0.0025108680156461396,0.2715616368478545
irony,Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days :loudly_crying_face: tempted to quit teaching tbh,1,0.25282952,0.0046141357,0.13220814,0.29708788,0.6650753,0.22427247,0.05620539,0.034039438,0.6765747,0.22510059,0.34177616,0.5562785,0.6881252547252225,0.031230835043320766,0.7193560897685433,0.4585478306335431,0.012945352902926782,0.47149318353646985,0.5566604580559517,0.06426015254007537,0.620920610596027
irony,gaslight gatekeep girl boss,1,0.11057176,0.003416006,0.41574195,0.8555678,0.24864651,0.07514822,0.16486062,0.17793939,0.9381559,0.9808044,0.29719207,0.23527728,0.6674527539309882,0.12085386412361818,0.7883066180546064,0.6451415424102092,0.10932827765854738,0.7544698200687565,0.45053226532618396,0.0038066638989470237,0.45433892922513097
irony,The fact I nearly froze on my way to work this morning is definitely a sign it 's not summer anymore #freezing,1,0.92283773,0.00407192,0.16161364,0.12680149,0.9915867,0.8117091,0.51155907,0.107419364,0.8995464,0.30914032,0.25578886,0.08127962,0.6671284326730543,0.09486149903708659,0.761989931710141,0.6140755999289655,0.13114751568094923,0.7452231156099147,0.6706891055183031,0.11212358308151443,0.7828126885998175
irony,"@USER @USER Well , illegal immigrants categorically do n't get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia ...",1,0.0072459197,0.0028108826,0.92229545,0.88175464,0.20176576,0.5841821,0.9111846,0.87471056,0.45012087,0.20760238,0.9716152,0.9456966,0.6512248281515154,0.10659608118292394,0.7578209093344394,0.6888214065823928,0.2013586481232328,0.8901800547056256,0.6516956339562734,0.08093998926019529,0.7326356232164687
irony,2000s songs are so infectiously rhythmic and boppy i love it,0,0.6445441,0.01131657,0.21137172,0.12047237,0.5078006,0.4568669,0.051463813,0.03975485,0.96833736,0.98380023,0.19475159,0.13682242,0.6830516251559695,0.1645885059370918,0.8476401310930612,0.5589329523537445,0.05771664607972144,0.616649598433466,0.5771701655540862,0.048023472129818966,0.6251936376839051
irony,Birds are not real and you can not tell me otherwise .,1,0.008527959,0.0032857284,0.3056638,0.1424321,0.07921863,0.047568437,0.2891314,0.2234799,0.029677374,0.03951209,0.25806952,0.13169657,0.3563098425938892,0.008431441337409386,0.36474128393129857,0.35679688863550146,0.015230394172766174,0.37202728280826763,0.43942038203526756,0.009967752944275803,0.4493881349795434
irony,"Incredible scenes in Nottingham , as it begins to rain for the first time this hour .",1,0.84000176,0.0033889522,0.6453832,0.55882174,0.9925983,0.5838329,0.12597896,0.22486134,0.97682923,0.9632978,0.48622248,0.11197066,0.6564730303027908,0.1300801008670529,0.7865531311698437,0.6928639835622572,0.09656341625297331,0.7894273998152305,0.6924858534244093,0.11598792554912869,0.808473778973538
irony,"Can we appreciate how amazing vaccines are ? We 've got covid cases declining despite nightclubs being open ! If we vaccinate school kids , we might even avoid a spike once the schools reopen .",0,0.7094193,0.0030938364,0.93089515,0.9855101,0.98749906,0.98779476,0.96380514,0.9707172,0.94715476,0.95756143,0.90180594,0.9440302,0.23341755954944604,0.00045307713212971876,0.23387063668157576,0.6428559893561254,0.15331957048592437,0.7961755598420498,0.107788641601065,0.00010987760032860042,0.1078985192013936
irony,I 'm high and drinking coffee but my ADHD is still winning,0,0.15006505,0.004526779,0.22563207,0.19621657,0.8714496,0.75597733,0.16763055,0.19524565,0.43456534,0.8757457,0.10439036,0.08152447,0.6610793557338244,0.10341204718830047,0.7644914029221248,0.41235494996146593,0.007219970184858038,0.41957492014632397,0.6931354248529208,0.1017050891573412,0.794840514010262
irony,I 'm just living off salads and yogurt and loving it tbh,1,0.35823226,0.0050770235,0.082245015,0.06292992,0.24667533,0.072605945,0.061099008,0.044587906,0.74360317,0.62825495,0.13915744,0.31514788,0.6893650141950992,0.05815367715281025,0.7475186913479095,0.38087707355309924,0.01861037386999872,0.39948744742309794,0.3385855703748314,0.006673005351128973,0.34525857572596036
irony,I just heard my voice in a video and I never want to speak again,0,0.0058314484,0.0032512397,0.10464006,0.15115976,0.056603312,0.047858495,0.08419119,0.08409896,0.031778723,0.055108435,0.068199046,0.07551925,0.22045565333229172,0.00027659374647401086,0.22073224707876574,0.24375129857073452,0.004075676443938319,0.24782697501467285,0.24892641414817357,0.000264188626974901,0.24919060277514846
irony,"Omicron : Cases are going up , run for the hills .",1,0.06212221,0.0029821526,0.47288042,0.60047156,0.9557596,0.6420566,0.67508584,0.96683615,0.06971361,0.04051175,0.10271497,0.8712525,0.5842986239763299,0.12056598749244832,0.7048646114687782,0.5972585155952078,0.06600733429902042,0.6632658498942282,0.4863178555358024,0.02306255949373227,0.5093804150295347
irony,"Like all humans , I make some decisions that go against the best interests of myself or others . One such decision is sometimes eating too much sugar , another was consuming animal products . I would love the government to nudge me towards better decisions . #NationalFoodStrategy",0,0.080459714,0.0033010002,0.3290832,0.05131461,0.98648053,0.9727438,0.0611988,0.06971454,0.9565551,0.8733289,0.26267543,0.28061253,0.675637578117402,0.10436412812433635,0.7800017062417384,0.35895924917113436,0.01588820500102345,0.3748474541721578,0.6921312345217545,0.20895271920702885,0.9010839537287834
irony,"I heard it might be snowing ? ? ? Sounds fake , but okay ? ? ? Can anyone verify ? ? ?",1,0.065770626,0.0031065426,0.8496362,0.44311592,0.06584744,0.057181053,0.94610184,0.9414978,0.06638386,0.026036942,0.7629066,0.9181324,0.6867183323538563,0.1609471015357653,0.8476654338896216,0.6413052807017232,0.11476505921647709,0.7560703399182003,0.6931330588421065,0.1946189962325504,0.8877520550746569
irony,Replace Pelosi #Nancy,0,0.0065364284,0.0035343994,0.49267897,0.87535024,0.18502012,0.096170954,0.6150182,0.7250975,0.031510074,0.034757867,0.8248086,0.8810763,0.6866437772283203,0.1684185610428581,0.8550623382711784,0.6439913623704376,0.13355897461939378,0.7775503369898314,0.6751124276776274,0.07258403854525067,0.747696466222878
irony,I was today years old when I learned what Ricky Martin looks like .,0,0.01648769,0.0032797204,0.7030655,0.76258785,0.06374689,0.04485839,0.14901859,0.07493085,0.039104264,0.04272384,0.18008502,0.9157772,0.6060642336117037,0.13192358490619036,0.7379878185178941,0.6596729962356587,0.13112630447212054,0.7907993007077792,0.286368974565822,0.001562238284201301,0.2879312128500233
irony,In sunny spain at the moment ! ! ! Hows it all in england ?,1,0.5378196,0.0039596455,0.81423384,0.1682013,0.35537955,0.33568603,0.6596068,0.071641825,0.94699407,0.061920665,0.9302554,0.92465127,0.596732875862707,0.14265468944423412,0.739387565306941,0.6645775558139729,0.09993166280454889,0.7645092186185218,0.6508317484205984,0.04336224813868463,0.694193996559283
irony,did anyone else get a notification from @USER saying american horror story s9 was available but does n't show up when you search for it ? !,0,0.047815286,0.002876888,0.046623185,0.05628607,0.027027033,0.026565837,0.052998524,0.030974299,0.01923541,0.016568964,0.14258835,0.37083387,0.40004398057375146,0.020770316342897648,0.4208142969166491,0.16282664213856612,0.0004345178419262386,0.16326115998049237,0.1496904480882454,0.00011834374509276833,0.14980879183333815
irony,"as a poly dude , this "" boyfriends "" comic is really fucking adorable i dont trust no bitches who say its "" fetishy "" or "" not good representation "" i love them id die 4 them",0,0.058001596,0.0037354187,0.5619804,0.25792423,0.11957631,0.2736847,0.051308263,0.029294327,0.6449898,0.8660923,0.9032273,0.94281566,0.44085978448144747,0.013319117827463683,0.45417890230891117,0.5274269124889307,0.04785050486983355,0.5752774173587643,0.363857217586843,0.00913895663063155,0.37299617421747455
irony,"I was in no way prepared for the emotional wringing of my soul that #TalesFromtheLoop would put me through . And the score ? Stunning . If you want something beautiful , intelligent and unique to watch , give it a go . It 's on Amazon Prime . I 'm off for a lie down and a cry .",0,0.12447708,0.003909309,0.04195502,0.018743027,0.03126221,0.028743489,0.03923171,0.025426958,0.06806269,0.05178959,0.1031213,0.079111814,0.26769229324342764,0.0003483691783577463,0.26804066242178537,0.1904004112071983,0.0021707799805368725,0.1925711911877352,0.13877254021367025,2.5967524189353325e-05,0.1387985077378596
irony,Markets already down,0,0.42252862,0.00695749,0.25815493,0.30216566,0.26347542,0.23863238,0.35205626,0.39489254,0.76322937,0.1910202,0.24060407,0.12698632,0.6345039133740031,0.06405210301078595,0.698556016384789,0.5595181647695947,0.022899392377880624,0.5824175571474753,0.6209002854139667,0.0040532101451475015,0.6249534955591142
irony,@USER one of them smonks weed so it 's super worth it / s,1,0.035966687,0.008932524,0.41768458,0.26490256,0.6234911,0.96636647,0.098970965,0.323096,0.9742086,0.97699463,0.2765957,0.69193107,0.5833259635948069,0.08191721800690796,0.6652431816017149,0.47421962812692936,0.028424517375068188,0.5026441455019975,0.6931294041377642,0.10620787490369013,0.7993372790414544
irony,"Hey @USER , any chance we could see a civic in Rocket League ? :winking_face:",0,0.012017634,0.0026411565,0.94582564,0.6137442,0.20487435,0.086164616,0.6503998,0.38071117,0.96380967,0.6399304,0.97159857,0.9446817,0.3669148576428907,0.019307873466793725,0.38622273110968447,0.6703126799118216,0.16296763456954716,0.8332803144813687,0.6345586187301264,0.04508465545623945,0.6796432741863658
irony,watching twilight with sam and i can not wait to see his reaction to animatronic renesmee baby,0,0.22241901,0.004499294,0.09842596,0.07107927,0.09642064,0.05264285,0.050567735,0.032484002,0.96177936,0.9478442,0.50418824,0.4682883,0.5924567655709992,0.05507565786545868,0.6475324234364579,0.3231139434655229,0.006235621826067685,0.3293495652915906,0.22150890673578155,0.0005527865079457371,0.2220616932437273
irony,anthony dropped his phone in the ocean,0,0.040639017,0.00433458,0.16288146,0.7801575,0.056688484,0.047221173,0.18973847,0.13874447,0.09643258,0.08324167,0.34002233,0.1709433,0.4600789626837728,0.010454838465440151,0.47053380114921295,0.5590187405246446,0.09820105247676618,0.6572197930014108,0.34252049014381364,0.003488324716533721,0.34600881486034735
irony,@USER @USER @USER You can call it whatever but it was stupid and not an inserection ... if it was there would have been arms and the building would have been taken over and btw ... it has been proven non Republican militia were in there also involved and present,0,0.003043966,0.0027622785,0.71375436,0.22211078,0.025960796,0.01900973,0.1069218,0.11556061,0.045725886,0.020592254,0.8856382,0.18081711,0.5959440904966865,0.124692705971763,0.7206367964684495,0.5457403626224373,0.08427728295655051,0.6300176455789879,0.2454484670496893,0.0019847726046708972,0.2474332396543602
irony,How is it possible that Sly Stallone 's ‘ Cobra ' is both the best and the worst movie ever made ?,1,0.08907114,0.003906098,0.71757466,0.61890304,0.1846945,0.09331737,0.12936924,0.14950702,0.068307325,0.05184966,0.7443631,0.86884195,0.684233687931344,0.14129526262933712,0.8255289505606811,0.6518862817006663,0.09876698405867411,0.7506532657593404,0.4035487291300004,0.0010944604569251691,0.4046431895869256
irony,"@USER tbh I think the only time I hear trans people use it is trans mascs referring to themselves . I 'm sure it does happen but the OG tweet really feels like "" made up a guy to be mad about """,0,0.017374428,0.0031371014,0.45854303,0.06817582,0.05190457,0.038077317,0.056407057,0.037239138,0.06683647,0.25462046,0.14089595,0.07935537,0.3965746274370375,0.005521419704349066,0.4020960471413865,0.39912574618548374,0.03508902322830185,0.43421476941378556,0.1862826157031795,7.066445260950051e-05,0.186353280155789
irony,okay but like the say so song ain't that bad . I 'm unironically jam to it lmao,1,0.028087491,0.0052205366,0.71140337,0.87215525,0.12684079,0.08445045,0.05004251,0.031588476,0.9679949,0.9784943,0.44943973,0.8829563,0.4718158164805751,0.04707525807315618,0.5188910745537313,0.6746843749765363,0.1535003142681677,0.828184689244704,0.2619163481137806,0.0013179228787326266,0.26323427099251323
irony,absolutely love waking up to the fire alarm at 7 am :smiling_face_with_heart-eyes:,1,0.5715495,0.0044361,0.98900163,0.99445,0.9925821,0.9901063,0.9680322,0.97696656,0.9911425,0.99521375,0.9811445,0.95321244,0.09734439610948079,0.0002685923965805183,0.0976129885060613,0.6534990992595533,0.16401595074964964,0.817515050009203,0.09046252671674673,9.952585698929994e-05,0.09056205257373603
irony,Ca n't wait for those $ 2000 checks to go out immediately,1,0.1736164,0.00854118,0.7493497,0.90576035,0.99252677,0.99082196,0.9712425,0.9768544,0.98340005,0.98932016,0.5332794,0.94510305,0.3998926727151231,0.036477334610330425,0.4363700073254535,0.6898332882856493,0.14206357614137766,0.8318968644270269,0.0866836364734368,8.196819474006869e-05,0.08676560466817687
irony,Hot dog eating contest as a form of assisted suicide,1,0.316983,0.0037396569,0.780101,0.8384218,0.6559083,0.0784231,0.8628908,0.94320387,0.5991631,0.28662223,0.6765703,0.5065591,0.692553406027326,0.021349043940984917,0.7139024499683109,0.6926857182602961,0.11795816417803681,0.810643882438333,0.6561818624659204,0.11428469986155143,0.7704665623274718
irony,Ah gotta love that Friday morning burnt out feeling :sunrise_over_mountains:,1,0.78706926,0.004939909,0.9612428,0.9673227,0.9926198,0.9905822,0.96404845,0.9723374,0.9916334,0.9951427,0.94051075,0.9361894,0.1488207166759511,0.0007611683295642207,0.1495818850055153,0.6267611158195816,0.15720542920597275,0.7839665450255544,0.09843984433328136,0.00014609180703421926,0.09858593614031558
irony,"my mom just called the spatula , an “ egg flipper ”",0,0.5359262,0.008190915,0.16680518,0.46693283,0.14158832,0.044597987,0.18860379,0.102591835,0.50783503,0.8274929,0.20438102,0.3724245,0.6921818015428951,0.05226223603244392,0.7444440375753391,0.6061002385618701,0.046574636217356774,0.6526748747792269,0.3656188782911992,0.002789832441473184,0.3684087107326724
irony,6 more hours and then a whoppingly massive 2days off work ! wowzers !,1,0.85193086,0.0072005074,0.9012306,0.97343373,0.6771829,0.7789943,0.12867504,0.10154201,0.98884016,0.9933083,0.9005559,0.8507944,0.24482086843362472,0.0036412583108753026,0.24846212674450002,0.6242423688205827,0.15430453245613546,0.7785469012767181,0.6808027283804736,0.09532386339761903,0.7761265917780926
irony,"I can't tell if my professors keep skipping / delaying Introductions because grad school is so serious and important that you have to immediately dive into material , or if because classes at AU have n't been in-person in two years all the profs are majorly disoriented",0,0.41128847,0.005088513,0.08617502,0.023887195,0.084772706,0.09421434,0.037305027,0.025069846,0.06414001,0.08673162,0.21158959,0.073195785,0.34423927725160636,0.003578708956841579,0.34781798620844795,0.38943545024678616,0.026974068344684923,0.4164095185914711,0.22790333665398932,0.0008797554440729598,0.22878309209806227
irony,it 's Songkran right now in Thailand and I wish I was there :weary_face: :weary_face:,0,0.024322674,0.0034667198,0.17222156,0.032520574,0.050019804,0.04016058,0.05018235,0.02934888,0.032204457,0.05542705,0.100026175,0.18213044,0.3081630943234269,0.0032750509972549633,0.31143814532068187,0.2217988689513727,0.004450934055888631,0.22624980300726133,0.17558484420570825,7.349250132261666e-05,0.17565833670703085
irony,We did n't deserve to draw anyway but it 's just so frustrating to lose due to shit officiating,0,0.038542375,0.0047264015,0.4662272,0.10315872,0.039517872,0.065126315,0.0777012,0.032344375,0.094582364,0.4586449,0.11621912,0.088643916,0.48552995054998155,0.024247592458676363,0.509777543008658,0.4281577727453985,0.033920233196945364,0.4620780059423439,0.20918972842197908,0.00034095267789101844,0.2095306810998701
irony,Taxes are just the best and I can not wait to pay more :smiling_face_with_halo: :smiling_face_with_hearts: :pleading_face:,1,0.74691844,0.0052514477,0.9795649,0.9600699,0.9922069,0.99086714,0.9709646,0.9780187,0.9704634,0.9481687,0.4915197,0.80058914,0.4966572864408587,0.036535833756314674,0.5331931201971734,0.6320689322109925,0.15693580518301897,0.7890047373940114,0.08606371610995547,7.908057006767515e-05,0.08614279668002314
irony,Really happy that the weather has stayed like this for the whole weekend,1,0.90296686,0.0045246785,0.9711746,0.97958994,0.99185973,0.9827131,0.96792275,0.9174676,0.9811219,0.98973113,0.16323724,0.16896793,0.6816223017195617,0.16783629552379487,0.8494585972433566,0.598014388183286,0.16893480615940049,0.7669491943426865,0.1517450067438987,0.0008257675464193246,0.15257077429031804
irony,Good news : Played out of my mind from the sand traps today . Bad news : Was in the sand traps a lot today .,1,0.50041705,0.0046238303,0.4576864,0.75632197,0.045838896,0.10512236,0.0643806,0.0315568,0.25599205,0.06796441,0.30640802,0.079663314,0.46759202143943224,0.011087085486126746,0.478679106925559,0.6832478038448453,0.07328894638693464,0.7565367502317799,0.23168685819484375,0.0007632179143542072,0.23245007610919796
irony,as much as i like being home i miss my uni pals and messing around in the kitchen at 2am,0,0.52387613,0.004389658,0.5672761,0.28890085,0.31808808,0.23596185,0.09265562,0.033108495,0.26386988,0.85910296,0.1994401,0.6777046,0.6931471768329889,0.07665688608680826,0.7698040629197971,0.6450056952334656,0.05014022993570803,0.6951459251691736,0.455812489538934,0.012750618426860705,0.4685631079657947
