Tweet,Label,Prediction
@USER @USER @USER #whoISshe LOLOL ! !,0,0
"@USER we are here to fight endlessly and change the system , atleast I am not going anywhere irrespective of result #AK4Delhi",0,0
"Woke up with my foot the size of a balloon , that 's just what I needed ..  #ouch",1,0
@USER so pissed at 2K rn ..,0,0
The American justice system :thumbs_up: :raising_hands: :clapping_hands: ,1,0
"i . e . cutting gov't spending , as Harper has done w / public sector jobs , injures the economy & multiplier effect of those jobs #cdnpoli 2/2",0,0
Just watched the last ever one tree hill . I 'm an emotional wreck and it 's not even 9 o'clock,0,1
"@USER kids do n't need schools ! Schools just turn them into gay atheists , gaytheists , if you will . ",1,1
@USER easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen  good enough #gutted,0,0
Goodie bags for 2nd grade are done ! #whatsnext ?,0,1
@USER You can afford stocks ? Teachers make SO MUCH money it 's crazy ! ,1,0
@USER : You want to see something Irish ! ! Of all the reasons to be closed :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: HTTPURL ,1,0
"Crime figures : true picture may be worse than feared , says think-tank report | via @USER HTTPURL Surprised ? ",1,0
"@USER mostly LRS stores , just depends on who gets what . I 'd say I tend to split between @USER & @USER",0,1
I 'm not staring at your boobs hun .. I 'm looking at your heart #relax,0,1
I doubt this week could get any better . ,1,0
#BBC #News - - #Denmark #challenges #Russia and #Canada #over #North #Pole . HTTPURL,0,1
@USER The Raiders are . I guess we 'll see how things play out tonight .,0,0
Babysitting is what I like to do on a Saturday :unamused_face: ,1,1
I already can't wait for Julia to come back .,0,1
"@USER she went from a faded orange mess to a dark brown with red streaks . I , of course , forgot to take pictures .",0,0
@USER @USER @USER too much of that herb . New trend of potheads contributing to society maybe ? Darn that ,1,0
Forest Hills Drive on my playlist naw ...,0,0
Drinking an 925 IPA by @USER @USER Ground Control - - HTTPURL #photo,0,1
Love that my buses are every half an hour :angry_face: :enraged_face: :face_with_steam_from_nose: ,1,1
"@USER , @USER , women say 1 man asltd them , y so long 2 say sumtin ? & the young 1s , where the parents ? Hotel wit grn ass man ? Smh",0,1
Wheres the rodgers in brigade ,1,0
They working me so hard tonite,0,1
Tomorrow three test signature . | Thank you . | #school ,1,1
This team would finish fourth .  #Arsenal #Afc,1,0
Senate Just Confirmed a New Cabinet Member That Has 2nd Amendment Supporters Furious - The Senate confirme ... HTTPURL,0,1
"@USER wait ... there 's a "" New Wii U "" ? ",1,0
@USER heh as if @USER and average work in the same sentence ! ,1,1
@USER @USER @USER | * Everything is crossed * | #ChristmasGift | #BassFace HTTPURL,0,1
