tweet,label_polarity,mean_confidence_polarity,variability_polarity,mean_correctness_polarity,correctnesses_polarity,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
Mens Football clearly know how to have a good time ...  #archiesday #anychanceofasocial,1,0.2224973905831575,0.1508172023163922,0.0,"[0, 0, 0, 0]",1,0.6107724010944366,0.1907574687846988,0.75,"[0, 1, 1, 1]"
Lots if love for #Miranda ,1,0.400887306779623,0.1045968033279633,0.25,"[0, 1, 0, 0]",1,0.7826412171125412,0.1289342992594255,1.0,"[1, 1, 1, 1]"
Rain and sleet hun ? Yeah I totally want to get dress and go to work . Sounds like fun  #iwannagobacktobed,1,0.5250433459877968,0.2644102260516396,0.25,"[0, 0, 1, 0]",1,0.7893401831388474,0.1340215523778938,1.0,"[1, 1, 1, 1]"
@USER thats not weird at all ,1,0.5050112530589104,0.262215789206574,0.25,"[0, 0, 0, 1]",1,0.4123637918382883,0.3236592747773833,0.25,"[0, 0, 0, 1]"
@USER @USER @USER @USER actually I believe Henry is undefeated on Turf in @USER @USER ,1,0.572516106069088,0.21982214586199,0.25,"[0, 0, 1, 0]",1,0.8159306272864342,0.1866334730572162,0.75,"[0, 1, 1, 1]"
That moment when you have so much stuff to do but you open @USER ... #productivity  #tumblr,1,0.5489761382341385,0.257834007752831,0.25,"[0, 0, 1, 0]",1,0.7711565122008324,0.2981970261306773,0.75,"[0, 1, 1, 1]"
"Buzzing about going home tonight , back for a month",0,0.4323996910825372,0.3494925453749665,0.25,"[0, 0, 0, 1]",0,0.726848877966404,0.2049573904634816,0.75,"[0, 1, 1, 1]"
Too bad her cube does n't have a door . - @USER | | #bestcoworkersever  @USER,1,0.4016436915844679,0.3234968552633679,0.25,"[0, 0, 0, 1]",1,0.764636367559433,0.2437085664674483,0.75,"[0, 1, 1, 1]"
Perty sunrise #fs100 timelapse of the mountain HTTPURL,0,0.4856716878712177,0.297717151199434,0.25,"[0, 0, 0, 1]",0,0.8069236129522324,0.1106753474032423,1.0,"[1, 1, 1, 1]"
"showed mom this picture of me and @USER & says "" this is grunge "" and she goes "" haha ! ! I love it ! "" #momgoals HTTPURL",0,0.513892151415348,0.271307641823773,0.25,"[0, 0, 1, 0]",0,0.8752835541963577,0.0847796957061812,1.0,"[1, 1, 1, 1]"
Nothing says nature like the relentless sound of AM commuter traffic #fthunter #AMdogfun  @USER,1,0.5200401619076729,0.2544948988257989,0.25,"[0, 1, 0, 0]",1,0.7566846311092377,0.2435752631144073,0.75,"[0, 1, 1, 1]"
"#13CABS apparently this guy only does city-airport . If not , swears & drives off . Even from a taxi rank #goodguy  HTTPURL",1,0.4602787010371685,0.2978178251255223,0.25,"[0, 0, 1, 0]",1,0.8929911106824875,0.1214709553379377,1.0,"[1, 1, 1, 1]"
@USER One of those obvious when you see it but oh so clever ideas ! ! Glad you approved !,0,0.5372943878173828,0.2564350268742916,0.25,"[0, 0, 0, 1]",0,0.7889111563563347,0.298339390217528,0.75,"[0, 1, 1, 1]"
"@USER How do you propose to determine "" sides "" ? I have both black and white family members . #racewar  #LoveNotWar",1,0.4714384377002716,0.3012041509604238,0.25,"[0, 0, 0, 1]",1,0.6332471817731857,0.2488516271022297,0.75,"[0, 1, 1, 1]"
@USER : Let 's go workout ! That jiggle is not going to jiggle itself away #ThingsYouSayToYourBestFriend this is so us  @USER,1,0.3717900924384594,0.1974924379808821,0.25,"[0, 0, 0, 1]",1,0.7349940836429596,0.209096151028143,0.75,"[0, 1, 1, 1]"
25 Historical Images That Normalize #Breastfeeding HTTPURL via @USER . We 're so more tolerant now ... ,1,0.5048560425639153,0.2835094194590575,0.25,"[0, 0, 1, 0]",1,0.7161290794610977,0.2245942780221393,0.75,"[0, 1, 1, 1]"
"@USER fucking copycat , although you 're name is mint and the act we share it is probably a cause for alcohol filled celebration ! ! !",0,0.4690809547901153,0.2980673330359429,0.25,"[0, 0, 1, 0]",0,0.7062661051750183,0.2263304915983604,0.75,"[0, 1, 1, 1]"
