tweet,label_sarcasm,mean_confidence_sarcasm,variability_sarcasm,mean_correctness_sarcasm,correctnesses_sarcasm,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
Forbidden forest was so peng,0,0.3286761762574315,0.1718862161725488,0.0,"[0, 0, 0, 0]",0,0.8123138695955276,0.1846160045554202,0.75,"[0, 1, 1, 1]"
Death by Zara fitting room,1,0.3957729898393154,0.1197227684898045,0.0,"[0, 0, 0, 0]",1,0.790152296423912,0.1664125569999955,1.0,"[1, 1, 1, 1]"
every time i see someone named david im like ... wow ... that really IS a guy named david,0,0.3509442918002605,0.0877624311046094,0.0,"[0, 0, 0, 0]",0,0.5718903541564941,0.2759672406283217,0.5,"[0, 0, 1, 1]"
I wanted to be so much harsher about Zoom meetings . HTTPURL,0,0.3345522247254848,0.0954653154849666,0.0,"[0, 0, 0, 0]",0,0.8617342561483383,0.1267811214832707,1.0,"[1, 1, 1, 1]"
Throwback to when I answered the phone at work with “ thank you for calling Courtney ! My name is principal ” wow I love myself,1,0.3174477275460958,0.1606624936376103,0.0,"[0, 0, 0, 0]",1,0.8761107623577118,0.0666239780973117,1.0,"[1, 1, 1, 1]"
"Some pretty great things are happening at the call center . Listen in to 104.5 for the Care-A-Thon ! Each dollar is being matched , my friends !",0,0.4223942346870899,0.2806795399694872,0.25,"[0, 0, 0, 1]",0,0.7355180978775024,0.1853798378084034,1.0,"[1, 1, 1, 1]"
Loving season 4 of trump does America . Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,1,0.5693657398223877,0.2164993753868865,0.25,"[0, 0, 0, 1]",1,0.7966649085283279,0.1426885879458714,1.0,"[1, 1, 1, 1]"
"There 's a gigantic , newly opened , posh box of chocolates in the kitchen at work marked ' for everyone ' and now I 'm wondering which one of my colleagues got dumped on Valentine 's Day",0,0.4958481788635254,0.0699777787256214,0.25,"[0, 0, 1, 0]",0,0.4612001106142998,0.0988027416413196,0.5,"[1, 1, 0, 0]"
Who 's bored at home ?,0,0.5049874931573868,0.2603419676407982,0.25,"[0, 0, 0, 1]",0,0.4678694680333137,0.2368091577765262,0.25,"[0, 0, 0, 1]"
feeling v grateful ! ! !,0,0.5444822162389755,0.1854647017627668,0.25,"[0, 0, 0, 1]",0,0.7963841482996941,0.1858594655227067,0.75,"[0, 1, 1, 1]"
could have gone to bed early but instead have been messing around on a random color palette generator for an hour,0,0.5657110512256622,0.2356429649754418,0.25,"[0, 0, 0, 1]",0,0.7286063805222511,0.1735983576407403,0.75,"[0, 1, 1, 1]"
Sitting in a waiting room listening to two middle age women talk about how 50 shades changed their life,0,0.5794045627117157,0.1779493673096193,0.25,"[0, 0, 0, 1]",0,0.7692781910300255,0.2092803666612738,0.75,"[0, 1, 1, 1]"
Cheers @USER delivery lady for dropping my parcel off covered in coffee :unamused_face: 👌🏼 HTTPURL,1,0.5855713188648224,0.2072226030919079,0.25,"[0, 0, 0, 1]",1,0.5867122448980808,0.3916763528670458,0.5,"[0, 0, 1, 1]"
Not at all concerning that a man 's just been round to fiddle with the boiler and now he 's left the carbon monoxide alarm wo n't stop beeping,1,0.5771302133798599,0.2128072121248646,0.25,"[0, 0, 0, 1]",1,0.7089823707938194,0.2407360095495416,0.75,"[1, 0, 1, 1]"
"New year , new me , noodles",0,0.4727751314640045,0.1278384315807561,0.25,"[0, 0, 1, 0]",0,0.7675319537520409,0.2077907247301452,0.75,"[0, 1, 1, 1]"
"to be completely honest , my ego is MASSIVE and i 'm not even sorry abt it :) )",0,0.4313462954014539,0.2681875870597683,0.25,"[0, 0, 1, 0]",0,0.5426252782344818,0.2625746134027691,0.25,"[0, 0, 0, 1]"
"So our landlord just brought in new sofas which is lovely but in the process broke a table , someone 's cup and spilt tea on the carpet and left saying “ you should probably clean that up ” thanks Darren 🖕🏼",1,0.5589815974235535,0.1988739781212065,0.25,"[0, 0, 0, 1]",1,0.7889327704906464,0.1891677004015405,0.75,"[0, 1, 1, 1]"
It was the jerseys,1,0.434275709092617,0.1433853410482724,0.25,"[0, 1, 0, 0]",1,0.7756067588925362,0.2268836273396537,0.75,"[0, 1, 1, 1]"
I love it when professors draw a big question mark next to my answer on an exam because I 'm always like yeah I do n't either ¯ \ _ ( ツ ) _ / ¯,1,0.4818610362708568,0.2957443130006053,0.25,"[0, 0, 0, 1]",1,0.761427253484726,0.2013824103176264,1.0,"[1, 1, 1, 1]"
"Queer marriage is not allowed because it does n't follow the "" age-old customs , rituals , practices , culturla ethos and societal values "" , but all cis-men can commit infidelity with no consequences . Happy fuckin Pride people :upside-down_face: #SupremeCourtofIndia",1,0.4859245400875807,0.2819088089108835,0.25,"[0, 0, 1, 0]",1,0.77855484187603,0.2484327535561225,0.75,"[0, 1, 1, 1]"
Politicians are so honest it melts my heart,1,0.5875258222222328,0.2169636685951592,0.25,"[0, 0, 0, 1]",1,0.7260088101029396,0.2283344055870887,0.75,"[1, 0, 1, 1]"
I 'm settled for a night in front of the TV watching #SoccerAid,0,0.452920064330101,0.0734223397222065,0.25,"[1, 0, 0, 0]",0,0.6667543351650238,0.1546590159342281,0.75,"[1, 0, 1, 1]"
wait what the fuck that solo yolo is mad ?,1,0.4895904473960399,0.2523857752029321,0.25,"[0, 0, 1, 0]",1,0.6905763447284698,0.1816241186763983,0.75,"[1, 0, 1, 1]"
"Yeah , feeding children sweets before bedtime is an awesome way of getting lots of sleep",1,0.5315971150994301,0.2596295205780846,0.25,"[0, 0, 0, 1]",1,0.9425535500049592,0.0483561660036041,1.0,"[1, 1, 1, 1]"
my bf took my off his lock screen which obvi means he 's cheating on me,1,0.4239779282361269,0.1909482203923063,0.25,"[0, 0, 0, 1]",1,0.7562943771481514,0.2344507693658147,0.75,"[0, 1, 1, 1]"
"these two girls are on the beach in lawn chairs , i love shoobies",1,0.4256534315645695,0.1594731796390596,0.25,"[0, 1, 0, 0]",1,0.7580581903457642,0.198882374230107,0.75,"[1, 1, 0, 1]"
I 'm hoping my social work class party is going to involve tequila and chip and salsa :woman_dancing: :tropical_drink: :party_popper: :man:,1,0.5638225227594376,0.1977099371521545,0.25,"[0, 0, 0, 1]",1,0.8289450109004974,0.2273551534591265,0.75,"[0, 1, 1, 1]"
The phrase “ the white people of black people ” was coined to explain cishet black men 's privilege over other identities within the black community . Not to just throw around when y'all are annoyed / hateful :face_with_rolling_eyes:,0,0.4389747604727745,0.261058398011354,0.25,"[0, 0, 0, 1]",0,0.7659237384796143,0.1708047107930335,1.0,"[1, 1, 1, 1]"
@USER Are n't you happy I gave you less competition for ranking,1,0.5184770599007607,0.2245116168103876,0.25,"[0, 0, 0, 1]",1,0.8194320276379585,0.1996253717416097,0.75,"[0, 1, 1, 1]"
trying to figure out how to use notion for my anime list . I think i 'm dying,1,0.4472066238522529,0.1970216752851894,0.25,"[0, 0, 1, 0]",1,0.7750147953629494,0.2387060291523327,0.75,"[0, 1, 1, 1]"
"Wine , pizza & UFC ... is there any better way to spend a Saturday night ? #UFC #fightnight",0,0.3624720498919487,0.1418206065122085,0.25,"[1, 0, 0, 0]",0,0.732078343629837,0.1822508170176025,1.0,"[1, 1, 1, 1]"
"@USER are basically thieves , quoting it 's in the small print so you can't have a refund . Dates moved from summer , to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife . #WeWantARefund @USER",1,0.4725252613425255,0.1713244967333222,0.25,"[0, 0, 1, 0]",1,0.5062387064099312,0.1695453421320358,0.25,"[0, 0, 0, 1]"
Update : holding hands with your mom and walking around campus also shows you 're prepared for the independence college offers,1,0.5027995854616165,0.2009520395938301,0.25,"[0, 0, 0, 1]",1,0.6982623636722565,0.2257821456189504,0.75,"[0, 1, 1, 1]"
It 's so easy to have the best day until someone lies to your face :smiling_face_with_3_hearts: :red_heart: :loudly_crying_face:,1,0.5308751687407494,0.262189746198923,0.25,"[0, 0, 0, 1]",1,0.9209330081939696,0.0504167308401313,1.0,"[1, 1, 1, 1]"
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,1,0.4820677191019058,0.2757077788739442,0.25,"[0, 0, 0, 1]",1,0.6480584144592285,0.2919206997627341,0.5,"[0, 0, 1, 1]"
"Also my Twitter seems v quiet , what is going on ?",0,0.4889398142695427,0.1904612704543656,0.25,"[0, 0, 1, 0]",0,0.7527233511209488,0.2197280600648884,0.75,"[0, 1, 1, 1]"
The sign of spinelessness : complaining to someone having a call on a bus as they 're getting off . Was the person on the phone a woman alone ? Of course she was . Was the person complaining an older man ? Of course he was . Did I yell at him ? Of course I did . Speak out for justice . :raised_fist:,0,0.5064910240471363,0.2840133662423949,0.25,"[0, 0, 0, 1]",0,0.8477684855461121,0.140267076925298,1.0,"[1, 1, 1, 1]"
i think everyone should get an air fryer :red_heart: good vibes only,0,0.440737672150135,0.1060232376319299,0.25,"[0, 0, 1, 0]",0,0.7164793089032173,0.2402496389066677,0.75,"[0, 1, 1, 1]"
I forgot my keys omds I had to message my brother on roblox to open the door,0,0.5865044221282005,0.1798525214681361,0.25,"[0, 0, 1, 0]",0,0.8768602311611176,0.1661815840761059,1.0,"[1, 1, 1, 1]"
really not taking this ' university in lockdown ' thing seriously,0,0.5361027643084526,0.2206976035488937,0.25,"[0, 0, 1, 0]",0,0.7875694409012794,0.2088834677516131,0.75,"[0, 1, 1, 1]"
"If I was a wealthy Boomer and I saw a bunch of angry Millennials coming for my money , I 'd be nervous . We already killed Applebee 's , we will kill again #EatTheRich",0,0.3970783352851867,0.2286629237508579,0.25,"[0, 1, 0, 0]",0,0.6785690486431122,0.2909092213765754,0.75,"[1, 0, 1, 1]"
"Selling 2 X Zutekh Presents Mella Dee at Square One Manchester Tickets 22nd August - £ 18 Each , cheaper than face value Message me or @USER to buy",0,0.4431780055165291,0.2543308602762766,0.25,"[0, 0, 1, 0]",0,0.8309815227985382,0.1079169557412219,1.0,"[1, 1, 1, 1]"
Words can not express how much I HATE glitter,0,0.4473843649029732,0.2736601241842663,0.25,"[0, 0, 1, 0]",0,0.8024141937494278,0.130734136640161,1.0,"[1, 1, 1, 1]"
dev patel is so hot girl i was having a crisis watching the green night,0,0.5379352793097496,0.2320493675720404,0.25,"[0, 0, 0, 1]",0,0.766528308391571,0.2118759965693571,0.75,"[0, 1, 1, 1]"
@USER @USER Damn ! At my wedding we drank enough to make up for the no shows ! :thinking_face:,0,0.4909889735281467,0.2850479892953709,0.25,"[0, 0, 0, 1]",0,0.6761070489883423,0.1826433049778151,1.0,"[1, 1, 1, 1]"
"The nice thing about being back in school is the sense of stability , the bad part is that it 's being stable in misery .",0,0.4622840508818626,0.2848762874739956,0.25,"[0, 0, 1, 0]",0,0.6611093282699585,0.1462597246482272,1.0,"[1, 1, 1, 1]"
"just asked a patient if she 'd like to schedule for the same time next week and she said "" no , but it was nice meeting you . "" well ... fair enough :grinning_face_with_sweat:",0,0.576568253338337,0.2248792522271626,0.25,"[0, 0, 0, 1]",0,0.6459979265928268,0.2239426360603356,0.75,"[0, 1, 1, 1]"
spaghetti bolognese is n't the same without garlic bread,0,0.4673390910029411,0.2781608220929427,0.25,"[0, 0, 0, 1]",0,0.7192204892635345,0.2506573401507511,0.5,"[0, 0, 1, 1]"
"“ Americans were n't meant to be quarantined ! Open up the states ! Let us free ! ” This . This is what brings into perspective the fact that 10,000 years of civilization is a fraction of a blink in evolutionary time . Ignorance is as tenacious as wisdom teeth .",0,0.4599657095968723,0.3039037337895525,0.25,"[0, 0, 0, 1]",0,0.8028282970190048,0.1485315168404161,1.0,"[1, 1, 1, 1]"
someone get on a plane with me and lets just tour someplace for like 4 days please,0,0.5629914030432701,0.225739995556246,0.25,"[0, 0, 0, 1]",0,0.7525390684604645,0.1596604639527442,1.0,"[1, 1, 1, 1]"
PLT slamming their brand name on everything winds me up . You 'll find something really nice but it 's got ‘ PRETTY LITTLE THING ' written in caps all over the front :weary_face:,0,0.4454643502831459,0.1181865958517009,0.25,"[0, 0, 0, 1]",0,0.8239816874265671,0.137776911322243,1.0,"[1, 1, 1, 1]"
