tweet,label,mean_confidence,variability,mean_correctness,correctnesses
thanks @USER for ratting my location out on stream and then embarrassing me :face_with_tears_of_joy: it made my day though HTTPURL,1,0.3694521635770798,0.1735119831800748,0.0,"[0, 0, 0, 0]"
YOU HAVE TO understand that people fight INVISIBLE battles . do n't invalidate anyone 's feelings .,0,0.33392486348748207,0.13164100080411767,0.0,"[0, 0, 0, 0]"
"The best love is the kind that awakens the soul , and makes us reach for more ... :sparkling_heart:",0,0.2797910366207361,0.1676206199347535,0.0,"[0, 0, 0, 0]"
@USER LOOL from the guy with multiple twitter handles ,1,0.4060198962688446,0.04895137102653146,0.0,"[0, 0, 0, 0]"
Just remembered IHOB was a thing . Do n't text .,0,0.36302709951996803,0.0884498460659309,0.0,"[0, 0, 0, 0]"
I just saw the Matt Hancock video and now I 'm scared that in ten days time he will climb out my telly,1,0.5165111422538757,0.24728292399388974,0.25,"[0, 0, 0, 1]"
"Quel domage  RT @USER : No Canada : Bills in TO series , which was a colossal flop , has been cancelled HTTPURL #CFL #NFL",1,0.28300719149410725,0.27577224014044643,0.25,"[0, 0, 1, 0]"
Will put corporate racism and sexism back where it belongs : Face-to-face  @USER : Execs think twice HTTPURL,1,0.3777317479252815,0.35256400450399045,0.25,"[0, 0, 1, 0]"
Plan on using the last 16 % of my battery on listening to @USER @USER get through the day #big ☆ now,0,0.47972749918699265,0.31259582696640403,0.25,"[0, 0, 0, 1]"
"@USER : It 's 2015 . Why am I still manually turning on / off WiFi , Bluetooth , NFC , etc .. ? #fb yep",0,0.4208251927047968,0.3448447231897976,0.25,"[0, 0, 0, 1]"
I need to get out of this car before I kill my dad .,0,0.5125838257372379,0.293457113089773,0.25,"[0, 0, 1, 0]"
my super power is always biting into the sour cream side of the burrito no matter what,1,0.42296954803168774,0.3496869250837066,0.25,"[0, 0, 0, 1]"
3 hours of sleep is sufficient to tackle this day .  #timezoneproblems,1,0.4309360943734646,0.2943813043007799,0.25,"[0, 0, 0, 1]"
My brain : ok you have 3 things to do My anxiety : ok you have 30 things to do,0,0.5191610902547836,0.1290979562192107,0.25,"[0, 1, 0, 0]"
@USER Why do n't you Tarmac all the speed humps in The Cut in 1 go instead of bit by bit as the brickwork disintegrates ! |  :rocket: Science,0,0.5174782127141953,0.18260213752227564,0.25,"[0, 0, 1, 0]"
just stuck my entire hand in a hot oven without thinking about the consequences . self preservation is clearly my strong suit,1,0.5074071660637856,0.22830057621236388,0.25,"[0, 0, 0, 1]"
"I 'm sorry , but if you message me on Instagram wanting me to help you sell your fit tea and wraps , I 'm leaving you on read . :upside-down_face:",1,0.45687199011445045,0.3150554695625138,0.25,"[0, 0, 0, 1]"
Yeah so I 'm on a diet :pizza:  HTTPURL,1,0.4818105846643448,0.2951813418139921,0.25,"[0, 0, 0, 1]"
NEW MUSIC TOMORROW ! !,0,0.42575689405202866,0.20904668078961955,0.25,"[0, 1, 0, 0]"
@USER thats not weird at all ,1,0.4123637918382883,0.3236592747773833,0.25,"[0, 0, 0, 1]"
@USER Her family should definitely not seek mental health guidance . :grimacing_face:,1,0.46404365450143814,0.04430498089650071,0.25,"[0, 1, 0, 0]"
I love how sometimes I am skipped over so the greeting replies are just towards Odin but not me . ,1,0.49012356996536255,0.14851376344424536,0.25,"[0, 0, 0, 1]"
"You 'd hope that a film like that would lose relevance after a couple decades , but nope .",0,0.5079708322882652,0.16339208455111243,0.25,"[0, 1, 0, 0]"
“ You 're never going to have a white boyfriend are you Jess ” Nah do n't think so Mum,1,0.5442095249891281,0.25363351639124126,0.25,"[0, 0, 1, 0]"
@USER yup .. Few weeks in NZ mucking about then some time in Fiji dodging sharks .,0,0.47063886374235153,0.24872266808568408,0.25,"[0, 0, 0, 1]"
About once a yr I get a little nutty and reach for the orange marmalade . #livingontheedge  HTTPURL,1,0.5135862678289413,0.2926223761199043,0.25,"[0, 0, 1, 0]"
"at least ... I 've got spine , cause I can feel the pain in my back . #thinkpositive | ",1,0.5554895251989365,0.20445188243943724,0.25,"[0, 0, 0, 1]"
@USER You should know a true Oregonian does n't use umbrellas !,1,0.4831306580454111,0.3039441054370285,0.25,"[0, 1, 0, 0]"
And I used to hate coming to uni to do work lol,0,0.41690743714571,0.1418204626375478,0.25,"[1, 0, 0, 0]"
@USER There 's a surprise . ,1,0.5116257816553116,0.19221741090922942,0.25,"[0, 0, 0, 1]"
yeah your girl is fine but does she pass out while giving blood,1,0.45515114814043045,0.31900746535952557,0.25,"[0, 0, 0, 1]"
"@USER #eskom yup , service delivery is impeccable  . diesel supply or cash flow problems ? Ineptitude",1,0.48447681590914726,0.2933533130696734,0.25,"[0, 0, 0, 1]"
Cicadas are fucking ugly and I 've had the misfortune of seeing one at eye level two times this summer,0,0.3702224902808666,0.16282291828470502,0.25,"[0, 0, 1, 0]"
:two_hearts: tip for baking bread ! :bread: :croissant: :baguette_bread: you can use the yeast in your dog 's ears to substitute active dry yeast or instant yeast in a pinch ! :two_hearts:,1,0.2897988138720393,0.18989228404878797,0.25,"[0, 1, 0, 0]"
"@USER tbh I think the only time I hear trans people use it is trans mascs referring to themselves . I 'm sure it does happen but the OG tweet really feels like "" made up a guy to be mad about """,0,0.4164908588863909,0.2368079007699181,0.25,"[0, 0, 1, 0]"
I hate how anti vaxxers have ruined everything . Trying to find information on vaccine side effects and it 's plagued with morons,0,0.4470742791891098,0.26523814928397793,0.25,"[0, 0, 1, 0]"
i wish i could tap in to the government bank account :face_with_rolling_eyes: :face_with_rolling_eyes: :face_with_rolling_eyes:,1,0.42013928294181824,0.16075490867853515,0.25,"[0, 0, 0, 1]"
Day 1 . Ski school with instructor Patrick . Soon I 'll be ready for the black slopes .  ... HTTPURL,1,0.4309297725558281,0.20148792328090123,0.25,"[0, 1, 0, 0]"
How is my highest grade in A & P,0,0.4978690966963768,0.28597000563084507,0.25,"[0, 0, 0, 1]"
i hate waking up in the mornings :unamused_face: #basicbrianna  #an #early #bird,0,0.5514972284436226,0.257100108949172,0.25,"[0, 0, 0, 1]"
when someone 's phone goes off in a quiet room an angel gets its wings,0,0.499421663582325,0.27680284918518205,0.25,"[0, 0, 1, 0]"
@USER Saturday at 11:00 ? Damn ... there goes my secret news paraphernalia ...  telling,0,0.55803482234478,0.25334371806541917,0.25,"[0, 0, 0, 1]"
Just forced myself to go to class and spilt hot coffee in my lap while driving . How 's your day going ? :grinning_face_with_sweat:,0,0.393033429980278,0.17784295582804946,0.25,"[0, 1, 0, 0]"
why is getting an eye exam so HUMILIATING,0,0.46359413489699364,0.3114343983676879,0.25,"[0, 0, 0, 1]"
People who think cancel culture goes too far never learned about excommunication,1,0.5408890321850777,0.26089506802058937,0.25,"[0, 0, 0, 1]"
Who 's bored at home ?,0,0.46786946803331375,0.23680915777652622,0.25,"[0, 0, 0, 1]"
StephenFry : @USER Oooh - busted by superior understanding ... ! Crestfallen and shamed .  HTTPURL,1,0.3887992165982723,0.18810497853360444,0.25,"[0, 1, 0, 0]"
Most people have security cameras for protection . Ours acts as a DVR,1,0.45343462005257607,0.26058697781132234,0.25,"[0, 0, 0, 1]"
my eye doctor is so cute and charming ok,0,0.4856082461774349,0.2894310342663619,0.25,"[0, 0, 1, 0]"
 feeling well,0,0.5507764220237732,0.2442241858412681,0.25,"[0, 0, 0, 1]"
"to be completely honest , my ego is MASSIVE and i 'm not even sorry abt it :) )",0,0.5426252782344818,0.2625746134027691,0.25,"[0, 0, 0, 1]"
This should be fun next spring .  HTTPURL,1,0.3710479522123933,0.33900171400690465,0.25,"[0, 0, 0, 1]"
@USER I miss seeing your face and t-Rex hands everyday on Vlogmas :loudly_crying_face: :face_blowing_a_kiss: -Rexemoji :see-no-evil_monkey:,1,0.4788031466305256,0.29786412060146555,0.25,"[0, 0, 0, 1]"
@USER no doubt . And we wonder why Xmas makes ppl crazy ? !,0,0.5644028335809708,0.20910945234404152,0.25,"[0, 1, 0, 0]"
When your @USER delivery gets stolen by a UK Mail delivery driver and the police know who it is but I still do n't get taken seriously :upside-down_face: :upside-down_face: :upside-down_face:,1,0.4639688730239868,0.22898283796851102,0.25,"[0, 0, 1, 0]"
Ca n't wait for my boyfriend to come home and kick my butt into shape ...  :see-no-evil_monkey: :face_with_tears_of_joy: @USER,1,0.4888126365840435,0.30774865563491743,0.25,"[0, 0, 0, 1]"
"Idk but pick 1 - Fireworks being lit inside school , some guy fingered his girl in the common room , guy threw a chair at the headteacher , another guy flung a laptop outside a window from the top floor , teacher touched up a student , my boy stabbed another guy with crafting knife :loudly_crying_face: HTTPURL",0,0.38038739562034607,0.2511516295153957,0.25,"[0, 1, 0, 0]"
Sleep ? What 's that ... I 've never heard of it ?,1,0.46736161317676306,0.34340222638485585,0.25,"[0, 0, 0, 1]"
@USER Yeah I 'll probs try it out too .,0,0.49587302654981613,0.305715450618127,0.25,"[0, 0, 0, 1]"
i 've never had protected sex,1,0.3870842419564724,0.3591166491600279,0.25,"[0, 0, 0, 1]"
"I think men are better than women , they provide for us . We should thank them more often for being protectors .",1,0.529283557087183,0.2876510744835281,0.25,"[0, 0, 1, 0]"
"Balak to Balaam : "" Come now , curse this people for me .. for I know that he whom you bless is blessed , and he whom you curse is cursed . "" ",1,0.5008897706866264,0.3002738592309664,0.25,"[0, 0, 1, 0]"
Keep running from your problems . That always works . ,1,0.5225603953003883,0.26687120114237367,0.25,"[0, 0, 0, 1]"
i hate it  HTTPURL,1,0.28859690483659506,0.20401864862021402,0.25,"[0, 1, 0, 0]"
"@USER @USER Ahh yes , quick peek at your page and you obviously know everything . Thank you for the enlightenment . :face_with_tears_of_joy:",1,0.374079080298543,0.32850486946842844,0.25,"[0, 0, 0, 1]"
7:52 am ( too damn early ) in South Carolina .. What a shitty state to  be proud of,0,0.4109152462333441,0.3431000237596925,0.25,"[0, 0, 0, 1]"
Today Rob told me that they have a room in the NICU with so many babies with MRSA that they started calling it the MRSAry .,0,0.434710543602705,0.31629814324679945,0.25,"[0, 1, 0, 0]"
Buffalo sports media is smarter than all of us . Where else can you get the quality insight offered by Harrington and Busgaglia . ,1,0.5242947861552238,0.2579528106091062,0.25,"[0, 0, 0, 1]"
@USER I know ... ,1,0.44744352996349335,0.22917608573249518,0.25,"[0, 0, 0, 1]"
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Yeah just a coincidence that infection rates go up and down dependent on when students are in the area or not , also tallies in with the parties being attended by up to 3 times the amount of allowed attendees . Definitely not students :thinking_face: 🤦🏽‍♀ :face_with_rolling_eyes:",1,0.4875098988413811,0.21694018594155737,0.25,"[0, 0, 0, 1]"
"People complain about my backround pic and all I feel is like "" hey do n't blame me , Albert E might have spoken those words ""  #life",1,0.4620629884302616,0.29060831787512725,0.25,"[0, 0, 1, 0]"
@USER Very nice . We 're now briefly up to date . Hopefully does n't take you so long to do the English release of the new pixie after we get 9.10 .,1,0.4404112808406353,0.32058969833127177,0.25,"[0, 0, 0, 1]"
"@USER @USER WHAT $ 2 for an app , OUTRAGIOUS ;) ",1,0.5539856851100922,0.25820204472206165,0.25,"[0, 0, 0, 1]"
ik the republicans r like tryna say they won but idk why they do n't just settle this w an instagram poll ? ?,1,0.5470560267567635,0.26742325296426817,0.25,"[0, 0, 0, 1]"
Sad because I 've missed so much of Oxford the past year but happy cuz I just saw a squirrel carrying it 's baby whilst writing my essay by the river I love it HTTPURL,0,0.45562849938869476,0.30699944461826084,0.25,"[0, 0, 0, 1]"
And the round ligament pain returns . Yay  #PregnancyProblems,1,0.5187151432037354,0.273586315196805,0.25,"[0, 0, 0, 1]"
""" your pronouns are what 's in your pants "" ok . juicy / dumper",1,0.45702432468533516,0.3282457996095617,0.25,"[0, 0, 0, 1]"
"@USER you guys sure screwed this up royally . I 'm happy for Lester , the brain trust over there sucks . #nicejob  #LesterToChicago",1,0.46143563091754913,0.2267444891807798,0.25,"[0, 0, 0, 1]"
i miss classes being online 😵‍💫,0,0.49211104214191437,0.18631869647919844,0.25,"[0, 0, 1, 0]"
"It was almost 70 degrees today but no , global warming does n't exist :unamused_face:",1,0.5512012615799904,0.24285726630188217,0.25,"[0, 0, 1, 0]"
"this narrative of "" protection "" that women require is infantilising and off-base . it implies requiring smothering as opposed to freedom to occupy spaces , yknow , as people .",0,0.48966436460614204,0.3025996120477268,0.25,"[0, 0, 0, 1]"
If anyone wants to know how my nights going I tried making a private story on Snapchat and instead made a group chat ... I hate my life,1,0.5276585891842842,0.21778442351828603,0.25,"[0, 0, 1, 0]"
"@USER @USER The more liberal the city , the more class and intelligence it exudes . ",1,0.49802859500050545,0.19338466151300304,0.25,"[0, 0, 0, 1]"
Halfway through snowboarding day 1 and pretty sure I have fallen at least 69 times :grinning_squinting_face: :Cancer:,1,0.46422116085886955,0.300988304896355,0.25,"[0, 0, 0, 1]"
"“ tit for tat , butter for fat , you kill my dog , i eat your cat ” is a liberian proverb for “ an eye for an eye ” . my ancestors were spittin '",1,0.45078907907009125,0.28305172713796606,0.25,"[0, 1, 0, 0]"
@USER u did such a good job the last time ! ! I can always reteach u :relieved_face:,0,0.5084624886512756,0.2901919052501709,0.25,"[0, 0, 0, 1]"
"I should n't lose a full day of work because of system updates , but it happened yesterday . #fuckingwindows",0,0.4185571577399969,0.34114190581206955,0.25,"[0, 0, 0, 1]"
@USER @USER yeah I 'm avoiding you by waking up at 6 AM my time so by 10 PM I 'm exhausted .  #sucksimissedyou <3,1,0.4291236624121666,0.2853776876526433,0.25,"[0, 1, 0, 0]"
"Whoever 's toddler ass sprayed the entire toilet backstage , I hope you stub your toe and bite your tongue really hard . also you were clearly dehydrated , go drink some damn water like an adult",0,0.4248457867652178,0.3005105882147544,0.25,"[0, 0, 0, 1]"
She did two marijuanas and look what happened . Do n't #LegalizeIt . #Merica (  ) HTTPURL,1,0.4431852698326111,0.2971677727558786,0.25,"[0, 0, 1, 0]"
"@USER @USER I wish son . like I said , twitter , wit on twitter and the magic of photos that are  3D = smoke and mirrors effect .",0,0.4311084635555744,0.24252518681733876,0.25,"[0, 0, 0, 1]"
"@USER imagine your delivery being 2 hours late , and imagine calling up your service team only for them to hang up at 10pm , coincidentally the same time the office closes . But it 's okay , my £ 3 delivery fee is being refunded though 👊🏻",0,0.503338098526001,0.29356580914497515,0.25,"[0, 0, 0, 1]"
"Sure , let 's go back to work on my day off after after just leaving four hours ago . Why not ? #fb ",1,0.5915050432085991,0.21497461769923704,0.25,"[0, 0, 0, 1]"
Gotta go back to work tonight,0,0.4056696444749832,0.35388593960096965,0.25,"[0, 0, 0, 1]"
Hahaha these lads have never heard gucci mane or migos in their lives :rolling_on_the_floor_laughing: #UniversityChallenge,0,0.5048654079437256,0.282634716735955,0.25,"[0, 0, 1, 0]"
My year is ending perfectly :face_with_tears_of_joy: ,1,0.43447818607091904,0.32131676341762333,0.25,"[0, 0, 0, 1]"
@USER Grabe ! Affordable na Affordable ,1,0.4617384746670723,0.2928173296263113,0.25,"[0, 0, 1, 0]"
Jaegermeister did 9/11,1,0.45614225417375565,0.32206434645326193,0.25,"[0, 0, 1, 0]"
"@USER Unemployed and lazy that Messi guy :face_with_tears_of_joy: ( I 'm being sarcastic guys , I 'm warning you lol )",1,0.48171570897102356,0.2536062468444088,0.25,"[0, 0, 1, 0]"
"Gotta love when you shake someone 's hand and they shiver ... It 's official , I have death hands and it is now winter ! #coldhandswarmheart ",1,0.39181326143443584,0.28637307101250115,0.25,"[1, 0, 0, 0]"
@USER cropped her own child out of her picture . #motheroftheyear  HTTPURL,1,0.4263642132282257,0.32026583678651493,0.25,"[0, 0, 1, 0]"
Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep,1,0.40147126466035843,0.17305961031357261,0.25,"[1, 0, 0, 0]"
