tweet,label,mean_confidence,variability,mean_correctness
Mens Football clearly know how to have a good time ...  #archiesday #anychanceofasocial,1,0.22249739058315754,0.15081720231639228,0.0
Lots if love for #Miranda ,1,0.40088730677962303,0.10459680332796333,0.25
Rain and sleet hun ? Yeah I totally want to get dress and go to work . Sounds like fun  #iwannagobacktobed,1,0.5250433459877968,0.2644102260516396,0.25
@USER thats not weird at all ,1,0.5050112530589104,0.262215789206574,0.25
@USER @USER @USER @USER actually I believe Henry is undefeated on Turf in @USER @USER ,1,0.572516106069088,0.21982214586199006,0.25
That moment when you have so much stuff to do but you open @USER ... #productivity  #tumblr,1,0.5489761382341385,0.257834007752831,0.25
"Buzzing about going home tonight , back for a month",0,0.4323996910825372,0.34949254537496655,0.25
Too bad her cube does n't have a door . - @USER | | #bestcoworkersever  @USER,1,0.4016436915844679,0.3234968552633679,0.25
Perty sunrise #fs100 timelapse of the mountain HTTPURL,0,0.4856716878712177,0.297717151199434,0.25
"showed mom this picture of me and @USER & says "" this is grunge "" and she goes "" haha ! ! I love it ! "" #momgoals HTTPURL",0,0.513892151415348,0.27130764182377304,0.25
Nothing says nature like the relentless sound of AM commuter traffic #fthunter #AMdogfun  @USER,1,0.5200401619076729,0.2544948988257989,0.25
"#13CABS apparently this guy only does city-airport . If not , swears & drives off . Even from a taxi rank #goodguy  HTTPURL",1,0.4602787010371685,0.2978178251255223,0.25
@USER One of those obvious when you see it but oh so clever ideas ! ! Glad you approved !,0,0.5372943878173828,0.2564350268742916,0.25
"@USER How do you propose to determine "" sides "" ? I have both black and white family members . #racewar  #LoveNotWar",1,0.4714384377002716,0.30120415096042386,0.25
@USER : Let 's go workout ! That jiggle is not going to jiggle itself away #ThingsYouSayToYourBestFriend this is so us  @USER,1,0.3717900924384594,0.19749243798088212,0.25
25 Historical Images That Normalize #Breastfeeding HTTPURL via @USER . We 're so more tolerant now ... ,1,0.5048560425639153,0.28350941945905755,0.25
"@USER fucking copycat , although you 're name is mint and the act we share it is probably a cause for alcohol filled celebration ! ! !",0,0.46908095479011536,0.2980673330359429,0.25
@USER I do n't think your caramel frappe is salty enough .  #McYuck #lostsale,1,0.45661599934101105,0.2698783843066767,0.25
@USER you are by far the funniest prick in the world at the moment . Can you please come to Geelong ? We have a normal mayor ... ,1,0.4515269547700882,0.3220109911956441,0.25
@USER @USER least I could do for barging into your convo !,0,0.47227456606924534,0.32856552818983814,0.25
