tweet,label,mean_confidence,variability,mean_correctness
Forbidden forest was so peng,0,0.3286761762574315,0.1718862161725488,0.0
Death by Zara fitting room,1,0.3957729898393154,0.11972276848980459,0.0
every time i see someone named david im like ... wow ... that really IS a guy named david,0,0.35094429180026054,0.08776243110460948,0.0
I wanted to be so much harsher about Zoom meetings . HTTPURL,0,0.33455222472548485,0.09546531548496667,0.0
Throwback to when I answered the phone at work with “ thank you for calling Courtney ! My name is principal ” wow I love myself,1,0.31744772754609585,0.16066249363761032,0.0
"Some pretty great things are happening at the call center . Listen in to 104.5 for the Care-A-Thon ! Each dollar is being matched , my friends !",0,0.4223942346870899,0.2806795399694872,0.25
Loving season 4 of trump does America . Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,1,0.5693657398223877,0.21649937538688652,0.25
"There 's a gigantic , newly opened , posh box of chocolates in the kitchen at work marked ' for everyone ' and now I 'm wondering which one of my colleagues got dumped on Valentine 's Day",0,0.4958481788635254,0.06997777872562146,0.25
Who 's bored at home ?,0,0.5049874931573868,0.2603419676407982,0.25
feeling v grateful ! ! !,0,0.5444822162389755,0.18546470176276683,0.25
could have gone to bed early but instead have been messing around on a random color palette generator for an hour,0,0.5657110512256622,0.23564296497544185,0.25
Sitting in a waiting room listening to two middle age women talk about how 50 shades changed their life,0,0.5794045627117157,0.17794936730961936,0.25
Cheers @USER delivery lady for dropping my parcel off covered in coffee :unamused_face: 👌🏼 HTTPURL,1,0.5855713188648224,0.20722260309190796,0.25
Not at all concerning that a man 's just been round to fiddle with the boiler and now he 's left the carbon monoxide alarm wo n't stop beeping,1,0.5771302133798599,0.21280721212486467,0.25
"New year , new me , noodles",0,0.4727751314640045,0.12783843158075614,0.25
"to be completely honest , my ego is MASSIVE and i 'm not even sorry abt it :) )",0,0.43134629540145397,0.2681875870597683,0.25
"So our landlord just brought in new sofas which is lovely but in the process broke a table , someone 's cup and spilt tea on the carpet and left saying “ you should probably clean that up ” thanks Darren 🖕🏼",1,0.5589815974235535,0.1988739781212065,0.25
It was the jerseys,1,0.43427570909261703,0.1433853410482724,0.25
I love it when professors draw a big question mark next to my answer on an exam because I 'm always like yeah I do n't either ¯ \ _ ( ツ ) _ / ¯,1,0.48186103627085686,0.29574431300060533,0.25
"Queer marriage is not allowed because it does n't follow the "" age-old customs , rituals , practices , culturla ethos and societal values "" , but all cis-men can commit infidelity with no consequences . Happy fuckin Pride people :upside-down_face: #SupremeCourtofIndia",1,0.4859245400875807,0.28190880891088355,0.25
Politicians are so honest it melts my heart,1,0.5875258222222328,0.21696366859515925,0.25
I 'm settled for a night in front of the TV watching #SoccerAid,0,0.452920064330101,0.07342233972220656,0.25
wait what the fuck that solo yolo is mad ?,1,0.48959044739603996,0.25238577520293215,0.25
"Yeah , feeding children sweets before bedtime is an awesome way of getting lots of sleep",1,0.5315971150994301,0.25962952057808464,0.25
my bf took my off his lock screen which obvi means he 's cheating on me,1,0.4239779282361269,0.19094822039230636,0.25
"these two girls are on the beach in lawn chairs , i love shoobies",1,0.4256534315645695,0.1594731796390596,0.25
I 'm hoping my social work class party is going to involve tequila and chip and salsa :woman_dancing: :tropical_drink: :party_popper: :man:,1,0.5638225227594376,0.19770993715215454,0.25
The phrase “ the white people of black people ” was coined to explain cishet black men 's privilege over other identities within the black community . Not to just throw around when y'all are annoyed / hateful :face_with_rolling_eyes:,0,0.4389747604727745,0.26105839801135405,0.25
@USER Are n't you happy I gave you less competition for ranking,1,0.5184770599007607,0.22451161681038762,0.25
trying to figure out how to use notion for my anime list . I think i 'm dying,1,0.44720662385225296,0.1970216752851894,0.25
"Wine , pizza & UFC ... is there any better way to spend a Saturday night ? #UFC #fightnight",0,0.3624720498919487,0.1418206065122085,0.25
"@USER are basically thieves , quoting it 's in the small print so you can't have a refund . Dates moved from summer , to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife . #WeWantARefund @USER",1,0.4725252613425255,0.17132449673332223,0.25
Update : holding hands with your mom and walking around campus also shows you 're prepared for the independence college offers,1,0.5027995854616165,0.20095203959383012,0.25
It 's so easy to have the best day until someone lies to your face :smiling_face_with_3_hearts: :red_heart: :loudly_crying_face:,1,0.5308751687407494,0.26218974619892305,0.25
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,1,0.4820677191019058,0.2757077788739442,0.25
"Also my Twitter seems v quiet , what is going on ?",0,0.4889398142695427,0.19046127045436562,0.25
The sign of spinelessness : complaining to someone having a call on a bus as they 're getting off . Was the person on the phone a woman alone ? Of course she was . Was the person complaining an older man ? Of course he was . Did I yell at him ? Of course I did . Speak out for justice . :raised_fist:,0,0.5064910240471363,0.2840133662423949,0.25
i think everyone should get an air fryer :red_heart: good vibes only,0,0.44073767215013504,0.10602323763192999,0.25
I forgot my keys omds I had to message my brother on roblox to open the door,0,0.5865044221282005,0.17985252146813613,0.25
really not taking this ' university in lockdown ' thing seriously,0,0.5361027643084526,0.22069760354889376,0.25
"If I was a wealthy Boomer and I saw a bunch of angry Millennials coming for my money , I 'd be nervous . We already killed Applebee 's , we will kill again #EatTheRich",0,0.39707833528518677,0.2286629237508579,0.25
"Selling 2 X Zutekh Presents Mella Dee at Square One Manchester Tickets 22nd August - £ 18 Each , cheaper than face value Message me or @USER to buy",0,0.4431780055165291,0.2543308602762766,0.25
Words can not express how much I HATE glitter,0,0.4473843649029732,0.2736601241842663,0.25
dev patel is so hot girl i was having a crisis watching the green night,0,0.5379352793097496,0.23204936757204042,0.25
@USER @USER Damn ! At my wedding we drank enough to make up for the no shows ! :thinking_face:,0,0.49098897352814674,0.28504798929537095,0.25
"The nice thing about being back in school is the sense of stability , the bad part is that it 's being stable in misery .",0,0.46228405088186264,0.2848762874739956,0.25
"just asked a patient if she 'd like to schedule for the same time next week and she said "" no , but it was nice meeting you . "" well ... fair enough :grinning_face_with_sweat:",0,0.576568253338337,0.22487925222716268,0.25
