tweet,label_polarity,mean_confidence_polarity,variability_polarity,mean_correctness_polarity,correctnesses_polarity,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
I 'm so different when I 'm back home ... I blame the work crew #rowdy #banter  #toomuchlove #360family,1,0.1447484346572309,0.1218478050063756,0.0,"[0, 0, 0, 0]",1,0.7359821051359177,0.2876812410464986,0.75,"[0, 1, 1, 1]"
Just hangin ' with ma dawg #eyesup HTTPURL,0,0.6112458035349846,0.2102673014838644,0.25,"[0, 0, 0, 1]",0,0.8563548922538757,0.1494448909670105,1.0,"[1, 1, 1, 1]"
Late night snuggles with my boy :purple_heart: :two_hearts:,0,0.4400561433285475,0.3358146297766234,0.25,"[0, 0, 0, 1]",0,0.8702138066291809,0.1401694674244015,1.0,"[1, 1, 1, 1]"
Good morning hank its saturday im starving,0,0.4737410675734281,0.2956584809588725,0.25,"[0, 0, 0, 1]",0,0.6501788944005966,0.1688540206047371,0.75,"[1, 0, 1, 1]"
 It 's a comforting thought : every tax payer will b reminded of #OCARE being rammed in2 law when answering questions on 2014 tax forms,1,0.4924261048436165,0.2739828069245253,0.25,"[0, 0, 1, 0]",1,0.9302847385406494,0.059693693484964,1.0,"[1, 1, 1, 1]"
Love scooping feed bunks before we can feed calves ,1,0.3970946040935814,0.3731668532018756,0.25,"[0, 0, 0, 1]",1,0.8055934756994247,0.1119857641361638,1.0,"[1, 1, 1, 1]"
"This sounds like loads of fun ...  Snow , freezing drizzle , rain , 110km / h winds ... HTTPURL",1,0.3996660830453038,0.3625644451286585,0.25,"[0, 0, 1, 0]",1,0.7703193165361881,0.3384986145795349,0.75,"[1, 0, 1, 1]"
"@USER it 'll be ok , just get your TA to fix it ! ! ",1,0.3493122011423111,0.1807218441875829,0.25,"[1, 0, 0, 0]",1,0.6061115246266127,0.383542422749185,0.5,"[0, 0, 1, 1]"
Home finally ! What a way to start the christmas break ! ! ! :thumbs_up: :OK_hand:,0,0.5016647651791573,0.2621851255629965,0.25,"[0, 0, 0, 1]",0,0.7552969828248024,0.3194086534648298,0.75,"[0, 1, 1, 1]"
"Accidentally breaking your own computer when your tech support ! Haha , talk about employee of the month  #techSupport :laptop_computer: :floppy_disk: :pistol:",1,0.4464243873953819,0.3201140389001339,0.25,"[0, 1, 0, 0]",1,0.8709857612848282,0.1509039268844175,1.0,"[1, 1, 1, 1]"
"The late Howie Carr wd be amused to see Granny Warren putting the wood to a "" bow-tied bum kisser "" ",1,0.4655399746261537,0.32553549367509,0.25,"[0, 0, 1, 0]",1,0.8119077384471893,0.1951058410960683,1.0,"[1, 1, 1, 1]"
Such a long day :/ #wrecked,0,0.3960089236497879,0.3447249896122793,0.25,"[0, 0, 0, 1]",0,0.7670422196388245,0.2552493178839772,0.75,"[0, 1, 1, 1]"
@USER your #ambition is #amazing .  #saintsfc enjoy exit from #ChampionsLeague,1,0.3379126209765672,0.3470849964446723,0.25,"[0, 0, 1, 0]",1,0.8452001437544823,0.2076988438996049,0.75,"[0, 1, 1, 1]"
First day skiing #killedit  #iwasshit #tignes #seasonlife HTTPURL,1,0.3393894620239734,0.3487443385215964,0.25,"[0, 0, 0, 1]",1,0.6839579343795776,0.2786871867608653,0.5,"[0, 0, 1, 1]"
"@USER @USER oh aye , I 'll give you that ; )",0,0.4424989856779575,0.3242190850542336,0.25,"[0, 0, 0, 1]",0,0.7611031606793404,0.2087051796935009,0.75,"[0, 1, 1, 1]"
"@USER Gonna miss @USER , @USER , @USER and others , but at least we got Howie Kendrick ...  Stoked #WTF",1,0.4554539695382118,0.3216337142166351,0.25,"[0, 0, 0, 1]",1,0.7642059847712517,0.3339302964487151,0.75,"[0, 1, 1, 1]"
Morgan just asked me if I wanted to play a game with him on his Xbox . Usually I can't even look at it .,0,0.3214919213205576,0.3204759417813805,0.25,"[1, 0, 0, 0]",0,0.9131424725055696,0.0757181507664223,1.0,"[1, 1, 1, 1]"
