tweet,label_sarcasm,mean_confidence_sarcasm,variability_sarcasm,mean_correctness_sarcasm,correctnesses_sarcasm,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
Lil Pump is the Nelson Mandela of our generation,1,0.2543414887040853,0.1409294423820167,0.0,"[0, 0, 0, 0]",1,0.6156615316867828,0.2547044143237363,0.5,"[0, 1, 1, 0]"
"@USER I 've got 4 weekend tickets available , DM me",0,0.5153797566890717,0.2450974174558516,0.25,"[0, 0, 0, 1]",0,0.8210508227348328,0.0838698559790264,1.0,"[1, 1, 1, 1]"
I have never missed something as much as I miss the soy milk machine at the dining hall,0,0.4834225624799728,0.2970218080822622,0.25,"[0, 0, 0, 1]",0,0.8630710542201996,0.0926560632591347,1.0,"[1, 1, 1, 1]"
""" He 's not welcome in a tolerant place like London "" @USER on the Presidential visit on @USER The irony in that comment ... #r4bh",1,0.558035247027874,0.2481251826519574,0.25,"[0, 0, 0, 1]",1,0.8026109486818314,0.1933176324385185,1.0,"[1, 1, 1, 1]"
Best bullpen in baseball selling rn to Stanton and Judge . Not a place you want to do it .,0,0.3297931179404259,0.1822587183317693,0.25,"[0, 1, 0, 0]",0,0.8729199320077896,0.1129370884054633,1.0,"[1, 1, 1, 1]"
@USER All I want for Christmas is Fate Collab Rerun in 2021 . Alongside Blu ray release ?,0,0.3693410940468311,0.1240676786279815,0.25,"[0, 0, 1, 0]",0,0.5823132451623678,0.3223793121590521,0.75,"[1, 0, 1, 1]"
"Knocked on a door to deliver a parcel , waited 30secs then I see the parcel had a safeplace so went to the neighbour . Then this moody 20yr old answered the door in a Spurs shirt talking shit , so I laugh and say was u crying about Harry Kane , is that why u took so long to answer :rolling_on_the_floor_laughing:",0,0.3956848597154021,0.312374262926666,0.25,"[0, 0, 1, 0]",0,0.8019638806581497,0.094031209235198,1.0,"[1, 1, 1, 1]"
"Okay , well nice of 2020 to bless us with the gift of great sports team names - The Kraken and the Washington Football Team :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:",0,0.4563916139304638,0.2460412886761017,0.25,"[0, 0, 1, 0]",0,0.6728711873292923,0.2937974251576073,0.75,"[0, 1, 1, 1]"
i hope u sleep maybe forever maybe not lol,1,0.4986188076436519,0.2884908507314517,0.25,"[0, 0, 0, 1]",1,0.848029151558876,0.1832078626778206,1.0,"[1, 1, 1, 1]"
"Just signed up for Apple 's Ping , told it I like ' classical ' and it points me towards Lady Gaga . It takes a certain genius to be this crap .",1,0.5419674292206764,0.1357480007403279,0.25,"[0, 0, 0, 1]",1,0.4662442468106746,0.3297436828317976,0.5,"[1, 0, 1, 0]"
I never feel more empowered than when I 'm listening to ‘ this is me ' from camp rock,1,0.530466191470623,0.2163200997415786,0.25,"[0, 0, 0, 1]",1,0.677126519382,0.177676593745491,0.75,"[0, 1, 1, 1]"
:yin_yang: & :white_heart: HTTPURL,0,0.4868673086166382,0.2150541936389075,0.25,"[0, 0, 0, 1]",0,0.90287846326828,0.0654935122619413,1.0,"[1, 1, 1, 1]"
IF ONLY PEOPLE WOULD RAKE THE FORESTS . #Debate2020,1,0.559330977499485,0.2400784561782649,0.25,"[0, 0, 0, 1]",1,0.7312929108738899,0.2352054456469401,0.75,"[0, 1, 1, 1]"
Can cats wear nail polish,1,0.4745548479259014,0.2130121552179917,0.25,"[0, 0, 1, 0]",1,0.7476973012089729,0.2645867228524383,0.75,"[0, 1, 1, 1]"
Wow great album from Kanye . v John Cage 4 ' 43 vibes x,1,0.5286006182432175,0.1828964960124929,0.25,"[0, 0, 1, 0]",1,0.6961954012513161,0.2695042710424976,0.75,"[1, 0, 1, 1]"
tanning in this heat is an extreme sport,1,0.5398613214492798,0.2483829271840024,0.25,"[0, 0, 1, 0]",1,0.7135524228215218,0.2740385169578125,0.5,"[0, 0, 1, 1]"
"@USER agreed , this is ridiculous , gotta cop a pair",1,0.5499546527862549,0.2067211397287888,0.25,"[0, 0, 0, 1]",1,0.6866219192743301,0.2699936912638434,0.75,"[1, 0, 1, 1]"
The control button just fell off my laptop . How symbolic for my life .,1,0.4775359630584717,0.2323666511773431,0.25,"[0, 1, 0, 0]",1,0.8713844269514084,0.078648904478053,1.0,"[1, 1, 1, 1]"
That second vaccine dose is no joke is it :dizzy_face: been absolutely floored since Saturday,0,0.4187277723103761,0.3210475875864455,0.25,"[0, 0, 0, 1]",0,0.6978647410869598,0.2051382529739008,0.75,"[0, 1, 1, 1]"
Cannot cope with uni reading it 's doing my head in !,0,0.4656774289906025,0.2958089178842305,0.25,"[0, 0, 0, 1]",0,0.8715705126523972,0.1520920517076858,1.0,"[1, 1, 1, 1]"
i miss classes being online 😵‍💫,0,0.4805004205554724,0.2972745844851138,0.25,"[0, 0, 1, 0]",0,0.7985728085041046,0.2202500527816105,0.75,"[0, 1, 1, 1]"
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome :smiling_face:,1,0.5027549602091312,0.2678823232245971,0.25,"[0, 0, 1, 0]",1,0.7962622568011284,0.1874790942296282,0.75,"[0, 1, 1, 1]"
@USER ye,0,0.4437568914145231,0.2877722330284154,0.25,"[0, 1, 0, 0]",0,0.8033568263053894,0.2213112105982681,0.75,"[0, 1, 1, 1]"
@USER ye,0,0.4437568914145231,0.2877722330284154,0.25,"[0, 1, 0, 0]",0,0.8401338085532188,0.2110058382702537,0.75,"[0, 1, 1, 1]"
"Had an end-of-the-year gathering with my ms coworkers tonight and it was just so nice to be together . Get vaccinated , guys .",0,0.486887838691473,0.2981529209473212,0.25,"[0, 0, 1, 0]",0,0.9128040820360184,0.059006100596703,1.0,"[1, 1, 1, 1]"
everytime i swipe through bumble when i 'm bored i just get sad that no one has the same complex interests as me ... rude :face_with_steam_from_nose: :face_with_rolling_eyes: / j,1,0.4856512360274791,0.3074082766415445,0.25,"[0, 0, 0, 1]",1,0.730983316898346,0.1886897734124196,1.0,"[1, 1, 1, 1]"
always gonna wonder if id dress masc if i was skinny o_o and if id be more open to telling people im nonbinary if i was skinny - _ -,0,0.482581552118063,0.313919406213086,0.25,"[0, 0, 0, 1]",0,0.6372802890837193,0.3504251378909432,0.75,"[1, 0, 1, 1]"
Why has Murray not already thrown this set ? No way he comes back from 5-0 and just tires himself out for no apparent reason .,0,0.4948873370885849,0.2811821237023594,0.25,"[0, 0, 0, 1]",0,0.7036844491958618,0.3047460489294777,0.75,"[1, 0, 1, 1]"
ate a bagel with cream cheese earlier and the impending doom immediately vanished from my mind,1,0.3837238382548094,0.2001987485524954,0.25,"[0, 1, 0, 0]",1,0.8475527092814445,0.2038962872561624,0.75,"[0, 1, 1, 1]"
@USER @USER Would n't change you mads :heart_with_arrow:,0,0.4323247615247965,0.3397073379886429,0.25,"[0, 0, 1, 0]",0,0.7627871632575989,0.1803734420857377,1.0,"[1, 1, 1, 1]"
There is a boiling hot place in hell for the bloke who brought and used his nail clippers in a library .,0,0.4573940280824899,0.2791584168297702,0.25,"[0, 1, 0, 0]",0,0.8251005858182907,0.137966759850953,1.0,"[1, 1, 1, 1]"
people who hate the snow give off the same energy as people who hate cats,0,0.4768580198287964,0.2626975834675052,0.25,"[0, 1, 0, 0]",0,0.8845004886388779,0.1323420441081266,1.0,"[1, 1, 1, 1]"
I do n't know . Why would n't I actually love people dying everywhere with none of the people that can help doing anything about it ? ? ?,1,0.2733884053304791,0.1856228096982116,0.25,"[1, 0, 0, 0]",1,0.7301514968276024,0.2606663190413557,0.75,"[0, 1, 1, 1]"
@USER Nurse ! John 's been sniffing ivermectin again .,0,0.4832283556461334,0.2689003937398614,0.25,"[0, 0, 1, 0]",0,0.7481207400560379,0.3217214701923623,0.75,"[0, 1, 1, 1]"
"Because Karen from YouTube knows more about science than , you know , actual scientists",1,0.3679542876780033,0.2784286127188177,0.25,"[1, 0, 0, 0]",1,0.8451340794563293,0.1647085620159677,1.0,"[1, 1, 1, 1]"
Oh my goodness . It 's the first week of the summer holidays and Harrison has found his recorder . Give . Me . Strength .,1,0.4642945965752005,0.3214035655295032,0.25,"[0, 1, 0, 0]",1,0.744218472391367,0.3027847553826149,0.75,"[0, 1, 1, 1]"
Does anyone else sit in their car for at least ten minutes to mentally prepare to enter the grocery store ?,0,0.5591358430683613,0.3273382698801594,0.5,"[0, 1, 1, 0]",0,0.6044269800186157,0.3807690444322322,0.5,"[0, 0, 1, 1]"
I want a bloomin ' onion,0,0.6178989261388779,0.2079964414484907,0.5,"[0, 0, 1, 1]",0,0.7964212596416473,0.1876472909065406,1.0,"[1, 1, 1, 1]"
@USER @USER Have you tried Steve Wilson at UCL ?,0,0.6085198596119881,0.2516306241311316,0.5,"[0, 0, 1, 1]",0,0.858275294303894,0.1182521955137365,1.0,"[1, 1, 1, 1]"
First proper Coffee in 4 months .,0,0.6560688987374306,0.2747733684860484,0.5,"[0, 0, 1, 1]",0,0.6967385187745094,0.1985402721484634,0.75,"[0, 1, 1, 1]"
"I 'm sorry , but if you message me on Instagram wanting me to help you sell your fit tea and wraps , I 'm leaving you on read . :upside-down_face:",1,0.6503267847001553,0.302365487727705,0.5,"[0, 0, 1, 1]",1,0.7179832309484482,0.2806812037698897,0.75,"[0, 1, 1, 1]"
