tweet,label,mean_confidence,variability,mean_correctness,correctnesses
my contact just ripped in my eye ok,0,0.434740649536252,0.33957007730956623,0.25,"[0, 0, 1, 0]"
It 's all about Twitter  a clue,0,0.4769490861799568,0.33144480834249485,0.25,"[0, 1, 0, 0]"
@USER @USER @USER @USER @USER Finally someone is speaking up for the billionaires .,1,0.4351122500374913,0.34345190218041627,0.25,"[0, 0, 0, 1]"
Making the most out of my last vacation day .  #tvandsleep,1,0.49511295557022095,0.3173042941592693,0.25,"[0, 0, 0, 1]"
@USER Saturday at 11:00 ? Damn ... there goes my secret news paraphernalia ...  telling,0,0.44195583276450634,0.33254431495550413,0.25,"[0, 0, 0, 1]"
#Work #Trains #TheGrind #London #Business #MyHappyFace  HTTPURL,1,0.44679491221904755,0.3232897020628941,0.25,"[0, 0, 0, 1]"
Nicholas Sparks has been manipulating women to believe that guys ( in reality ) are as sensitive as the male characters in his books . ,1,0.4121825285255909,0.18022229491167382,0.25,"[0, 0, 1, 0]"
"So our landlord just brought in new sofas which is lovely but in the process broke a table , someone 's cup and spilt tea on the carpet and left saying “ you should probably clean that up ” thanks Darren 🖕🏼",1,0.3680976200848818,0.35610099612603474,0.25,"[1, 0, 0, 0]"
"bye Obama , luv u",0,0.544574573636055,0.25364057237772164,0.25,"[0, 0, 0, 1]"
somebody tell these birds to be quiet because they not listening to me,1,0.4089191071689129,0.3351011388047755,0.25,"[0, 0, 0, 1]"
safe to say my life is a lot better HTTPURL HTTPURL,1,0.46310991421341896,0.18436190402566244,0.25,"[0, 0, 0, 1]"
Ready to conquer the day :winking_face_with_tongue:  @USER #leavemealonemom #my2fave :red_heart: #bahhumbug HTTPURL,1,0.43121817149221897,0.33204229132305924,0.25,"[0, 0, 1, 0]"
gaslight gatekeep girl boss,1,0.4481867365539074,0.29946999657838674,0.25,"[0, 0, 0, 1]"
As if I did n't know this anyway ! I 'm an Owl according to the #BBCBodyClock quiz – what are you ? HTTPURL,1,0.4185686130076647,0.20857031610783675,0.25,"[0, 0, 1, 0]"
True bliss is laying in an ice cold bath during the hottest part of the year,0,0.5170010067522526,0.27736609275597385,0.25,"[0, 1, 0, 0]"
Fun night with these girls . It may look like we are eating dessert but its just for show  ... HTTPURL,1,0.44669466838240623,0.31416588999725115,0.25,"[0, 0, 1, 0]"
Lol my mom can't text and talk at the same time :grinning_squinting_face:,0,0.47335923463106155,0.29640794096950485,0.25,"[0, 0, 0, 1]"
#MuslimApologies – 10 Tweets that Explain What Muslims Should be Sorry for ! HTTPURL ,1,0.40072406828403473,0.1754352722064393,0.25,"[0, 0, 1, 0]"
Lots if love for #Miranda ,1,0.36673505371436477,0.2779285861347812,0.25,"[0, 1, 0, 0]"
"Explosions ! Nicely done . Apparently , the Joker & I have a lot in common . That 's ... disconcerting . HTTPURL #Batman #StarTrek",0,0.45148640498518944,0.2751874782288327,0.25,"[0, 0, 0, 1]"
We live in such a small world these days - the #LAFire is a story at the end of the Australian news @USER,0,0.37483941949903965,0.22528643613784824,0.25,"[1, 0, 0, 0]"
My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match . Is she in GOSSIP GIRL ?,1,0.42857736349105835,0.31136697413398845,0.25,"[0, 1, 0, 0]"
