tweet,label,mean_confidence,variability,mean_correctness
I wish it was January already ... Not because of school but because I 'm having major withdrawals #Arrow  fair wtfwasthat,0,0.4051305055618286,0.15065193804113702,0.25
"The city is flying , we 're fighting robots , and I have a bow and arrow . Classic",0,0.5010545216500759,0.21866691090425752,0.25
"@USER : If you 're loving this game , we 've got a few desserts you might enjoy . #Turnovers #OREvsFSU even Arby 's is talking smack to FSU",0,0.5480569452047348,0.26181270361836967,0.25
"To all those who held back in #2014 start again in #2015 as .. "" @USER : It 's never too late to start ! HTTPURL """,0,0.49227527854964137,0.33864670943731945,0.25
@USER  another Bush in the Whitehouse .,0,0.49618130922317505,0.29672783575567624,0.25
Go go Power Rangers ! #f2xmasparty  HTTPURL,1,0.49708278477191925,0.18728501580383866,0.25
Welcome to the UK there is no money to allow the poorest people in the country to maintain £ 20 a week to aid living but were here to write off £ 4.3 billion in fraud money .,1,0.4231786597520113,0.34399251764415245,0.25
does anyone else hate hearing their own voice I sound so aids,0,0.4131428226828575,0.35969604001557653,0.25
@USER I mean that all matter this game ,1,0.4761819541454315,0.2863375117380978,0.25
Just forced myself to go to class and spilt hot coffee in my lap while driving . How 's your day going ? :grinning_face_with_sweat:,0,0.45382365584373474,0.30937276408009123,0.25
For those of you that LOVE this time of year .  HTTPURL,1,0.4778694997075945,0.3338834156955555,0.25
It 's all about Twitter  a clue,0,0.4769490861799568,0.33144480834249485,0.25
Ready to conquer the day :winking_face_with_tongue:  @USER #leavemealonemom #my2fave :red_heart: #bahhumbug HTTPURL,1,0.43121817149221897,0.33204229132305924,0.25
As if I did n't know this anyway ! I 'm an Owl according to the #BBCBodyClock quiz – what are you ? HTTPURL,1,0.4185686130076647,0.20857031610783675,0.25
@USER  ___ I love that Song <3,0,0.41971463710069656,0.33625966484762204,0.25
Absolutely disgusting . Tr * mp says he “ loves ” domestic terrorists and spends most of the minute long video complaining about election and not condemning their actions today ? Rot in fucking hell .,0,0.4409695379436016,0.3396954916587404,0.25
rewatching degrassi for the millionth time,1,0.43913694471120834,0.3206530366901984,0.25
"@USER @USER hahaha good 1 , you might own a stadium then rather than the local council ;)",0,0.40558003075420856,0.31226071451552584,0.25
I would like to offer my complete support for the new rules as they have obviously supported the public by sticking to them at all times,1,0.533694826066494,0.19288080288676254,0.25
With no forwards . #confused  sure,0,0.38132246723398566,0.35893438090176494,0.25
@USER to the same sex . ,0,0.37708647176623344,0.1724457494103363,0.25
We live in such a small world these days - the #LAFire is a story at the end of the Australian news @USER,0,0.37483941949903965,0.22528643613784824,0.25
Lol my mom can't text and talk at the same time :grinning_squinting_face:,0,0.47335923463106155,0.29640794096950485,0.25
Fun night with these girls . It may look like we are eating dessert but its just for show  ... HTTPURL,1,0.44669466838240623,0.31416588999725115,0.25
"bye Obama , luv u",0,0.544574573636055,0.25364057237772164,0.25
Nicholas Sparks has been manipulating women to believe that guys ( in reality ) are as sensitive as the male characters in his books . ,1,0.4121825285255909,0.18022229491167382,0.25
Making the most out of my last vacation day .  #tvandsleep,1,0.49511295557022095,0.3173042941592693,0.25
safe to say my life is a lot better HTTPURL HTTPURL,1,0.46310991421341896,0.18436190402566244,0.25
Love it when my mans on a cleaning spree .. Saves me doing it :OK_hand: :face_blowing_a_kiss: :face_blowing_a_kiss: :face_blowing_a_kiss:,0,0.36238514073193073,0.3365149010369268,0.25
Vaccinated this morning . Not sure it 's worked - still committed to Apple and no extra autism detected . Bloody science .,1,0.5122323930263519,0.2572160350881992,0.25
If only clever people actually had the ability to be clever and not repeat everything they think they know,1,0.4215409206226468,0.2832997286195638,0.25
naming my son onickolas in honor of my love for @USER,1,0.36585902888327837,0.3469180487811949,0.25
"Lovely first day of 2015 ; friends , family swim , sort & cleanse , curry , less time on social media , more time on others #startasyoumeantogoon",0,0.3885758360847831,0.37535379312880673,0.25
my friends prof really monetized her lectures on youtube :rolling_on_the_floor_laughing:,0,0.39713566517457366,0.3668960309270708,0.25
Why you gotta take someone pure like Sean Lock from us huh ? Why could n't it be James Corden ?,0,0.46588301518931985,0.3331750423905333,0.25
Connacht Camogie champions 2014 ! 3 years in a row ! Hon HRC ! #MountbellewIsAHurlingStronghold  #HolyRosary4life #SeniorB :grinning_face_with_smiling_eyes: :raising_hands: :trophy: :baseball:,0,0.49985477700829506,0.3044933866441448,0.25
@USER they are all written out in a gold gel pen waiting ! I hate how are relationship consists of twitter messaging  #fulfilling,0,0.3415867993608117,0.3694827571343748,0.25
"me : trying to sleep slightly earlier than usual bc I feel like shit my friend , texting the group chat 13 separate times at nearly 4am : hello I do n't think so ! how abt I tell u abt how bad things are going instead :)",1,0.4039594605565071,0.2647121076946109,0.25
