tweet,label,mean_confidence,variability,mean_correctness,correctnesses
I 'm so different when I 'm back home ... I blame the work crew #rowdy #banter  #toomuchlove #360family,1,0.14474843465723097,0.12184780500637565,0.0,"[0, 0, 0, 0]"
Just hangin ' with ma dawg #eyesup HTTPURL,0,0.6112458035349846,0.2102673014838644,0.25,"[0, 0, 0, 1]"
Late night snuggles with my boy :purple_heart: :two_hearts:,0,0.4400561433285475,0.33581462977662346,0.25,"[0, 0, 0, 1]"
Good morning hank its saturday im starving,0,0.47374106757342815,0.2956584809588725,0.25,"[0, 0, 0, 1]"
 It 's a comforting thought : every tax payer will b reminded of #OCARE being rammed in2 law when answering questions on 2014 tax forms,1,0.4924261048436165,0.27398280692452537,0.25,"[0, 0, 1, 0]"
Love scooping feed bunks before we can feed calves ,1,0.39709460409358144,0.3731668532018756,0.25,"[0, 0, 0, 1]"
"This sounds like loads of fun ...  Snow , freezing drizzle , rain , 110km / h winds ... HTTPURL",1,0.3996660830453038,0.36256444512865854,0.25,"[0, 0, 1, 0]"
"@USER it 'll be ok , just get your TA to fix it ! ! ",1,0.3493122011423111,0.1807218441875829,0.25,"[1, 0, 0, 0]"
Home finally ! What a way to start the christmas break ! ! ! :thumbs_up: :OK_hand:,0,0.5016647651791573,0.2621851255629965,0.25,"[0, 0, 0, 1]"
"Accidentally breaking your own computer when your tech support ! Haha , talk about employee of the month  #techSupport :laptop_computer: :floppy_disk: :pistol:",1,0.4464243873953819,0.32011403890013396,0.25,"[0, 1, 0, 0]"
"The late Howie Carr wd be amused to see Granny Warren putting the wood to a "" bow-tied bum kisser "" ",1,0.4655399746261537,0.32553549367509005,0.25,"[0, 0, 1, 0]"
Such a long day :/ #wrecked,0,0.3960089236497879,0.3447249896122793,0.25,"[0, 0, 0, 1]"
@USER your #ambition is #amazing .  #saintsfc enjoy exit from #ChampionsLeague,1,0.33791262097656727,0.34708499644467233,0.25,"[0, 0, 1, 0]"
First day skiing #killedit  #iwasshit #tignes #seasonlife HTTPURL,1,0.33938946202397346,0.3487443385215964,0.25,"[0, 0, 0, 1]"
"@USER @USER oh aye , I 'll give you that ; )",0,0.44249898567795753,0.32421908505423364,0.25,"[0, 0, 0, 1]"
"@USER Gonna miss @USER , @USER , @USER and others , but at least we got Howie Kendrick ...  Stoked #WTF",1,0.4554539695382118,0.3216337142166351,0.25,"[0, 0, 0, 1]"
Morgan just asked me if I wanted to play a game with him on his Xbox . Usually I can't even look at it .,0,0.3214919213205576,0.32047594178138056,0.25,"[1, 0, 0, 0]"
@USER nope . Doing everything wrong . Cold . Hot . Hot . Cold . Gear seems ok but as today dipped to - 14 prob spoke too soon . #orings,0,0.32753972616046667,0.2677818926070644,0.25,"[1, 0, 0, 0]"
Who 's eating everything on the table for Noche buena ? :person_raising_hand: :person_raising_hand: :person_raising_hand:,0,0.47428978607058525,0.30474767403013553,0.25,"[0, 0, 1, 0]"
@USER they are all written out in a gold gel pen waiting ! I hate how are relationship consists of twitter messaging  #fulfilling,0,0.3579537011682987,0.3623327889481024,0.25,"[0, 0, 0, 1]"
@USER apple jd ?  sure,0,0.5590451285243034,0.2571294377974077,0.5,"[1, 0, 0, 1]"
"@USER @USER wow . That  here though , sorry grandpa , we use mac these days #WelcomeToTheWorld #NeverArgueWithFools",0,0.4627674650400877,0.3464960765756246,0.5,"[1, 0, 1, 0]"
@USER @USER : Thats quite an interesting number coz I managed to read only 17 but i will surely make it in #2015 .,0,0.5927757285535336,0.35302365676017533,0.5,"[0, 1, 0, 1]"
We still got alot of moonlight left,0,0.7105120196938515,0.23253473987877288,0.5,"[0, 0, 1, 1]"
Check Out this YouTube channel : HTTPURL,0,0.6373630687594414,0.23369630834294894,0.5,"[0, 1, 0, 1]"
Big thanks to my teachers for the FOUR tests I have to take tomorrow #woohoo ,1,0.7034049555659294,0.2594974293875076,0.5,"[0, 0, 1, 1]"
@USER : . @USER considering a run for the @USER : HTTPURL #5Things HTTPURL <shocking> <>,1,0.6269731409847736,0.3195216793330876,0.5,"[0, 1, 0, 1]"
@USER @USER Pulled by White Van Man by the looks of it . Yuk .. so naff . That keeps the magic of xmas alive .. ,1,0.6828153878450394,0.2966158962734353,0.5,"[0, 0, 1, 1]"
Yay ! More worthless Windows 8.1 updates . Computer still never sleeps / hibernates on its own . #fixit #fail #Microsoft ,1,0.7236682549118996,0.23551867715459718,0.5,"[0, 0, 1, 1]"
"@USER yup gotta keep up with my "" frantic party lifestyle "" . ",1,0.707688719034195,0.2402337796146327,0.5,"[0, 0, 1, 1]"
"Today I 'm standing at the front of Tesco wearing an Elf 's hat , saying hello to customers and getting ignored . #dreamjob ",1,0.5868854895234108,0.2543713292501889,0.5,"[0, 0, 1, 1]"
Oh sprints I love you  HTTPURL,1,0.6964598074555397,0.2804033864897682,0.5,"[0, 0, 1, 1]"
