tweet,label,mean_confidence,variability,mean_correctness
Lil Pump is the Nelson Mandela of our generation,1,0.25434148870408535,0.1409294423820167,0.0
"@USER I 've got 4 weekend tickets available , DM me",0,0.5153797566890717,0.24509741745585167,0.25
I have never missed something as much as I miss the soy milk machine at the dining hall,0,0.48342256247997284,0.2970218080822622,0.25
""" He 's not welcome in a tolerant place like London "" @USER on the Presidential visit on @USER The irony in that comment ... #r4bh",1,0.558035247027874,0.24812518265195743,0.25
Best bullpen in baseball selling rn to Stanton and Judge . Not a place you want to do it .,0,0.3297931179404259,0.18225871833176938,0.25
@USER All I want for Christmas is Fate Collab Rerun in 2021 . Alongside Blu ray release ?,0,0.36934109404683113,0.12406767862798154,0.25
"Knocked on a door to deliver a parcel , waited 30secs then I see the parcel had a safeplace so went to the neighbour . Then this moody 20yr old answered the door in a Spurs shirt talking shit , so I laugh and say was u crying about Harry Kane , is that why u took so long to answer :rolling_on_the_floor_laughing:",0,0.3956848597154021,0.31237426292666604,0.25
"Okay , well nice of 2020 to bless us with the gift of great sports team names - The Kraken and the Washington Football Team :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:",0,0.4563916139304638,0.24604128867610175,0.25
i hope u sleep maybe forever maybe not lol,1,0.49861880764365196,0.2884908507314517,0.25
"Just signed up for Apple 's Ping , told it I like ' classical ' and it points me towards Lady Gaga . It takes a certain genius to be this crap .",1,0.5419674292206764,0.1357480007403279,0.25
I never feel more empowered than when I 'm listening to ‘ this is me ' from camp rock,1,0.530466191470623,0.21632009974157868,0.25
:yin_yang: & :white_heart: HTTPURL,0,0.4868673086166382,0.21505419363890754,0.25
IF ONLY PEOPLE WOULD RAKE THE FORESTS . #Debate2020,1,0.559330977499485,0.24007845617826498,0.25
Can cats wear nail polish,1,0.4745548479259014,0.2130121552179917,0.25
Wow great album from Kanye . v John Cage 4 ' 43 vibes x,1,0.5286006182432175,0.1828964960124929,0.25
tanning in this heat is an extreme sport,1,0.5398613214492798,0.2483829271840024,0.25
"@USER agreed , this is ridiculous , gotta cop a pair",1,0.5499546527862549,0.2067211397287888,0.25
The control button just fell off my laptop . How symbolic for my life .,1,0.4775359630584717,0.23236665117734315,0.25
That second vaccine dose is no joke is it :dizzy_face: been absolutely floored since Saturday,0,0.41872777231037617,0.3210475875864455,0.25
Cannot cope with uni reading it 's doing my head in !,0,0.4656774289906025,0.2958089178842305,0.25
i miss classes being online 😵‍💫,0,0.4805004205554724,0.2972745844851138,0.25
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome :smiling_face:,1,0.5027549602091312,0.26788232322459715,0.25
@USER ye,0,0.4437568914145231,0.2877722330284154,0.25
"Had an end-of-the-year gathering with my ms coworkers tonight and it was just so nice to be together . Get vaccinated , guys .",0,0.486887838691473,0.29815292094732126,0.25
everytime i swipe through bumble when i 'm bored i just get sad that no one has the same complex interests as me ... rude :face_with_steam_from_nose: :face_with_rolling_eyes: / j,1,0.48565123602747917,0.3074082766415445,0.25
