tweet,label,mean_confidence,variability,mean_correctness,correctnesses
I wish it was January already ... Not because of school but because I 'm having major withdrawals #Arrow  fair wtfwasthat,0,0.4051305055618286,0.15065193804113702,0.25,"[0, 0, 1, 0]"
"The city is flying , we 're fighting robots , and I have a bow and arrow . Classic",0,0.5010545216500759,0.21866691090425752,0.25,"[0, 0, 1, 0]"
"@USER : If you 're loving this game , we 've got a few desserts you might enjoy . #Turnovers #OREvsFSU even Arby 's is talking smack to FSU",0,0.5480569452047348,0.26181270361836967,0.25,"[0, 0, 1, 0]"
"To all those who held back in #2014 start again in #2015 as .. "" @USER : It 's never too late to start ! HTTPURL """,0,0.49227527854964137,0.33864670943731945,0.25,"[0, 0, 1, 0]"
@USER  another Bush in the Whitehouse .,0,0.49618130922317505,0.29672783575567624,0.25,"[0, 0, 0, 1]"
Go go Power Rangers ! #f2xmasparty  HTTPURL,1,0.49708278477191925,0.18728501580383866,0.25,"[0, 0, 0, 1]"
Welcome to the UK there is no money to allow the poorest people in the country to maintain £ 20 a week to aid living but were here to write off £ 4.3 billion in fraud money .,1,0.4231786597520113,0.34399251764415245,0.25,"[0, 0, 0, 1]"
does anyone else hate hearing their own voice I sound so aids,0,0.4131428226828575,0.35969604001557653,0.25,"[0, 0, 0, 1]"
@USER I mean that all matter this game ,1,0.4761819541454315,0.2863375117380978,0.25,"[0, 0, 1, 0]"
Just forced myself to go to class and spilt hot coffee in my lap while driving . How 's your day going ? :grinning_face_with_sweat:,0,0.45382365584373474,0.30937276408009123,0.25,"[0, 0, 0, 1]"
For those of you that LOVE this time of year .  HTTPURL,1,0.4778694997075945,0.3338834156955555,0.25,"[0, 0, 1, 0]"
It 's all about Twitter  a clue,0,0.4769490861799568,0.33144480834249485,0.25,"[0, 1, 0, 0]"
Ready to conquer the day :winking_face_with_tongue:  @USER #leavemealonemom #my2fave :red_heart: #bahhumbug HTTPURL,1,0.43121817149221897,0.33204229132305924,0.25,"[0, 0, 1, 0]"
As if I did n't know this anyway ! I 'm an Owl according to the #BBCBodyClock quiz – what are you ? HTTPURL,1,0.4185686130076647,0.20857031610783675,0.25,"[0, 0, 1, 0]"
@USER  ___ I love that Song <3,0,0.41971463710069656,0.33625966484762204,0.25,"[0, 0, 0, 1]"
Absolutely disgusting . Tr * mp says he “ loves ” domestic terrorists and spends most of the minute long video complaining about election and not condemning their actions today ? Rot in fucking hell .,0,0.4409695379436016,0.3396954916587404,0.25,"[0, 0, 1, 0]"
rewatching degrassi for the millionth time,1,0.43913694471120834,0.3206530366901984,0.25,"[0, 0, 0, 1]"
