tweet,label_polarity,mean_confidence_polarity,variability_polarity,mean_correctness_polarity,correctnesses_polarity,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
Woohoo admitting someone who literally needs nothing but med refills !  HTTPURL,0,0.4919810433639213,0.3511746175701534,0.25,"[0, 0, 1, 0]",0,0.7091670725494623,0.3858264178599184,0.75,"[0, 1, 1, 1]"
"If this is love i do n't wanna be loved , You pollute the room with your filthy tongue  #getscared",0,0.3782851230353117,0.3852816260250638,0.25,"[0, 1, 0, 0]",0,0.5424884017556906,0.3447252985581372,0.5,"[0, 0, 1, 1]"
THEY #CAN'T BE #IDENTIFIED | #UK should  ALLOW more #SYRIAN REFUGEES #ENTRY among them will be #ISLAMISTS potential #TERRORISTS,0,0.6333640906959772,0.3794400002908227,0.5,"[0, 1, 0, 1]",0,0.9728113859891891,0.0234671312216536,1.0,"[1, 1, 1, 1]"
These guys are just amazing #gottalisten @USER The Allman Brothers Band - Stormy Monday ( At Fil ... : HTTPURL,0,0.7019354403018951,0.2773425669438329,0.5,"[0, 1, 1, 0]",0,0.9406967014074326,0.0408234837964235,1.0,"[1, 1, 1, 1]"
I miss the days when all my close friends lived in the same city .,0,0.6857215762138367,0.3095045854980595,0.5,"[0, 1, 0, 1]",0,0.8040669709444046,0.1853114896869604,1.0,"[1, 1, 1, 1]"
@USER oh haha no they ain't :face_with_tears_of_joy: :face_with_tears_of_joy: you ain't even seen em,0,0.6939325928688049,0.296158686244751,0.5,"[0, 1, 0, 1]",0,0.8482371121644974,0.0982677249755156,1.0,"[1, 1, 1, 1]"
@USER  a #chance #till #January ! #this is so good #you always make me #smile,0,0.7148216962814331,0.2789650832817629,0.5,"[0, 0, 1, 1]",0,0.9453316032886504,0.0420521473086292,1.0,"[1, 1, 1, 1]"
Woke up crying because of the nightmare I had ... gonna be a great day ,1,0.7271652817726135,0.2667399579050146,0.5,"[0, 1, 0, 1]",1,0.9766545593738556,0.0056453561236151,1.0,"[1, 1, 1, 1]"
@USER @USER years ago in M & & S in Rochdale they had 2 left shoes on sale with a £ 5 reduction from full price ! #bargain ,1,0.6020650933496654,0.390363454612003,0.5,"[0, 0, 1, 1]",1,0.8632184118032455,0.0859688373665875,1.0,"[1, 1, 1, 1]"
Even Soweto TV did n't bother to show these fvcken awards ... useless to the bone .. go figure,0,0.5927439965307713,0.2682518622466149,0.5,"[0, 0, 1, 1]",0,0.8744969815015793,0.1482074584866573,1.0,"[1, 1, 1, 1]"
