tweet,label_sarcasm,mean_confidence_sarcasm,variability_sarcasm,mean_correctness_sarcasm,correctnesses_sarcasm,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
gotta love living in a country where it 's easier to get an AR - 15 than it is to get coronavirus testing :smiling_face_with_heart-eyes: :squinting_face_with_tongue:,1,0.3760791793465614,0.101981598100319,0.0,"[0, 0, 0, 0]",1,0.8459365889430046,0.2157858248464971,0.75,"[0, 1, 1, 1]"
I love when I start choking on my water in my 8 person class,1,0.3367673046886921,0.1088895920603198,0.0,"[0, 0, 0, 0]",1,0.7202186360955238,0.2228892402085812,0.75,"[0, 1, 1, 1]"
I heard somebody unironically say Daddy God in a prayer today and akslfljsd why are Christians so cringey sometimes :loudly_crying_face:,0,0.3007449135184288,0.1256376158304132,0.0,"[0, 0, 0, 0]",0,0.7715856432914734,0.0727026705582569,1.0,"[1, 1, 1, 1]"
Gosh sunderland twitter is a fun place to be tonight is n't it . One game . One game ! ! !,1,0.3896109610795975,0.0726558817149205,0.0,"[0, 0, 0, 0]",1,0.7571185678243637,0.2140818789149846,0.75,"[0, 1, 1, 1]"
@USER ye,0,0.355198118602857,0.1986405342565449,0.0,"[0, 0, 0, 0]",0,0.9401369988918304,0.048206565698913,1.0,"[1, 1, 1, 1]"
@USER ye,0,0.355198118602857,0.1986405342565449,0.0,"[0, 0, 0, 0]",0,0.8235229253768921,0.11850067466051,1.0,"[1, 1, 1, 1]"
Not at all concerning that a man 's just been round to fiddle with the boiler and now he 's left the carbon monoxide alarm wo n't stop beeping,1,0.3779233023524284,0.1464256150413309,0.25,"[0, 1, 0, 0]",1,0.8234740570187569,0.2668443020204363,0.75,"[0, 1, 1, 1]"
it 'd be nice if missguided actually had stock for once :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face:,1,0.4561442509293556,0.0992982453506734,0.25,"[0, 1, 0, 0]",1,0.7318970784544945,0.2333451535107842,0.75,"[0, 1, 1, 1]"
"Really looking forward to going Christmas shopping with my anti-vax , anti-mask , global conspiracy believing sister this weekend .",1,0.5218326076865196,0.2739377845931413,0.25,"[0, 0, 0, 1]",1,0.6604099497199059,0.2340677620677116,0.75,"[0, 1, 1, 1]"
my favorite thing about my grandparents is that they 're so afraid to talk about me being gay that our catch up phone calls are incredibly short :heart_with_arrow:,1,0.4649682641029358,0.0797753790132511,0.25,"[0, 1, 0, 0]",1,0.6024885196238756,0.3881011097448429,0.5,"[0, 0, 1, 1]"
