tweet,label,mean_confidence,variability,mean_correctness,correctnesses
"Ok , so @USER and I decided to record on the evening of the 6th , just as absolutely nothing newsworthy was happening ! Perfect timing as always , to go over some of the best ITSBUPs of 2020 - and how we 're settling into 2021 ! Listen : HTTPURL HTTPURL",1,0.48441391438245773,0.2937745552991246,0.25,"[0, 0, 0, 1]"
@USER @USER @USER please reply to this gentleman on behalf of all of us here @USER #jokles  #gotrealworktodo,0,0.4397394023835659,0.24271750215813157,0.25,"[0, 1, 0, 0]"
@USER Damn . That would have made excellent thing to recount in autobiography ;p,0,0.4416125603020191,0.3040393395207775,0.25,"[0, 0, 0, 1]"
If i were to ask . I want to stay here for as long as possible .. | #thinking,0,0.5130635984241962,0.2973009871258541,0.25,"[0, 0, 0, 1]"
@USER @USER buy really rare pokemon card,1,0.4179488606750965,0.16595136776716984,0.25,"[0, 1, 0, 0]"
I can't wait for Boris to wait until after Christmas to lock us down again so that I can't go to Poland like I 've been waiting for for half a year !,1,0.45949865505099297,0.3316321852529942,0.25,"[0, 0, 0, 1]"
"I need to get up , but Sasha is way too cute !",0,0.5075990259647369,0.2846496991616809,0.25,"[0, 1, 0, 0]"
not to alarm anyone but i just saw spider-man by uta,1,0.42612618021667004,0.34223351840896465,0.25,"[0, 0, 0, 1]"
"Masks work , that 's why we do n't have to wear them in pubs but do in shops !",1,0.46922693960368633,0.33036018889438723,0.25,"[0, 0, 0, 1]"
@USER to the same sex . ,0,0.4352388074621558,0.3581212703939647,0.25,"[0, 0, 1, 0]"
I 'm A VeGeTaRiAN BuT I eAt FiSh :upside-down_face: :upside-down_face: :upside-down_face:,1,0.39341340959072113,0.2984684606611209,0.25,"[0, 0, 1, 0]"
I was today years old when I learned what Ricky Martin looks like .,0,0.5009376630187035,0.24075899093579062,0.25,"[0, 0, 0, 1]"
considering crowd surfing the next time the hallways are too packed,1,0.5101605392992496,0.3063971582855121,0.25,"[0, 0, 0, 1]"
@USER it 's a ,0,0.3122949372045696,0.3902592040295206,0.25,"[0, 1, 0, 0]"
im glad we finally have a party in opposition who are committed to taking the government to task for not making mistakes fast enough,1,0.5119055062532425,0.26045727261877877,0.25,"[0, 0, 1, 0]"
tramp shit #youoweme #follow  HTTPURL,1,0.4464271664619446,0.2261061430263735,0.25,"[0, 0, 0, 1]"
Mid speech @USER Christmas Lacrosse Ball #flattering  @USER Grand Cafe HTTPURL,1,0.4264894053339958,0.2278898055296958,0.25,"[0, 0, 1, 0]"
Coming to the conclusion that Apple IS Skynet #terminator #apocalypseiscoming #warofthemachines,0,0.39347989298403263,0.3485061118702547,0.25,"[0, 0, 0, 1]"
i 've had more interesting conversations w my wall but alright,1,0.5573294311761856,0.25216559543088723,0.25,"[0, 0, 0, 1]"
Is Obamacare Slowing Health Care Spending ?  HTTPURL via @USER,0,0.3918931046500802,0.3569473912909516,0.25,"[0, 0, 0, 1]"
My coworkers play this fun game where they try to describe bars in la crosse & have me guess which one they 're talking about,1,0.4821252413094044,0.302383698506266,0.25,"[0, 1, 0, 0]"
Jaegermeister did 9/11,1,0.46650040335953236,0.3232394175030979,0.25,"[0, 1, 0, 0]"
I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave .,1,0.5373431444168091,0.19932935854231065,0.25,"[0, 0, 0, 1]"
@USER @USER Your views are not right wing or left wing ... just vile .,0,0.5334834903478622,0.257414657391256,0.25,"[0, 0, 1, 0]"
I think I might be an artist  #flowers #pretty #love #beautiful #painting #art #nature #lchs HTTPURL,1,0.5314954146742821,0.27024509392644835,0.25,"[0, 0, 1, 0]"
... except we have no hot water . Naturally no one would be in the office to take my call . I fucking hate it here .,0,0.5585362315177917,0.25268175365669426,0.25,"[0, 1, 0, 0]"
"My sisters kid , when we were playing in the living room , told me that I look like ghoul due to my baggy eyes . I love children so much , they make me feel so appreciated and loved , always say the kindest things !",1,0.49379574228078127,0.34224013692681554,0.25,"[0, 0, 0, 1]"
there was a bee in my house yesterday and i have n't seen it since i hope it died,0,0.34413372352719307,0.21873134172419328,0.25,"[1, 0, 0, 0]"
"Well done Henri , cost us the win #nffc",1,0.4763386845588684,0.1284134411477745,0.25,"[0, 0, 1, 0]"
"Sharing is caring , I 'm sure your 42 followers would n't have slept tonight not having this update from you ⸮",1,0.489407554268837,0.2909954760454315,0.25,"[0, 0, 0, 1]"
"I think men are better than women , they provide for us . We should thank them more often for being protectors .",1,0.5168089494109154,0.2746327903853643,0.25,"[0, 0, 1, 0]"
"Do n't keep up with the Joneses , the Joneses are broke !",1,0.5308261513710022,0.2296527521100382,0.25,"[0, 1, 0, 0]"
"ah yes , of the course the summer rain pours when im on foot .",1,0.3862440511584282,0.24704121530141923,0.25,"[0, 1, 0, 0]"
"Nearly a week since my tracked parcel was sent off . Still at the same Post Office I dropped it off at apparently ... What excuse do you reckon they 'll use if I chase it up ? COVID , Black Friday , Christmas , Other ? Place bets NOW !",1,0.4497166685760021,0.31557315624123833,0.25,"[0, 0, 0, 1]"
Sure you do ! Does n't everyone ? ! I do it everyday ! ! !,1,0.4650663696229458,0.3109102525471694,0.25,"[0, 0, 0, 1]"
"Take me to church ... , . ",0,0.324485051445663,0.3580649401890104,0.25,"[0, 0, 1, 0]"
As a woman I dont need hobbies dreams or goals cause I can spend all my time wondering why he didnt text back crying into a bag of doughnuts,1,0.44203517213463783,0.2424035429478272,0.25,"[0, 1, 0, 0]"
Drop in Center to let people get the 1st or 2nd Vaccine open today . I went thinking I was able to get my 2nd one . Wait in the que 30 mins . sits down arm ready to get ! Sorry your 12hrs to early ! ! ! We can not vacinate you till 56 days ! ! ! @USER #Seriously,1,0.40563986636698246,0.33384840069368665,0.25,"[0, 1, 0, 0]"
"It was almost 70 degrees today but no , global warming does n't exist :unamused_face:",1,0.5036240816116333,0.20133864640371738,0.25,"[0, 0, 1, 0]"
I believe it is about #indoctrination &  religious indoctrination either ; but indoctrination into the future groups of #Lefties .,0,0.533945806324482,0.2632432379851653,0.25,"[0, 0, 0, 1]"
"@USER He 's been half paced all season , Henderson would be a bigger loss",0,0.4756227247416973,0.3358982564795662,0.25,"[0, 0, 0, 1]"
"Queer marriage is not allowed because it does n't follow the "" age-old customs , rituals , practices , culturla ethos and societal values "" , but all cis-men can commit infidelity with no consequences . Happy fuckin Pride people :upside-down_face: #SupremeCourtofIndia",1,0.47668037936091423,0.30725132914482767,0.25,"[0, 0, 0, 1]"
' Margaret Thatcher ' is trending ... has 2016 taken another one ?,1,0.5744398459792137,0.17654232683252044,0.25,"[0, 0, 0, 1]"
Thank you @USER . Requiring Facebook to participate in Twitch Chat is really a good way to push away interested players . ,0,0.2759442403912544,0.39775951603590476,0.25,"[0, 1, 0, 0]"
First day of school and spectrum internet has already shit itself . Amazing,1,0.4704801216721535,0.3364973613267654,0.25,"[0, 0, 0, 1]"
"@USER @USER @USER @USER You 've a book out ? I had n't realised . Yes , you 've already read this 8763 times this week , but hey .",1,0.5009075701236725,0.25323219740779523,0.25,"[0, 0, 0, 1]"
Pregnant and constantly crave KitKats . I literally have been living off of them for the past 4 months . @USER,1,0.40589942783117294,0.14648360135700328,0.25,"[0, 0, 0, 1]"
first game not starting when it 's supposed to ? a UCF tradition,1,0.47607380524277687,0.29636455918632587,0.25,"[0, 0, 1, 0]"
"If you watch #TheCrown and do n't simultaneously wiki deep-dive on the royal family , did you even watch The Crown ?",1,0.5485315173864365,0.24896857893875365,0.25,"[0, 0, 0, 1]"
"Thinking about that time Blizzard had the brilliant idea to change everyone 's name on their forums to their real names . God , what an idea that was .",1,0.45949023962020874,0.3061368453489256,0.25,"[0, 0, 1, 0]"
