tweet,label,mean_confidence,variability,mean_correctness
Tinnitus is my favourite thing ever I love it . So loud so atmospheric HTTPURL,1,0.49582909047603607,0.28721467677295986,0.25
"@USER He 's been half paced all season , Henderson would be a bigger loss",0,0.4756227247416973,0.3358982564795662,0.25
@USER Damn . That would have made excellent thing to recount in autobiography ;p,0,0.4416125603020191,0.3040393395207775,0.25
@USER @USER Kick Raiola out of the league . #Scumbag #RepeatOffender #OneGameIsNotEnough,0,0.4980473890900612,0.28093725388063495,0.25
"@USER @USER @USER My , Nephew stopped a lot . His long hair . looks like a drug dealer . Never smoked anything Pills ? not an aspirin .",0,0.486901693046093,0.31384594855960507,0.25
I believe it is about #indoctrination &  religious indoctrination either ; but indoctrination into the future groups of #Lefties .,0,0.533945806324482,0.2632432379851653,0.25
I was today years old when I learned what Ricky Martin looks like .,0,0.5009376630187035,0.24075899093579062,0.25
Coming to the conclusion that Apple IS Skynet #terminator #apocalypseiscoming #warofthemachines,0,0.39347989298403263,0.3485061118702547,0.25
... except we have no hot water . Naturally no one would be in the office to take my call . I fucking hate it here .,0,0.5585362315177917,0.25268175365669426,0.25
@USER @USER Your views are not right wing or left wing ... just vile .,0,0.5334834903478622,0.257414657391256,0.25
"I need to get up , but Sasha is way too cute !",0,0.5075990259647369,0.2846496991616809,0.25
"Spiritfarer is so good , I bought it several months ago but finally started it tonight #gamer",0,0.3673800304532051,0.12921588244081594,0.25
"You guys , how cool would a British version of Breaking Bad be ? Lol jk , they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment .",1,0.552041694521904,0.25767538179886007,0.25
I think I might be an artist  #flowers #pretty #love #beautiful #painting #art #nature #lchs HTTPURL,1,0.5314954146742821,0.27024509392644835,0.25
@USER @USER buy really rare pokemon card,1,0.4179488606750965,0.16595136776716984,0.25
not to alarm anyone but i just saw spider-man by uta,1,0.42612618021667004,0.34223351840896465,0.25
@USER @USER can't wait to see ya both ,1,0.38219951186329126,0.3305645288609897,0.25
@USER it 's a ,0,0.3122949372045696,0.3902592040295206,0.25
