tweet,label,mean_confidence,variability,mean_correctness
Woohoo admitting someone who literally needs nothing but med refills !  HTTPURL,0,0.49198104336392134,0.35117461757015345,0.25
"If this is love i do n't wanna be loved , You pollute the room with your filthy tongue  #getscared",0,0.3782851230353117,0.38528162602506383,0.25
THEY #CAN'T BE #IDENTIFIED | #UK should  ALLOW more #SYRIAN REFUGEES #ENTRY among them will be #ISLAMISTS potential #TERRORISTS,0,0.6333640906959772,0.3794400002908227,0.5
These guys are just amazing #gottalisten @USER The Allman Brothers Band - Stormy Monday ( At Fil ... : HTTPURL,0,0.7019354403018951,0.2773425669438329,0.5
I miss the days when all my close friends lived in the same city .,0,0.6857215762138367,0.30950458549805954,0.5
@USER oh haha no they ain't :face_with_tears_of_joy: :face_with_tears_of_joy: you ain't even seen em,0,0.6939325928688049,0.29615868624475106,0.5
@USER  a #chance #till #January ! #this is so good #you always make me #smile,0,0.7148216962814331,0.2789650832817629,0.5
Woke up crying because of the nightmare I had ... gonna be a great day ,1,0.7271652817726135,0.2667399579050146,0.5
@USER @USER years ago in M & & S in Rochdale they had 2 left shoes on sale with a £ 5 reduction from full price ! #bargain ,1,0.6020650933496654,0.390363454612003,0.5
Even Soweto TV did n't bother to show these fvcken awards ... useless to the bone .. go figure,0,0.5927439965307713,0.26825186224661496,0.5
"soon , stop , wtf , and omg are deff my fav things to hear :face_with_tears_of_joy: ",1,0.6521357968449593,0.36285010792180783,0.5
@USER yay ! ! ! It works  #HateWhenThingsDontWorkRight,1,0.6536852568387985,0.3653596966282608,0.5
@USER To the officer 's defense ... that was a very scary looking phone .  #BlackLivesMatter,1,0.39214850682765245,0.395857447078831,0.5
Just great when you 're mobile bill arrives by text ,1,0.6413036063313484,0.38414471147398543,0.5
@USER @USER Nice but  original,0,0.7096605151891708,0.2752030227996021,0.5
Let 's all do only squats and deadlifts until we hurt ourselves - - really really good trainers #fitnessmotivation ,1,0.46582874469459057,0.37178315044118204,0.5
@USER nah dude my buddy puked all over steak and shake,0,0.6189804449677467,0.3991679891401227,0.5
I work in front of laptop for 8 hours a day and suffer terrible dry eye . #bloodshot  #eyerony,0,0.6817202121019363,0.3081485735816837,0.5
Playing golf all day ' ery day | #PerksOfBeingOld,0,0.6750426702201366,0.32733828104270596,0.5
"Looking for @USER practitioners ... Anyone out there , or recommendations ?",0,0.6203125647734851,0.4106308131272762,0.5
How Badly Do You Need That Burrito ? ( That 's sounds naughty ) HTTPURL #burrito ,0,0.5692946873605251,0.38356023935207434,0.5
MLS Transactions 2015 #MLS HTTPURL making waves again  2 b fair it will take more than 2 players to fix this,1,0.5823159054853022,0.421367592936543,0.5
Love waking up early in the morning  #HockeyTournament #RefLife #Zebras,1,0.6697945445775986,0.3294928889700921,0.5
Breaking up with your girl so you do n't have to buy her any presents | | #lowbudget #smartmove  # a #good #idea #butscheming doe,0,0.4799643508158624,0.32568125817362015,0.5
@USER becauseeee I miss youu  coffee later ?,1,0.558702434413135,0.4394421083653415,0.5
Who dares to play this game ? Lol #Shots #Sex #Fine #Tipsy #Drunk #Dead :face_with_tears_of_joy:  #NeedAGoodLaugh HTTPURL,0,0.5660350932739675,0.40416661425675626,0.5
"Besides some overpriced holiday candles , I have n't seen one #CyberMonday deal worthwhile today . Brutal .",0,0.6048826202750206,0.2858959636408977,0.5
@USER @USER @USER @USER actually I believe Henry is undefeated on Turf in @USER @USER ,1,0.5825409684330225,0.3337581495019076,0.5
@USER @USER not bad for a kid from Az . Hockey does n't work in the desert . ,0,0.5718890428543091,0.4224134966901689,0.5
"@USER Tx , i saw that . must be a great shot to defend oneself from a fierce attacking giraffe .  #HungerGames",1,0.4956226069480181,0.3736927580154525,0.5
@USER great Christmas present  . Unreal what the alcohol industry will do to lure young people . #sad #nosocialconscience,1,0.549356373026967,0.44200639267901776,0.5
#Australia - - Eight #children #killed in Australia in #reported #mass #stabbing . HTTPURL via @USER,0,0.6371221989393234,0.3409398480690556,0.5
Connacht Camogie champions 2014 ! 3 years in a row ! Hon HRC ! #MountbellewIsAHurlingStronghold  #HolyRosary4life #SeniorB :grinning_face_with_smiling_eyes: :raising_hands: :trophy: :baseball:,0,0.5142603488638997,0.447210095163925,0.5
Session at the local #1stPhoto #rektek #bmx #lookMamNoHands  #flying #fallingWithStyle HTTPURL,0,0.5477402471005917,0.4152822850034431,0.5
Oh yess Dean Smith is ref  on the plus side we have thompson #improved,1,0.5644189594313502,0.38088573390391717,0.5
@USER u might b d bigest fan of srk but i find u better actor than him  sayng it just fr sayng but realy mean it #expression king,0,0.5806414089165628,0.41785176581993094,0.5
First day skiing #killedit  #iwasshit #tignes #seasonlife HTTPURL,1,0.612611853517592,0.4004524819191472,0.5
@USER Ohhhh yeaah the girl from your favorite couple wants me to come hang with her lol BRUH wtf is this lol ,0,0.6313469624146819,0.3961577721601958,0.5
@USER your busy staff  standing about when people queue #joke HTTPURL,1,0.5371088148094714,0.4544311578145274,0.5
That was the cutest thing ever :smiling_face_with_heart-eyes: :face_blowing_a_kiss:,0,0.4891678603598848,0.36288479144439184,0.5
Original Content is hard to come by . - Anonymous #writingtips  #quoteoftheday,1,0.5009992914274335,0.4789098416395413,0.5
#Uniform  #unity #LMFAIR14,0,0.60617839358747,0.41035875268038086,0.5
When you show your valid 16-25 railcard and shes charges you full price anyway . Great service from Tamworth  @USER,1,0.8644565418362617,0.21916714523394487,0.75
"Gotta study and I 'm like , who cares ? !  #perksofbeingasenior :thumbs_down:",1,0.8113705590367317,0.19148492982479637,0.75
@USER @USER Because Bill makes too much money making speeches now and he 's so honest :) ,1,0.8678759634494781,0.21583949233585764,0.75
Ppl keep snapping me and I can't snap back because I 'm looking too good rn ,1,0.8478673174977303,0.24022539917464897,0.75
Good luck to @USER against @USER this afternoon after a month of inactivity .  ring rusty .,1,0.8666198924183846,0.2123787311591988,0.75
#Palestinian #Authority - - #Abbas #trades #stalemate for #confrontation in #ICC #move . HTTPURL via @USER,0,0.8694876432418823,0.21509443045201823,0.75
@USER someone 's on the defensive ... if the shoe fits :frog_face: :hot_beverage:,0,0.7085631489753723,0.2950511634034685,0.75
"@USER @USER hitting the big issues , champ . ",1,0.8649638369679451,0.2189343370403028,0.75
