tweet,label,mean_confidence,variability,mean_correctness
gotta love living in a country where it 's easier to get an AR - 15 than it is to get coronavirus testing :smiling_face_with_heart-eyes: :squinting_face_with_tongue:,1,0.37607917934656143,0.101981598100319,0.0
I love when I start choking on my water in my 8 person class,1,0.3367673046886921,0.10888959206031988,0.0
I heard somebody unironically say Daddy God in a prayer today and akslfljsd why are Christians so cringey sometimes :loudly_crying_face:,0,0.3007449135184288,0.12563761583041325,0.0
Gosh sunderland twitter is a fun place to be tonight is n't it . One game . One game ! ! !,1,0.3896109610795975,0.07265588171492059,0.0
@USER ye,0,0.355198118602857,0.19864053425654493,0.0
Not at all concerning that a man 's just been round to fiddle with the boiler and now he 's left the carbon monoxide alarm wo n't stop beeping,1,0.37792330235242844,0.14642561504133092,0.25
it 'd be nice if missguided actually had stock for once :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face:,1,0.4561442509293556,0.0992982453506734,0.25
"Really looking forward to going Christmas shopping with my anti-vax , anti-mask , global conspiracy believing sister this weekend .",1,0.5218326076865196,0.27393778459314133,0.25
my favorite thing about my grandparents is that they 're so afraid to talk about me being gay that our catch up phone calls are incredibly short :heart_with_arrow:,1,0.4649682641029358,0.07977537901325113,0.25
"cold ears ? take out one AirPod , leave it by the stove , and forget about it for 20 minutes :hugging_face:",1,0.47960811853408813,0.14758099095149624,0.25
Schadenfreude x,1,0.49258480221033096,0.13646181961956438,0.25
"@USER "" But it 's a deterrent "" :face_with_rolling_eyes:",1,0.44884902611374855,0.1456924397664246,0.25
“ it 's hotter in the america right now and it feels fine british people are just being dramatic :face_with_rolling_eyes: ” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE :double_exclamation_mark: :double_exclamation_mark: :double_exclamation_mark:,1,0.5507562160491943,0.2189643485198475,0.25
2 x sand eating toddlers for sale . No previous owners . DM for details x,1,0.5046146735548973,0.1333418939599326,0.25
I swear this triller event is run by teenagers,1,0.5162515342235565,0.20357931148142797,0.25
its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth,1,0.484348900616169,0.16525231557908726,0.25
Man I just love it when I 'm forced to pitch two games back to back bc our other pitcher did n't show up,1,0.3428502716124058,0.15256309985314528,0.25
The phrase “ the white people of black people ” was coined to explain cishet black men 's privilege over other identities within the black community . Not to just throw around when y'all are annoyed / hateful :face_with_rolling_eyes:,0,0.47100675106048584,0.14103447842504802,0.25
Ca n't wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,1,0.4732608087360859,0.17319395023221976,0.25
"just asked a patient if she 'd like to schedule for the same time next week and she said "" no , but it was nice meeting you . "" well ... fair enough :grinning_face_with_sweat:",0,0.5077949091792107,0.20115772490539774,0.25
How do I stop thinking literally everything is corny ? ?,0,0.5048703663051128,0.242486684910319,0.25
"Oops I watched a video about a service dog , started to cry , and now can not stop hugging my pup so I 'm just going to have to call it a day",0,0.4852144569158554,0.27587098649873476,0.25
I 'm gonna have a breakdown .,0,0.535556748509407,0.13975046594970278,0.25
my favorite brand of old people are the ones who work as tour guides at national parks,0,0.502572238445282,0.1063071039596241,0.25
I hate when people rag on Arthur 's name without knowing the meaning behind it . Arthur was named after Mikeys great great uncle who committed suicide at the age of 30 . Grandpa says he was one of the most generous men he ever knew and was a very special guy to grandpa :yellow_heart:,0,0.5315135642886162,0.19961430286339926,0.25
"How this is n't just Cowboy Bark listed 100000 times , I 'll never know . Nevertheless , an A + + + thread HTTPURL",0,0.4392334669828415,0.11565218325467506,0.25
"After my Holland & Barrett parcel was damaged on its way to me , I had to send probably the most middle class e-mail of my life , asking them to please resend the order ASAP as I was running out of kombucha .",0,0.38197237625718117,0.18554536397945284,0.25
happy birthday gorgeous ! have an amazing day i love you ! ! :beating_heart: :beating_heart: @USER,0,0.5896320715546608,0.20633202428677497,0.25
"It was bad enough when some corporate wankers took one of the trains I used to drive and made it a "" breakout area "" for their offices , but this ? This is next level HTTPURL HTTPURL",0,0.5547659024596214,0.20170926595285396,0.25
grimes was the vibe for this evening,0,0.56439009308815,0.23156023067758472,0.25
"@USER That John Carpenter :videocassette: selection T is pure class . Yes , I 'll take that one , please :heart_suit:",0,0.4899786040186882,0.1684558311582822,0.25
If Nick Lachey wins TMS I will be so bitter .,0,0.5415336638689041,0.25186283860876296,0.25
I think France will win #Euro2016 . Predict who will flop and come out on top at HTTPURL HTTPURL,0,0.5145225450396538,0.22177391693471488,0.25
"Happy new month to all my Mutuals and Friends on here , wishing us all good health and more financial breakthrough this month .",0,0.5876291915774345,0.2256904194475606,0.25
"If I was a wealthy Boomer and I saw a bunch of angry Millennials coming for my money , I 'd be nervous . We already killed Applebee 's , we will kill again #EatTheRich",0,0.48969119042158127,0.09002674355944641,0.25
