tweet,label,mean_confidence,variability,mean_correctness,correctnesses
gotta love living in a country where it 's easier to get an AR - 15 than it is to get coronavirus testing :smiling_face_with_heart-eyes: :squinting_face_with_tongue:,1,0.37607917934656143,0.101981598100319,0.0,"[0, 0, 0, 0]"
I love when I start choking on my water in my 8 person class,1,0.3367673046886921,0.10888959206031988,0.0,"[0, 0, 0, 0]"
I heard somebody unironically say Daddy God in a prayer today and akslfljsd why are Christians so cringey sometimes :loudly_crying_face:,0,0.3007449135184288,0.12563761583041325,0.0,"[0, 0, 0, 0]"
Gosh sunderland twitter is a fun place to be tonight is n't it . One game . One game ! ! !,1,0.3896109610795975,0.07265588171492059,0.0,"[0, 0, 0, 0]"
@USER ye,0,0.355198118602857,0.19864053425654493,0.0,"[0, 0, 0, 0]"
Not at all concerning that a man 's just been round to fiddle with the boiler and now he 's left the carbon monoxide alarm wo n't stop beeping,1,0.37792330235242844,0.14642561504133092,0.25,"[0, 1, 0, 0]"
it 'd be nice if missguided actually had stock for once :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face:,1,0.4561442509293556,0.0992982453506734,0.25,"[0, 1, 0, 0]"
"Really looking forward to going Christmas shopping with my anti-vax , anti-mask , global conspiracy believing sister this weekend .",1,0.5218326076865196,0.27393778459314133,0.25,"[0, 0, 0, 1]"
my favorite thing about my grandparents is that they 're so afraid to talk about me being gay that our catch up phone calls are incredibly short :heart_with_arrow:,1,0.4649682641029358,0.07977537901325113,0.25,"[0, 1, 0, 0]"
"cold ears ? take out one AirPod , leave it by the stove , and forget about it for 20 minutes :hugging_face:",1,0.47960811853408813,0.14758099095149624,0.25,"[0, 0, 0, 1]"
Schadenfreude x,1,0.49258480221033096,0.13646181961956438,0.25,"[0, 0, 0, 1]"
"@USER "" But it 's a deterrent "" :face_with_rolling_eyes:",1,0.44884902611374855,0.1456924397664246,0.25,"[0, 0, 1, 0]"
“ it 's hotter in the america right now and it feels fine british people are just being dramatic :face_with_rolling_eyes: ” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE :double_exclamation_mark: :double_exclamation_mark: :double_exclamation_mark:,1,0.5507562160491943,0.2189643485198475,0.25,"[0, 0, 1, 0]"
2 x sand eating toddlers for sale . No previous owners . DM for details x,1,0.5046146735548973,0.1333418939599326,0.25,"[0, 0, 0, 1]"
I swear this triller event is run by teenagers,1,0.5162515342235565,0.20357931148142797,0.25,"[0, 0, 0, 1]"
its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth,1,0.484348900616169,0.16525231557908726,0.25,"[0, 0, 1, 0]"
Man I just love it when I 'm forced to pitch two games back to back bc our other pitcher did n't show up,1,0.3428502716124058,0.15256309985314528,0.25,"[0, 1, 0, 0]"
The phrase “ the white people of black people ” was coined to explain cishet black men 's privilege over other identities within the black community . Not to just throw around when y'all are annoyed / hateful :face_with_rolling_eyes:,0,0.47100675106048584,0.14103447842504802,0.25,"[0, 0, 1, 0]"
