user_mention,count
@SuspendThePres,1
@AsdaServiceTeam,4
@AgainstArms,1
@ACCLiverpool,1
@gracekennardd,1
@kazzacoey,1
@UKLabour,1
@faith_hi,1
@PalmerReport,1
@PONOS_EN,3
@_Priya_R,1
@ZebrafishRock,1
@toxx_i,1
@cjafterdark,1
@benbreo,1
@BeschlossDC,1
@NicolaSturgeon,1
@KhoaVuUmn,1
@Cristiano,1
@ManUtd,1
@JOE_listings,1
@udel,1
@depop,1
@bethanyj_,1
@MATLAB,1
@AvatarOdin,1
@aubviouslynot,1
@coffeedreamer1,1
@kingssnacks,1
@kirkkorner,1
@JacobWohlReport,1
@Showmasters,1
@UKConsumerRight,1
@goldfishbabe101,1
@terryflewers,1
@lfcsonny,1
@BillCosby,1
@Ciara87C,1
@RachaelSmarty,1
@SashaHumphreys2,1
@Jennyfurfuls,1
@kittin_knittin,1
@livlawrencex,1
@micahgallen,1
@rosanna_olsen,1
@SubwayUK,1
@BBCAMERICA,1
@Chris08505199,1
@SarahrodriguesX,1
@MailOnline,1
@markbishopuk,1
@DrPragyaAgarwal,1
@NTCastleWard,1
@PeteSnodden,1
@tineyaaa,1
@realDonaldTrump,3
@alex_jantz,1
@FeeyaCruz,2
@BioMarkDarrah,1
@Bio_Warner,1
@GambleMike,1
@BenIrvo,1
@catboychika,1
@jabadgo,1
@Nibellion,1
@ShareZone5,1
@StockpickB,1
@Tesco,1
@WWFCFancast,1
@Mythical,1
@kagune_kun,1
@adorinqdwt,1
@dwtridesgnf,1
@beesmygod_,1
@taylorswift13,2
@taylornation13,1
@abhiishekkkkkk,1
@FCBGox,1
@sdeditgirl,1
@atptour,1
@WilliamShatner,1
@Corvus_Black031,1
@BellularGaming,2
@McDonaldsUK,2
@grav3yardgirl,1
@DearEvanHansen,1
@DarkenerWoW,1
@wochinimen,1
@MissPurplePixie,1
@JoelEmbiid,1
@igreen95,1
@AlexShawESPN,2
@robwishart,2
@GNev2,2
@pamparoni,3
@rolandsmartin,1
@nypost,1
@savingfilm,1
@_celia_bedelia_,1
@Apple,1
@PetsatHome,1
@sidneyg156,1
@laurabora620,1
@nicholas_vince,1
