user_mention,count
@AsdaServiceTeam,4
@sonofsama1,3
@realDonaldTrump,3
@elliekonsker,3
@PONOS_EN,3
@pamparoni,3
@dumbdotcomm,2
@taylorswift13,2
@BellularGaming,2
@UKIP,2
@kristenritch,2
@radiox,2
@FeeyaCruz,2
@VertigoTeaparty,2
@GNev2,2
@stcware,2
@sajidjavid,2
@McDonaldsUK,2
@robwishart,2
@playrust,2
@tedcruz,2
@GMB,2
@seetickets,2
@AlexShawESPN,2
@anon_opin,2
@kevinabstract,2
@WeAre8Official,2
@Santandave1,2
@CorinnaKopf,2
@shakira,1
@adamlevine,1
@Sicarius_Matt,1
@SkyNews,1
@HeyItsEbb,1
@ZionWarrior6,1
@shopDisney,1
@TrentBridge,1
@Herring1967,1
@Azuliblancos,1
@achievement,1
@Cardiffbus,1
@_aarava,1
@NBCTheVoice,1
@avsmph,1
@miiniigun,1
@vsheltonsports,1
@CadburyUK,1
@mspairport,1
@SunCountryAir,1
@Dancruz07,1
@kashirenaii,1
@kmflett,1
@hollywills,1
@benshapiro,1
@davidschneider,1
@NiaAnts,1
@garry_whu,1
@VicOtley,1
@andy_mansell72,1
@kidcuisine98,1
@myhermes,1
@MadnessNews,1
@RaleighBikes_UK,1
@CBoyForeman,1
@claires,1
@raerenyse,1
@traves,1
@samduhclam,1
@SuspendThePres,1
@Ladyblueclr,1
@tasshx,1
@SallyLongford,1
@CllrDaveTrimble,1
@UniofNottingham,1
@registrarism,1
@ShearerWest,1
@LentonDNRA,1
@JasperSmiith,1
@PoliticalOrgy,1
@IdenaNetwork,1
@brruhia,1
@khaledhosseini,1
@xNemoooo,1
@lad_lew,1
@CityofSanDiego,1
@samdylanfinch,1
@MatthewStadlen,1
@michael_saylor,1
@PeterGWall,1
@stockwa16053563,1
@cassieecote413,1
@TheEllenShow,1
@RevRichardColes,1
@GeoffreyBrock6,1
@EdwardNorton,1
@CllrDavidMellen,1
@LilianGreenwood,1
@MyLWE,1
@MyNottingham,1
@JohnJBrea,1
@celtjules66,1
@jaredj5,1
@guardianmoney,1
@DylanPetit17,1
@GainzyXBT,1
@WOKVNews,1
@CCFJacksonville,1
@PoliticsForAlI,1
@DuncanEdwards03,1
@vera_mironov,1
@rkwrice,1
@ELSFinance,1
@jesskah02,1
@wfcouncil,1
@MathigonOrg,1
@SkySportsBoxing,1
@krispykremeUK,1
@ASOS,1
@BBCr4today,1
@OwenSmith_MP,1
@char_gerada,1
@AaronBastani,1
@TalkTalk,1
@Mside_Softball,1
@MI37867601,1
@PlayStationUK,1
@The_Timbrodini,1
@DanielIngolfur,1
@pgorski,1
@MisterMinor,1
@Conservatives,1
@mcfcok82,1
@OrchardMead,1
@bbcsport,1
@mysticalmanatee,1
@littlewhitty,1
@VolphanCarol,1
@MattHancock,1
@BorisJohnson,1
@premierleague,1
@WestHam,1
@RosieisaHolt,1
@ishkolhatkar,1
@ThePartridgePod,1
@SecDef,1
@marcorubio,1
@mikeduncan,1
@izzychari,1
@frontlinechef,1
@ViQueen55,1
@DarrkIt,1
@acf_uk,1
@iamspade_,1
@TheSpursExpress,1
@NICKIMINAJ,1
@rodneyjaguars57,1
@SIazVest,1
@gpollakis,1
@theAJpub,1
@Moffstovoi,1
@TheLunaCinema,1
@FandFclothing,1
@WalesOnline,1
@Ranboosaysstuff,1
@OldUnclePunch,1
@jmckeever,1
@isawitfirst,1
@tylerrjoseph,1
@heathoween,1
@HawleyMO,1
@LASTEXITshirts,1
@guinnmolli,1
@ChemBros,1
@stereogum,1
@PistonsGT,1
@DetroitPistons,1
@nickg67,1
@zara,1
@Christo66412045,1
@dyIanobrins,1
@LFC,1
@futboIjacob,1
@PrueLeith,1
@joinerslive,1
@HamleysOfficial,1
@AmnestyUK,1
@JoJoFromJerz,1
@LadyDeadlight,1
@EmpireCinemas,1
@TheWiganRunner,1
@LibertyU,1
@grimmfest,1
@BBCOne,1
@freedomsenpai,1
@rits_meg,1
@MartinSLewis,1
@AquinasNation,1
@barcacentre,1
@DailyMirror,1
@NewsForAllUK,1
@JoPSmith25,1
@UpTheVile,1
@FIimdog,1
@Thiago6,1
@hkatewilliams,1
@ZARA_Care,1
@SovietWomble,1
@Shadow_frax,1
